,source,target,weight,graph_id
0,"('113.171.233.34', 443)","('115.68.207.162', 443)",1.0,1
1,"('113.171.233.34', 443)","('113.171.233.56', 443)",0.5,1
2,"('113.171.233.64', 443)","('74.125.204.188', 5228)",0.5,1
3,"('113.171.233.64', 443)","('115.68.207.162', 443)",0.5,1
4,"('103.2.29.69', 443)","('74.125.204.188', 5228)",0.5,1
5,"('113.171.233.34', 443)","('103.2.29.69', 443)",0.5,1
6,"('115.68.207.162', 443)","('74.125.204.188', 5228)",0.5,1
7,"('103.2.29.69', 443)","('115.68.207.162', 443)",0.5,1
8,"('103.2.29.69', 443)","('113.171.233.64', 443)",0.5,1
9,"('113.171.233.56', 443)","('74.125.204.188', 5228)",0.5,1
10,"('115.68.207.162', 443)","('69.171.250.15', 443)",0.5,1
11,"('113.171.233.56', 443)","('115.68.207.162', 443)",0.5,1
12,"('113.171.233.56', 443)","('113.171.233.64', 443)",0.5,1
13,"('113.171.233.56', 443)","('103.2.29.69', 443)",0.5,1
14,"('113.171.233.34', 443)","('74.125.204.188', 5228)",0.5,1
15,"('113.171.233.34', 443)","('69.171.250.15', 443)",0.5,1
16,"('113.171.233.34', 443)","('113.171.233.64', 443)",0.5,1
17,"('69.171.250.15', 443)","('74.125.204.188', 5228)",0.0,1
18,"('113.171.233.64', 443)","('69.171.250.15', 443)",0.0,1
19,"('103.2.29.69', 443)","('69.171.250.15', 443)",0.0,1
20,"('113.171.233.56', 443)","('69.171.250.15', 443)",0.0,1
21,"('113.171.233.34', 443)","('113.171.233.56', 443)",1.0,2
22,"('113.171.233.34', 443)","('113.171.233.64', 443)",1.0,2
23,"('113.171.233.56', 443)","('113.171.233.64', 443)",1.0,2
24,"('113.171.233.34', 443)","('142.250.66.74', 443)",0.6666666666666666,2
25,"('113.171.233.34', 443)","('115.68.207.162', 443)",0.6666666666666666,2
26,"('113.171.233.64', 443)","('69.171.250.15', 443)",0.3333333333333333,2
27,"('113.171.233.64', 443)","('203.205.253.240', 443)",0.3333333333333333,2
28,"('113.171.233.64', 443)","('203.205.255.219', 80)",0.3333333333333333,2
29,"('113.171.233.64', 443)","('203.205.253.240', 14000)",0.3333333333333333,2
30,"('119.235.231.187', 443)","('115.68.207.162', 443)",0.3333333333333333,2
31,"('203.205.253.240', 443)","('203.205.253.240', 14000)",0.3333333333333333,2
32,"('142.250.66.74', 443)","('203.205.239.95', 443)",0.3333333333333333,2
33,"('142.250.66.74', 443)","('203.205.253.240', 443)",0.3333333333333333,2
34,"('142.250.66.74', 443)","('203.205.255.219', 80)",0.3333333333333333,2
35,"('142.250.66.74', 443)","('203.205.253.240', 14000)",0.3333333333333333,2
36,"('113.171.233.64', 443)","('115.68.207.162', 443)",0.3333333333333333,2
37,"('115.68.207.162', 443)","('203.205.235.44', 443)",0.3333333333333333,2
38,"('203.205.239.95', 443)","('203.205.253.240', 443)",0.3333333333333333,2
39,"('203.205.239.95', 443)","('203.205.255.219', 80)",0.3333333333333333,2
40,"('203.205.239.95', 443)","('203.205.253.240', 14000)",0.3333333333333333,2
41,"('203.205.235.44', 443)","('203.205.255.219', 80)",0.3333333333333333,2
42,"('203.205.253.240', 443)","('203.205.255.219', 80)",0.3333333333333333,2
43,"('113.171.233.64', 443)","('203.205.239.95', 443)",0.3333333333333333,2
44,"('203.205.255.219', 80)","('203.205.253.240', 14000)",0.3333333333333333,2
45,"('113.171.233.64', 443)","('142.250.66.74', 443)",0.3333333333333333,2
46,"('113.171.233.56', 443)","('115.68.207.162', 443)",0.3333333333333333,2
47,"('113.171.233.34', 443)","('203.205.235.44', 443)",0.3333333333333333,2
48,"('113.171.233.56', 443)","('203.205.239.95', 443)",0.3333333333333333,2
49,"('113.171.233.56', 443)","('142.250.66.74', 443)",0.3333333333333333,2
50,"('113.171.233.56', 443)","('119.235.231.187', 443)",0.3333333333333333,2
51,"('113.171.233.64', 443)","('119.235.231.187', 443)",0.3333333333333333,2
52,"('113.171.233.34', 443)","('203.205.255.219', 80)",0.3333333333333333,2
53,"('113.171.233.34', 443)","('203.205.253.240', 14000)",0.3333333333333333,2
54,"('113.171.233.56', 443)","('69.171.250.15', 443)",0.3333333333333333,2
55,"('113.171.233.34', 443)","('69.171.250.15', 443)",0.3333333333333333,2
56,"('113.171.233.34', 443)","('203.205.239.95', 443)",0.3333333333333333,2
57,"('113.171.233.56', 443)","('203.205.253.240', 443)",0.3333333333333333,2
58,"('113.171.233.56', 443)","('203.205.255.219', 80)",0.3333333333333333,2
59,"('113.171.233.56', 443)","('203.205.253.240', 14000)",0.3333333333333333,2
60,"('113.171.233.34', 443)","('119.235.231.187', 443)",0.3333333333333333,2
61,"('113.171.233.34', 443)","('203.205.253.240', 443)",0.3333333333333333,2
62,"('203.205.239.95', 443)","('203.205.235.44', 443)",0.0,2
63,"('69.171.250.15', 443)","('203.205.253.240', 443)",0.0,2
64,"('69.171.250.15', 443)","('203.205.235.44', 443)",0.0,2
65,"('115.68.207.162', 443)","('203.205.253.240', 14000)",0.0,2
66,"('69.171.250.15', 443)","('203.205.255.219', 80)",0.0,2
67,"('69.171.250.15', 443)","('203.205.253.240', 14000)",0.0,2
68,"('203.205.235.44', 443)","('203.205.253.240', 443)",0.0,2
69,"('203.205.235.44', 443)","('203.205.253.240', 14000)",0.0,2
70,"('203.205.239.95', 443)","('69.171.250.15', 443)",0.0,2
71,"('115.68.207.162', 443)","('203.205.239.95', 443)",0.0,2
72,"('115.68.207.162', 443)","('203.205.255.219', 80)",0.0,2
73,"('115.68.207.162', 443)","('203.205.253.240', 443)",0.0,2
74,"('115.68.207.162', 443)","('69.171.250.15', 443)",0.0,2
75,"('142.250.66.74', 443)","('203.205.235.44', 443)",0.0,2
76,"('142.250.66.74', 443)","('69.171.250.15', 443)",0.0,2
77,"('142.250.66.74', 443)","('115.68.207.162', 443)",0.0,2
78,"('119.235.231.187', 443)","('203.205.253.240', 14000)",0.0,2
79,"('119.235.231.187', 443)","('203.205.255.219', 80)",0.0,2
80,"('119.235.231.187', 443)","('203.205.253.240', 443)",0.0,2
81,"('119.235.231.187', 443)","('203.205.235.44', 443)",0.0,2
82,"('119.235.231.187', 443)","('203.205.239.95', 443)",0.0,2
83,"('113.171.233.56', 443)","('203.205.235.44', 443)",0.0,2
84,"('119.235.231.187', 443)","('142.250.66.74', 443)",0.0,2
85,"('113.171.233.64', 443)","('203.205.235.44', 443)",0.0,2
86,"('119.235.231.187', 443)","('69.171.250.15', 443)",0.0,2
87,"('23.200.74.48', 443)","('23.57.66.24', 443)",1.0,3
88,"('23.200.74.48', 443)","('23.200.74.59', 443)",1.0,3
89,"('23.200.74.48', 443)","('115.68.207.162', 443)",1.0,3
90,"('23.57.66.24', 443)","('23.200.74.59', 443)",1.0,3
91,"('23.200.74.59', 443)","('115.68.207.162', 443)",1.0,3
92,"('203.205.253.240', 443)","('115.68.207.162', 443)",0.5,3
93,"('23.200.74.59', 443)","('223.166.150.166', 80)",0.5,3
94,"('203.205.235.44', 443)","('203.205.253.240', 443)",0.5,3
95,"('203.205.235.44', 443)","('69.171.250.15', 443)",0.5,3
96,"('203.205.235.44', 443)","('203.205.239.95', 443)",0.5,3
97,"('203.205.235.44', 443)","('115.68.207.162', 443)",0.5,3
98,"('203.205.235.44', 443)","('120.204.16.188', 14000)",0.5,3
99,"('203.205.235.44', 443)","('223.166.150.166', 80)",0.5,3
100,"('203.205.253.240', 443)","('69.171.250.15', 443)",0.5,3
101,"('203.205.253.240', 443)","('203.205.239.95', 443)",0.5,3
102,"('203.205.253.240', 443)","('223.166.150.166', 80)",0.5,3
103,"('203.205.253.240', 443)","('120.204.16.188', 14000)",0.5,3
104,"('69.171.250.15', 443)","('203.205.239.95', 443)",0.5,3
105,"('69.171.250.15', 443)","('115.68.207.162', 443)",0.5,3
106,"('69.171.250.15', 443)","('120.204.16.188', 14000)",0.5,3
107,"('69.171.250.15', 443)","('223.166.150.166', 80)",0.5,3
108,"('203.205.239.95', 443)","('115.68.207.162', 443)",0.5,3
109,"('203.205.239.95', 443)","('120.204.16.188', 14000)",0.5,3
110,"('203.205.239.95', 443)","('223.166.150.166', 80)",0.5,3
111,"('115.68.207.162', 443)","('120.204.16.188', 14000)",0.5,3
112,"('115.68.207.162', 443)","('223.166.150.166', 80)",0.5,3
113,"('23.200.74.59', 443)","('120.204.16.188', 14000)",0.5,3
114,"('120.204.16.188', 14000)","('223.166.150.166', 80)",0.5,3
115,"('23.200.74.59', 443)","('203.205.239.95', 443)",0.5,3
116,"('23.57.66.24', 443)","('115.68.207.162', 443)",0.5,3
117,"('23.57.66.24', 443)","('23.74.15.18', 443)",0.5,3
118,"('23.200.74.48', 443)","('203.205.235.44', 443)",0.5,3
119,"('23.200.74.48', 443)","('203.205.253.240', 443)",0.5,3
120,"('23.200.74.48', 443)","('23.74.15.18', 443)",0.5,3
121,"('23.200.74.48', 443)","('69.171.250.15', 443)",0.5,3
122,"('23.200.74.48', 443)","('203.205.239.95', 443)",0.5,3
123,"('23.200.74.48', 443)","('120.204.16.188', 14000)",0.5,3
124,"('23.200.74.48', 443)","('223.166.150.166', 80)",0.5,3
125,"('23.200.74.59', 443)","('203.205.253.240', 443)",0.5,3
126,"('23.200.74.59', 443)","('69.171.250.15', 443)",0.5,3
127,"('23.200.74.59', 443)","('203.205.235.44', 443)",0.5,3
128,"('23.200.74.59', 443)","('103.243.202.203', 443)",0.5,3
129,"('23.74.15.18', 443)","('203.205.239.95', 443)",0.0,3
130,"('23.74.15.18', 443)","('115.68.207.162', 443)",0.0,3
131,"('23.57.66.24', 443)","('103.243.202.203', 443)",0.0,3
132,"('23.74.15.18', 443)","('120.204.16.188', 14000)",0.0,3
133,"('23.74.15.18', 443)","('223.166.150.166', 80)",0.0,3
134,"('23.57.66.24', 443)","('203.205.235.44', 443)",0.0,3
135,"('23.200.74.48', 443)","('103.243.202.203', 443)",0.0,3
136,"('23.74.15.18', 443)","('69.171.250.15', 443)",0.0,3
137,"('23.57.66.24', 443)","('69.171.250.15', 443)",0.0,3
138,"('23.57.66.24', 443)","('203.205.253.240', 443)",0.0,3
139,"('23.57.66.24', 443)","('203.205.239.95', 443)",0.0,3
140,"('203.205.253.240', 443)","('23.74.15.18', 443)",0.0,3
