,source,target,weight,graph_id
0,"('118.69.184.22', 80)","('118.69.184.26', 443)",1.0,1
1,"('118.69.184.22', 80)","('74.125.200.94', 80)",0.5,1
2,"('118.69.184.22', 80)","('74.125.24.99', 443)",0.5,1
3,"('74.125.200.94', 80)","('74.125.24.99', 443)",0.5,1
4,"('118.69.184.26', 443)","('74.125.200.94', 80)",0.0,1
5,"('118.69.184.26', 443)","('74.125.24.99', 443)",0.0,1
6,"('118.69.184.22', 80)","('118.69.184.26', 443)",1.0,2
7,"('118.69.184.22', 80)","('74.125.68.95', 443)",1.0,2
8,"('118.69.184.22', 80)","('74.125.68.188', 5228)",0.5,2
9,"('74.125.68.95', 443)","('74.125.68.188', 5228)",0.5,2
10,"('118.69.184.26', 443)","('74.125.68.95', 443)",0.0,2
11,"('118.69.184.26', 443)","('74.125.68.188', 5228)",0.0,2
12,"('118.69.184.22', 80)","('118.69.184.26', 443)",1.0,3
13,"('118.69.184.22', 80)","('8.241.157.252', 443)",0.5,3
14,"('118.69.184.26', 443)","('8.241.157.252', 443)",0.0,3
15,"('113.164.8.250', 8080)","('118.69.184.22', 80)",1.0,4
16,"('118.69.184.22', 80)","('151.101.2.219', 443)",1.0,4
17,"('118.69.184.22', 80)","('118.69.184.26', 443)",1.0,4
18,"('104.18.28.206', 443)","('151.101.2.219', 443)",0.5,4
19,"('27.68.239.33', 8080)","('180.93.87.24', 8080)",0.5,4
20,"('27.68.239.33', 8080)","('1.55.119.15', 8080)",0.5,4
21,"('27.68.239.33', 8080)","('118.69.184.26', 443)",0.5,4
22,"('27.68.239.33', 8080)","('151.101.2.219', 443)",0.5,4
23,"('103.130.141.226', 8080)","('180.93.87.24', 8080)",0.5,4
24,"('103.130.141.226', 8080)","('1.55.119.15', 8080)",0.5,4
25,"('103.130.141.226', 8080)","('118.69.184.26', 443)",0.5,4
26,"('103.130.141.226', 8080)","('151.101.2.219', 443)",0.5,4
27,"('180.93.87.24', 8080)","('1.55.119.15', 8080)",0.5,4
28,"('180.93.87.24', 8080)","('118.69.184.26', 443)",0.5,4
29,"('180.93.87.24', 8080)","('151.101.2.219', 443)",0.5,4
30,"('1.55.119.15', 8080)","('118.69.184.26', 443)",0.5,4
31,"('1.55.119.15', 8080)","('151.101.2.219', 443)",0.5,4
32,"('27.68.239.33', 8080)","('103.130.141.226', 8080)",0.5,4
33,"('118.69.184.26', 443)","('151.101.2.219', 443)",0.5,4
34,"('118.69.184.22', 80)","('27.68.239.33', 8080)",0.5,4
35,"('113.164.8.250', 8080)","('118.69.184.26', 443)",0.5,4
36,"('113.164.8.250', 8080)","('27.68.239.33', 8080)",0.5,4
37,"('113.164.8.250', 8080)","('103.130.141.226', 8080)",0.5,4
38,"('113.164.8.250', 8080)","('180.93.87.24', 8080)",0.5,4
39,"('118.69.184.22', 80)","('1.55.119.15', 8080)",0.5,4
40,"('118.69.184.22', 80)","('180.93.87.24', 8080)",0.5,4
41,"('118.69.184.22', 80)","('103.130.141.226', 8080)",0.5,4
42,"('113.164.8.250', 8080)","('1.55.119.15', 8080)",0.5,4
43,"('118.69.184.22', 80)","('104.18.28.206', 443)",0.5,4
44,"('113.164.8.250', 8080)","('151.101.2.219', 443)",0.5,4
45,"('104.18.28.206', 443)","('118.69.184.26', 443)",0.0,4
46,"('113.164.8.250', 8080)","('104.18.28.206', 443)",0.0,4
47,"('104.18.28.206', 443)","('27.68.239.33', 8080)",0.0,4
48,"('104.18.28.206', 443)","('103.130.141.226', 8080)",0.0,4
49,"('104.18.28.206', 443)","('180.93.87.24', 8080)",0.0,4
50,"('104.18.28.206', 443)","('1.55.119.15', 8080)",0.0,4
51,"('118.69.184.22', 80)","('118.69.184.26', 443)",1.0,5
