,source,target,weight,graph_id
0,"('23.246.54.151', 443)","('23.246.54.136', 443)",1.0,1
1,"('23.246.54.151', 443)","('45.57.41.1', 443)",0.6666666666666666,1
2,"('23.246.54.151', 443)","('54.189.33.245', 443)",0.6666666666666666,1
3,"('23.246.54.136', 443)","('45.57.41.1', 443)",0.6666666666666666,1
4,"('45.57.41.1', 443)","('54.189.33.245', 443)",0.6666666666666666,1
5,"('23.246.54.136', 443)","('54.189.33.245', 443)",0.0,1
6,"('23.246.54.131', 443)","('23.246.54.150', 443)",1.0,2
7,"('23.246.54.131', 443)","('45.57.41.1', 443)",0.3333333333333333,2
8,"('23.246.54.131', 443)","('52.41.157.130', 443)",0.3333333333333333,2
9,"('23.246.54.150', 443)","('45.57.41.1', 443)",0.0,2
10,"('23.246.54.150', 443)","('52.41.157.130', 443)",0.0,2
11,"('45.57.41.1', 443)","('52.41.157.130', 443)",0.0,2
12,"('23.246.57.145', 443)","('45.57.41.1', 443)",1.0,3
13,"('23.246.57.145', 443)","('52.41.157.130', 443)",0.0,3
14,"('45.57.41.1', 443)","('52.41.157.130', 443)",0.0,3
15,"('23.246.57.150', 443)","('23.246.57.141', 443)",1.0,4
16,"('23.246.57.150', 443)","('23.246.57.131', 443)",0.2857142857142857,4
17,"('23.246.57.131', 443)","('23.246.57.141', 443)",0.2857142857142857,4
18,"('23.246.57.150', 443)","('45.57.40.1', 443)",0.14285714285714285,4
19,"('23.246.57.150', 443)","('216.58.197.106', 443)",0.14285714285714285,4
20,"('23.246.57.131', 443)","('216.58.197.106', 443)",0.14285714285714285,4
21,"('23.246.57.141', 443)","('45.57.40.1', 443)",0.14285714285714285,4
22,"('23.246.57.141', 443)","('216.58.197.106', 443)",0.14285714285714285,4
23,"('23.246.57.131', 443)","('45.57.40.1', 443)",0.0,4
24,"('45.57.40.1', 443)","('216.58.197.106', 443)",0.0,4
25,"('23.246.54.130', 443)","('54.184.157.35', 443)",1.0,5
26,"('23.246.54.130', 443)","('45.57.40.1', 443)",1.0,5
27,"('54.184.157.35', 443)","('45.57.40.1', 443)",0.0,5
28,"('23.246.56.145', 443)","('23.246.57.141', 443)",1.0,6
29,"('23.246.56.145', 443)","('45.57.41.1', 443)",0.6666666666666666,6
30,"('23.246.56.145', 443)","('23.246.57.142', 443)",0.6666666666666666,6
31,"('23.246.56.145', 443)","('34.214.209.123', 443)",0.3333333333333333,6
32,"('23.246.56.145', 443)","('23.246.56.149', 443)",0.3333333333333333,6
33,"('23.246.57.141', 443)","('23.246.57.142', 443)",0.3333333333333333,6
34,"('45.57.41.1', 443)","('23.246.56.149', 443)",0.3333333333333333,6
35,"('45.57.41.1', 443)","('23.246.57.142', 443)",0.3333333333333333,6
36,"('23.246.57.141', 443)","('45.57.41.1', 443)",0.0,6
37,"('23.246.57.141', 443)","('34.214.209.123', 443)",0.0,6
38,"('23.246.57.141', 443)","('23.246.56.149', 443)",0.0,6
39,"('45.57.41.1', 443)","('34.214.209.123', 443)",0.0,6
40,"('34.214.209.123', 443)","('23.246.56.149', 443)",0.0,6
41,"('34.214.209.123', 443)","('23.246.57.142', 443)",0.0,6
42,"('23.246.56.149', 443)","('23.246.57.142', 443)",0.0,6
43,"('23.246.54.151', 443)","('52.41.157.130', 443)",1.0,7
44,"('23.246.54.151', 443)","('45.57.40.1', 443)",0.5,7
45,"('52.41.157.130', 443)","('45.57.40.1', 443)",0.0,7
46,"('23.246.57.132', 443)","('23.246.57.149', 443)",1.0,8
47,"('23.246.57.132', 443)","('44.225.17.85', 443)",0.6666666666666666,8
48,"('23.246.57.132', 443)","('23.246.56.131', 443)",0.3333333333333333,8
49,"('23.246.57.149', 443)","('44.225.17.85', 443)",0.3333333333333333,8
50,"('44.235.252.74', 443)","('44.225.17.85', 443)",0.3333333333333333,8
51,"('23.246.57.132', 443)","('44.235.252.74', 443)",0.3333333333333333,8
52,"('44.235.252.74', 443)","('108.177.125.188', 5228)",0.0,8
53,"('45.57.41.1', 443)","('108.177.125.188', 5228)",0.0,8
54,"('45.57.41.1', 443)","('23.246.56.131', 443)",0.0,8
55,"('44.229.178.197', 443)","('108.177.125.188', 5228)",0.0,8
56,"('44.229.178.197', 443)","('23.246.56.131', 443)",0.0,8
57,"('44.229.178.197', 443)","('45.57.41.1', 443)",0.0,8
58,"('44.225.17.85', 443)","('108.177.125.188', 5228)",0.0,8
59,"('44.225.17.85', 443)","('23.246.56.131', 443)",0.0,8
60,"('44.225.17.85', 443)","('45.57.41.1', 443)",0.0,8
61,"('44.225.17.85', 443)","('44.229.178.197', 443)",0.0,8
62,"('44.235.252.74', 443)","('44.229.178.197', 443)",0.0,8
63,"('44.235.252.74', 443)","('23.246.56.131', 443)",0.0,8
64,"('44.235.252.74', 443)","('45.57.41.1', 443)",0.0,8
65,"('23.246.57.149', 443)","('108.177.125.188', 5228)",0.0,8
66,"('23.246.57.149', 443)","('23.246.56.131', 443)",0.0,8
67,"('23.246.57.149', 443)","('45.57.41.1', 443)",0.0,8
68,"('23.246.57.149', 443)","('44.229.178.197', 443)",0.0,8
69,"('23.246.57.149', 443)","('44.235.252.74', 443)",0.0,8
70,"('23.246.57.132', 443)","('108.177.125.188', 5228)",0.0,8
71,"('23.246.57.132', 443)","('45.57.41.1', 443)",0.0,8
72,"('23.246.57.132', 443)","('44.229.178.197', 443)",0.0,8
73,"('23.246.56.131', 443)","('108.177.125.188', 5228)",0.0,8
74,"('23.246.54.135', 443)","('45.57.41.1', 443)",1.0,9
75,"('23.246.54.135', 443)","('44.235.252.74', 443)",0.5,9
76,"('45.57.41.1', 443)","('44.235.252.74', 443)",0.0,9
77,"('23.246.57.143', 443)","('23.246.57.150', 443)",1.0,10
78,"('23.246.57.143', 443)","('23.246.57.141', 443)",0.5,10
79,"('45.57.40.1', 443)","('64.233.188.188', 5228)",0.5,10
80,"('23.246.57.141', 443)","('23.246.57.150', 443)",0.5,10
81,"('23.246.57.143', 443)","('45.57.40.1', 443)",0.0,10
82,"('23.246.57.143', 443)","('64.233.188.188', 5228)",0.0,10
83,"('45.57.40.1', 443)","('23.246.57.141', 443)",0.0,10
84,"('45.57.40.1', 443)","('23.246.57.150', 443)",0.0,10
85,"('64.233.188.188', 5228)","('23.246.57.141', 443)",0.0,10
86,"('64.233.188.188', 5228)","('23.246.57.150', 443)",0.0,10
87,"('23.246.54.145', 443)","('45.57.41.1', 443)",1.0,11
88,"('23.246.54.145', 443)","('54.184.157.35', 443)",1.0,11
89,"('23.246.54.145', 443)","('216.58.197.106', 443)",1.0,11
90,"('23.246.54.145', 443)","('172.217.174.202', 443)",1.0,11
91,"('45.57.41.1', 443)","('54.184.157.35', 443)",1.0,11
92,"('45.57.41.1', 443)","('172.217.174.202', 443)",1.0,11
93,"('54.184.157.35', 443)","('172.217.174.202', 443)",1.0,11
94,"('23.246.54.145', 443)","('74.125.204.188', 5228)",0.5,11
95,"('45.57.41.1', 443)","('74.125.204.188', 5228)",0.5,11
96,"('54.184.157.35', 443)","('74.125.204.188', 5228)",0.5,11
97,"('172.217.174.202', 443)","('74.125.204.188', 5228)",0.5,11
98,"('45.57.41.1', 443)","('216.58.197.106', 443)",0.0,11
99,"('54.184.157.35', 443)","('216.58.197.106', 443)",0.0,11
100,"('216.58.197.106', 443)","('172.217.174.202', 443)",0.0,11
101,"('216.58.197.106', 443)","('74.125.204.188', 5228)",0.0,11
102,"('23.246.56.144', 443)","('23.246.56.131', 443)",1.0,12
103,"('23.246.56.144', 443)","('44.225.17.85', 443)",0.18181818181818182,12
104,"('23.246.56.144', 443)","('45.57.41.1', 443)",0.18181818181818182,12
105,"('23.246.56.131', 443)","('44.225.17.85', 443)",0.18181818181818182,12
106,"('23.246.56.131', 443)","('45.57.41.1', 443)",0.18181818181818182,12
107,"('44.225.17.85', 443)","('45.57.41.1', 443)",0.0,12
108,"('23.246.56.150', 443)","('44.235.228.33', 443)",1.0,13
109,"('23.246.56.150', 443)","('45.57.41.1', 443)",1.0,13
110,"('44.235.228.33', 443)","('45.57.41.1', 443)",0.0,13
111,"('23.246.56.140', 443)","('23.246.56.134', 443)",1.0,14
112,"('23.246.56.140', 443)","('23.246.57.149', 443)",0.6666666666666666,14
113,"('23.246.56.140', 443)","('45.57.41.1', 443)",0.6666666666666666,14
114,"('23.246.56.134', 443)","('45.57.40.1', 443)",0.6666666666666666,14
115,"('45.57.41.1', 443)","('23.246.56.148', 443)",0.6666666666666666,14
116,"('23.246.56.134', 443)","('23.246.56.148', 443)",0.6666666666666666,14
117,"('23.246.56.134', 443)","('45.57.41.1', 443)",0.6666666666666666,14
