,source,target,weight,graph_id
0,"('117.0.209.50', 443)","('74.125.164.234', 443)",1.0,1
1,"('117.0.209.50', 443)","('31.13.68.35', 443)",0.2,1
2,"('117.0.209.50', 443)","('157.240.217.15', 443)",0.2,1
3,"('117.0.209.50', 443)","('172.217.194.188', 5228)",0.2,1
4,"('117.0.209.50', 443)","('31.13.68.1', 443)",0.2,1
5,"('74.125.164.234', 443)","('172.217.194.188', 5228)",0.2,1
6,"('31.13.68.35', 443)","('157.240.217.15', 443)",0.2,1
7,"('31.13.68.35', 443)","('31.13.68.1', 443)",0.2,1
8,"('157.240.217.15', 443)","('31.13.68.1', 443)",0.2,1
9,"('74.125.164.234', 443)","('31.13.68.35', 443)",0.0,1
10,"('74.125.164.234', 443)","('157.240.217.15', 443)",0.0,1
11,"('74.125.164.234', 443)","('31.13.68.1', 443)",0.0,1
12,"('31.13.68.35', 443)","('172.217.194.188', 5228)",0.0,1
13,"('157.240.217.15', 443)","('172.217.194.188', 5228)",0.0,1
14,"('172.217.194.188', 5228)","('31.13.68.1', 443)",0.0,1
15,"('172.217.194.102', 443)","('74.125.24.94', 443)",1.0,2
16,"('74.125.130.95', 443)","('172.217.194.95', 443)",1.0,2
17,"('74.125.24.95', 443)","('74.125.24.94', 443)",1.0,2
18,"('74.125.130.95', 443)","('74.125.24.138', 443)",0.5,2
19,"('172.217.194.95', 443)","('74.125.24.138', 443)",0.5,2
20,"('172.217.194.102', 443)","('74.125.24.95', 443)",0.5,2
21,"('74.125.24.94', 443)","('74.125.24.138', 443)",0.5,2
22,"('74.125.24.94', 443)","('31.13.68.1', 443)",0.5,2
23,"('74.125.130.95', 443)","('74.125.24.95', 443)",0.5,2
24,"('74.125.130.95', 443)","('74.125.24.94', 443)",0.5,2
25,"('74.125.24.95', 443)","('74.125.24.138', 443)",0.5,2
26,"('172.217.194.95', 443)","('74.125.24.95', 443)",0.5,2
27,"('172.217.194.95', 443)","('74.125.24.94', 443)",0.5,2
28,"('74.125.24.95', 443)","('31.13.68.1', 443)",0.0,2
29,"('172.217.194.102', 443)","('74.125.130.95', 443)",0.0,2
30,"('172.217.194.95', 443)","('31.13.68.1', 443)",0.0,2
31,"('172.217.194.102', 443)","('172.217.194.95', 443)",0.0,2
32,"('74.125.130.95', 443)","('31.13.68.1', 443)",0.0,2
33,"('172.217.194.102', 443)","('74.125.24.138', 443)",0.0,2
34,"('172.217.194.102', 443)","('31.13.68.1', 443)",0.0,2
35,"('31.13.68.1', 443)","('74.125.24.138', 443)",0.0,2
36,"('74.125.12.70', 443)","('74.125.24.94', 443)",1.0,3
37,"('74.125.12.70', 443)","('31.13.68.35', 443)",1.0,3
38,"('74.125.12.70', 443)","('172.217.194.104', 443)",1.0,3
39,"('74.125.12.70', 443)","('74.125.24.132', 443)",1.0,3
40,"('74.125.12.70', 443)","('172.217.194.95', 443)",1.0,3
