,source,target,weight,graph_id
0,"('123.30.147.180', 443)","('123.30.147.183', 443)",1.0,1
1,"('123.30.147.180', 443)","('119.28.243.139', 443)",1.0,1
2,"('123.30.147.183', 443)","('119.28.243.139', 443)",1.0,1
3,"('119.28.243.139', 443)","('13.225.148.116', 443)",0.5714285714285714,1
4,"('123.30.147.180', 443)","('13.225.148.116', 443)",0.5714285714285714,1
5,"('123.30.147.183', 443)","('13.225.148.116', 443)",0.5714285714285714,1
6,"('123.30.147.183', 443)","('104.78.28.242', 443)",0.42857142857142855,1
7,"('123.30.147.180', 443)","('104.78.28.242', 443)",0.42857142857142855,1
8,"('119.28.243.139', 443)","('104.78.28.242', 443)",0.42857142857142855,1
9,"('119.28.243.139', 443)","('35.186.195.157', 443)",0.2857142857142857,1
10,"('119.28.243.139', 443)","('44.237.184.28', 443)",0.2857142857142857,1
11,"('13.228.0.199', 443)","('142.250.66.34', 443)",0.2857142857142857,1
12,"('119.28.243.139', 443)","('203.162.81.184', 443)",0.2857142857142857,1
13,"('119.28.243.139', 443)","('49.213.114.129', 443)",0.2857142857142857,1
14,"('119.28.243.139', 443)","('13.228.0.199', 443)",0.2857142857142857,1
15,"('119.28.243.139', 443)","('172.217.174.206', 443)",0.2857142857142857,1
16,"('119.28.243.139', 443)","('34.107.168.200', 443)",0.2857142857142857,1
17,"('119.28.243.139', 443)","('142.250.66.34', 443)",0.2857142857142857,1
18,"('104.78.28.242', 443)","('172.217.174.206', 443)",0.2857142857142857,1
19,"('172.217.174.206', 443)","('142.250.66.34', 443)",0.2857142857142857,1
20,"('203.162.81.184', 443)","('35.186.195.157', 443)",0.2857142857142857,1
21,"('104.78.28.242', 443)","('142.250.66.34', 443)",0.2857142857142857,1
22,"('35.186.195.157', 443)","('142.250.66.34', 443)",0.2857142857142857,1
23,"('13.228.0.199', 443)","('172.217.174.206', 443)",0.2857142857142857,1
24,"('203.162.81.184', 443)","('104.78.28.242', 443)",0.2857142857142857,1
25,"('35.186.195.157', 443)","('172.217.174.206', 443)",0.2857142857142857,1
26,"('35.186.195.157', 443)","('13.228.0.199', 443)",0.2857142857142857,1
27,"('203.162.81.184', 443)","('13.228.0.199', 443)",0.2857142857142857,1
28,"('203.162.81.184', 443)","('172.217.174.206', 443)",0.2857142857142857,1
