,source,target,weight,graph_id
0,"('34.120.189.55', 443)","('34.80.250.70', 443)",1.0,1
1,"('34.120.189.55', 443)","('52.84.169.111', 443)",1.0,1
2,"('34.120.189.55', 443)","('172.217.194.102', 443)",1.0,1
3,"('34.80.250.70', 443)","('52.84.169.111', 443)",1.0,1
4,"('34.80.250.70', 443)","('172.217.194.102', 443)",0.0,1
5,"('52.84.169.111', 443)","('172.217.194.102', 443)",0.0,1
6,"('34.120.189.55', 443)","('157.240.7.20', 443)",1.0,2
7,"('34.120.189.55', 443)","('99.86.33.62', 443)",0.0,2
8,"('157.240.7.20', 443)","('99.86.33.62', 443)",0.0,2
9,"('34.120.189.55', 443)","('74.125.200.188', 5228)",,3
10,"('34.120.189.55', 443)","('172.217.194.95', 443)",,3
11,"('74.125.200.188', 5228)","('172.217.194.95', 443)",,3
12,"('34.120.189.55', 443)","('74.125.130.155', 443)",1.0,4
13,"('34.120.189.55', 443)","('74.125.24.95', 443)",1.0,4
14,"('34.120.189.55', 443)","('172.217.194.95', 443)",1.0,4
15,"('74.125.130.155', 443)","('74.125.24.95', 443)",1.0,4
16,"('74.125.130.155', 443)","('172.217.194.95', 443)",0.0,4
17,"('74.125.24.95', 443)","('172.217.194.95', 443)",0.0,4
18,"('34.120.189.55', 443)","('74.125.200.95', 443)",1.0,5
19,"('34.120.189.55', 443)","('74.125.24.188', 5228)",0.0,5
20,"('74.125.200.95', 443)","('74.125.24.188', 5228)",0.0,5
21,"('34.120.189.55', 443)","('172.217.194.95', 443)",1.0,6
22,"('34.120.189.55', 443)","('119.28.184.101', 443)",0.0,6
23,"('34.120.189.55', 443)","('172.217.194.113', 443)",0.0,6
24,"('34.120.189.55', 443)","('74.125.68.188', 5228)",0.0,6
25,"('34.120.189.55', 443)","('17.253.83.203', 80)",0.0,6
26,"('172.217.194.95', 443)","('119.28.184.101', 443)",0.0,6
27,"('172.217.194.95', 443)","('172.217.194.113', 443)",0.0,6
28,"('172.217.194.95', 443)","('74.125.68.188', 5228)",0.0,6
29,"('172.217.194.95', 443)","('17.253.83.203', 80)",0.0,6
30,"('119.28.184.101', 443)","('172.217.194.113', 443)",0.0,6
31,"('119.28.184.101', 443)","('74.125.68.188', 5228)",0.0,6
