,source,target,weight,graph_id
0,"('192.229.237.96', 443)","('104.244.42.195', 443)",1.0,1
1,"('192.229.237.96', 443)","('104.244.42.66', 443)",0.8571428571428571,1
2,"('104.244.42.195', 443)","('104.244.42.66', 443)",0.8571428571428571,1
3,"('117.18.232.102', 443)","('104.244.42.195', 443)",0.42857142857142855,1
4,"('117.18.232.102', 443)","('192.229.237.96', 443)",0.2857142857142857,1
5,"('117.18.232.102', 443)","('104.244.42.66', 443)",0.14285714285714285,1
6,"('117.18.232.102', 443)","('152.199.43.83', 443)",0.14285714285714285,1
7,"('104.244.42.195', 443)","('152.199.43.83', 443)",0.14285714285714285,1
8,"('192.229.237.96', 443)","('152.199.43.83', 443)",0.0,1
9,"('104.244.42.66', 443)","('152.199.43.83', 443)",0.0,1
10,"('104.244.42.3', 443)","('34.102.215.127', 443)",1.0,2
11,"('104.244.42.3', 443)","('104.244.42.66', 443)",0.0,2
12,"('34.102.215.127', 443)","('104.244.42.66', 443)",0.0,2
13,"('117.18.232.102', 443)","('104.244.42.195', 443)",1.0,3
14,"('104.244.42.2', 443)","('104.244.42.195', 443)",0.9,3
15,"('192.229.237.101', 443)","('104.244.42.195', 443)",0.9,3
16,"('117.18.232.102', 443)","('192.229.237.101', 443)",0.7,3
17,"('117.18.232.102', 443)","('104.244.42.2', 443)",0.7,3
18,"('192.229.237.101', 443)","('104.244.42.2', 443)",0.6,3
19,"('104.244.42.195', 443)","('152.199.43.83', 443)",0.3,3
20,"('117.18.232.102', 443)","('152.199.43.83', 443)",0.3,3
21,"('104.244.42.2', 443)","('152.199.43.83', 443)",0.3,3
22,"('192.229.237.101', 443)","('142.250.204.132', 443)",0.2,3
23,"('104.244.42.195', 443)","('142.250.204.132', 443)",0.2,3
24,"('104.244.42.2', 443)","('172.217.24.35', 443)",0.2,3
25,"('104.244.42.2', 443)","('142.250.204.132', 443)",0.2,3
26,"('192.229.237.101', 443)","('152.199.43.83', 443)",0.2,3
27,"('104.244.42.195', 443)","('172.217.24.35', 443)",0.2,3
28,"('117.18.232.102', 443)","('172.217.24.35', 443)",0.2,3
29,"('142.250.204.132', 443)","('172.217.174.202', 443)",0.1,3
30,"('117.18.232.102', 443)","('47.241.108.101', 443)",0.1,3
31,"('104.244.42.195', 443)","('172.217.174.202', 443)",0.1,3
32,"('117.18.232.102', 443)","('142.250.204.132', 443)",0.1,3
33,"('104.244.42.195', 443)","('172.217.163.234', 443)",0.1,3
34,"('104.244.42.195', 443)","('91.199.212.52', 80)",0.1,3
35,"('142.250.204.132', 443)","('47.241.108.101', 443)",0.1,3
36,"('142.250.204.132', 443)","('161.117.71.226', 443)",0.1,3
37,"('192.229.237.101', 443)","('47.241.108.101', 443)",0.1,3
38,"('104.244.42.195', 443)","('47.241.108.101', 443)",0.1,3
39,"('192.229.237.101', 443)","('161.117.71.226', 443)",0.1,3
40,"('64.233.189.188', 5228)","('172.217.163.234', 443)",0.1,3
41,"('47.241.108.101', 443)","('161.117.71.226', 443)",0.1,3
42,"('47.241.108.101', 443)","('172.217.174.202', 443)",0.1,3
43,"('152.199.43.83', 443)","('91.199.212.52', 80)",0.1,3
44,"('161.117.71.226', 443)","('172.217.174.202', 443)",0.1,3
