,source,target,weight,graph_id
0,"('171.244.28.82', 443)","('74.125.130.95', 443)",1.0,1
1,"('171.244.28.82', 443)","('54.192.23.93', 443)",0.3333333333333333,1
2,"('171.244.28.82', 443)","('172.217.194.156', 443)",0.3333333333333333,1
3,"('171.244.28.82', 443)","('172.217.194.95', 443)",0.3333333333333333,1
4,"('171.244.28.82', 443)","('74.125.200.95', 443)",0.3333333333333333,1
5,"('54.192.23.93', 443)","('172.217.194.156', 443)",0.3333333333333333,1
6,"('54.192.23.93', 443)","('172.217.194.95', 443)",0.3333333333333333,1
7,"('54.192.23.93', 443)","('74.125.200.95', 443)",0.3333333333333333,1
8,"('172.217.194.156', 443)","('172.217.194.95', 443)",0.3333333333333333,1
9,"('172.217.194.156', 443)","('74.125.200.95', 443)",0.3333333333333333,1
10,"('172.217.194.95', 443)","('74.125.200.95', 443)",0.3333333333333333,1
11,"('74.125.130.95', 443)","('54.192.23.93', 443)",0.0,1
12,"('74.125.130.95', 443)","('172.217.194.156', 443)",0.0,1
13,"('74.125.130.95', 443)","('172.217.194.95', 443)",0.0,1
14,"('74.125.130.95', 443)","('74.125.200.95', 443)",0.0,1
15,"('113.164.27.165', 443)","('74.125.24.95', 443)",1.0,2
16,"('113.164.27.165', 443)","('54.76.72.60', 443)",0.25,2
17,"('113.164.27.165', 443)","('172.217.194.105', 443)",0.25,2
18,"('74.125.24.95', 443)","('172.217.194.105', 443)",0.25,2
19,"('74.125.24.95', 443)","('54.76.72.60', 443)",0.0,2
20,"('54.76.72.60', 443)","('172.217.194.105', 443)",0.0,2
21,"('171.244.28.82', 443)","('54.192.23.120', 443)",1.0,3
22,"('171.244.28.82', 443)","('103.27.67.136', 80)",1.0,3
23,"('54.192.23.120', 443)","('103.27.67.136', 80)",0.0,3
24,"('171.244.28.92', 443)","('74.125.130.95', 443)",1.0,4
25,"('171.244.28.92', 443)","('54.192.23.128', 443)",0.25,4
26,"('171.244.28.92', 443)","('172.253.118.95', 443)",0.25,4
27,"('54.192.23.128', 443)","('172.253.118.95', 443)",0.25,4
28,"('74.125.130.95', 443)","('54.192.23.128', 443)",0.0,4
29,"('74.125.130.95', 443)","('172.253.118.95', 443)",0.0,4
30,"('113.164.27.195', 443)","('74.125.200.95', 443)",1.0,5
31,"('113.164.27.195', 443)","('172.217.194.99', 443)",0.3333333333333333,5
32,"('113.164.27.195', 443)","('172.253.118.100', 443)",0.3333333333333333,5
33,"('74.125.130.188', 5228)","('172.217.194.99', 443)",0.3333333333333333,5
34,"('172.217.194.94', 80)","('74.125.24.105', 443)",0.3333333333333333,5
35,"('172.253.118.100', 443)","('74.125.68.94', 443)",0.3333333333333333,5
36,"('113.164.27.195', 443)","('74.125.68.94', 443)",0.3333333333333333,5
37,"('113.164.27.195', 443)","('74.125.24.105', 443)",0.3333333333333333,5
38,"('113.164.27.195', 443)","('172.217.194.94', 80)",0.3333333333333333,5
39,"('113.164.27.195', 443)","('74.125.130.188', 5228)",0.3333333333333333,5
40,"('74.125.24.105', 443)","('172.217.194.99', 443)",0.0,5
41,"('74.125.130.188', 5228)","('172.217.194.94', 80)",0.0,5
42,"('172.217.194.94', 80)","('172.217.194.99', 443)",0.0,5
43,"('172.217.194.94', 80)","('74.125.68.94', 443)",0.0,5
44,"('74.125.130.188', 5228)","('74.125.68.94', 443)",0.0,5
45,"('74.125.130.188', 5228)","('74.125.24.105', 443)",0.0,5
46,"('74.125.24.105', 443)","('74.125.68.94', 443)",0.0,5
47,"('172.253.118.100', 443)","('172.217.194.94', 80)",0.0,5
48,"('172.253.118.100', 443)","('172.217.194.99', 443)",0.0,5
