,source,target,weight,graph_id
0,"('35.201.74.116', 443)","('35.244.184.98', 443)",1.0,1
1,"('216.58.199.98', 443)","('13.227.53.94', 443)",0.5,1
2,"('35.201.74.116', 443)","('216.58.199.98', 443)",0.5,1
3,"('35.201.74.116', 443)","('13.227.53.94', 443)",0.5,1
4,"('35.201.74.116', 443)","('216.58.197.98', 443)",0.5,1
5,"('35.244.184.98', 443)","('216.58.197.98', 443)",0.5,1
6,"('35.244.184.98', 443)","('216.58.199.98', 443)",0.5,1
7,"('35.244.184.98', 443)","('13.227.53.94', 443)",0.5,1
8,"('216.58.199.98', 443)","('69.171.250.35', 443)",0.25,1
9,"('13.227.53.94', 443)","('69.171.250.35', 443)",0.25,1
10,"('216.58.197.98', 443)","('203.205.239.95', 443)",0.25,1
11,"('203.205.239.95', 443)","('13.225.148.82', 443)",0.25,1
12,"('216.58.197.98', 443)","('13.227.53.76', 443)",0.25,1
13,"('35.244.184.98', 443)","('69.171.250.35', 443)",0.25,1
14,"('203.205.239.95', 443)","('113.171.233.66', 80)",0.25,1
15,"('35.244.184.98', 443)","('203.205.239.95', 443)",0.25,1
16,"('35.244.184.98', 443)","('13.227.53.76', 443)",0.25,1
17,"('35.201.74.116', 443)","('69.171.250.35', 443)",0.25,1
18,"('13.225.148.82', 443)","('113.171.233.66', 80)",0.25,1
19,"('35.201.74.116', 443)","('203.205.239.95', 443)",0.25,1
20,"('35.201.74.116', 443)","('13.227.53.76', 443)",0.25,1
21,"('203.205.239.95', 443)","('69.171.250.35', 443)",0.0,1
22,"('13.225.148.82', 443)","('69.171.250.35', 443)",0.0,1
23,"('13.227.53.94', 443)","('113.171.233.66', 80)",0.0,1
24,"('13.227.53.94', 443)","('13.225.148.82', 443)",0.0,1
25,"('13.227.53.94', 443)","('203.205.239.95', 443)",0.0,1
26,"('216.58.199.98', 443)","('113.171.233.66', 80)",0.0,1
27,"('216.58.199.98', 443)","('13.225.148.82', 443)",0.0,1
28,"('216.58.199.98', 443)","('203.205.239.95', 443)",0.0,1
29,"('216.58.197.98', 443)","('69.171.250.35', 443)",0.0,1
30,"('13.227.53.76', 443)","('113.171.233.66', 80)",0.0,1
31,"('13.227.53.76', 443)","('69.171.250.35', 443)",0.0,1
32,"('13.227.53.76', 443)","('13.225.148.82', 443)",0.0,1
33,"('13.227.53.76', 443)","('203.205.239.95', 443)",0.0,1
34,"('13.227.53.76', 443)","('13.227.53.94', 443)",0.0,1
35,"('13.227.53.76', 443)","('216.58.199.98', 443)",0.0,1
36,"('216.58.197.98', 443)","('113.171.233.66', 80)",0.0,1
37,"('216.58.197.98', 443)","('13.225.148.82', 443)",0.0,1
38,"('216.58.197.98', 443)","('13.227.53.94', 443)",0.0,1
39,"('216.58.197.98', 443)","('216.58.199.98', 443)",0.0,1
40,"('35.244.184.98', 443)","('113.171.233.66', 80)",0.0,1
41,"('35.244.184.98', 443)","('13.225.148.82', 443)",0.0,1
42,"('35.201.74.116', 443)","('113.171.233.66', 80)",0.0,1
43,"('35.201.74.116', 443)","('13.225.148.82', 443)",0.0,1
44,"('69.171.250.35', 443)","('113.171.233.66', 80)",0.0,1
45,"('203.205.254.152', 80)","('203.205.253.240', 443)",1.0,2
46,"('23.49.60.48', 80)","('203.205.254.152', 80)",0.6666666666666666,2
47,"('154.8.188.31', 443)","('123.206.5.129', 443)",0.6666666666666666,2
48,"('113.171.230.64', 80)","('203.205.253.240', 443)",0.6666666666666666,2
49,"('203.205.253.240', 443)","('154.8.188.31', 443)",0.6666666666666666,2
50,"('203.205.253.240', 443)","('123.206.5.129', 443)",0.6666666666666666,2
51,"('203.205.254.152', 80)","('113.171.230.64', 80)",0.6666666666666666,2
52,"('23.49.60.48', 80)","('203.205.253.240', 443)",0.6666666666666666,2
53,"('123.206.5.129', 443)","('13.35.90.19', 443)",0.3333333333333333,2
54,"('154.8.188.31', 443)","('203.205.255.219', 80)",0.3333333333333333,2
55,"('154.8.188.31', 443)","('13.35.90.19', 443)",0.3333333333333333,2
56,"('123.206.5.129', 443)","('203.205.255.219', 80)",0.3333333333333333,2
57,"('113.171.230.64', 80)","('120.204.16.188', 14000)",0.3333333333333333,2
58,"('13.35.90.19', 443)","('203.205.255.219', 80)",0.3333333333333333,2
59,"('203.205.253.240', 443)","('223.166.150.166', 80)",0.3333333333333333,2
60,"('203.205.253.240', 443)","('203.205.239.95', 443)",0.3333333333333333,2
61,"('203.205.253.240', 443)","('120.204.16.188', 14000)",0.3333333333333333,2
62,"('203.205.253.240', 443)","('203.205.255.219', 80)",0.3333333333333333,2
63,"('23.49.60.48', 80)","('113.171.230.64', 80)",0.3333333333333333,2
64,"('120.204.16.188', 14000)","('203.205.239.95', 443)",0.3333333333333333,2
65,"('120.204.16.188', 14000)","('223.166.150.166', 80)",0.3333333333333333,2
66,"('113.171.230.64', 80)","('223.166.150.166', 80)",0.3333333333333333,2
67,"('113.171.230.64', 80)","('203.205.239.95', 443)",0.3333333333333333,2
68,"('203.205.253.240', 443)","('13.35.90.19', 443)",0.3333333333333333,2
69,"('203.205.239.95', 443)","('223.166.150.166', 80)",0.3333333333333333,2
70,"('203.205.254.152', 80)","('203.205.239.95', 443)",0.3333333333333333,2
71,"('23.49.60.48', 80)","('123.206.5.129', 443)",0.3333333333333333,2
72,"('203.205.254.152', 80)","('154.8.188.31', 443)",0.3333333333333333,2
73,"('203.205.254.152', 80)","('120.204.16.188', 14000)",0.3333333333333333,2
74,"('203.205.254.152', 80)","('123.206.5.129', 443)",0.3333333333333333,2
75,"('203.205.254.152', 80)","('223.166.150.166', 80)",0.3333333333333333,2
76,"('23.49.60.48', 80)","('154.8.188.31', 443)",0.3333333333333333,2
77,"('23.49.60.48', 80)","('203.205.255.219', 80)",0.0,2
78,"('23.49.60.48', 80)","('13.35.90.19', 443)",0.0,2
79,"('123.206.5.129', 443)","('120.204.16.188', 14000)",0.0,2
80,"('123.206.5.129', 443)","('203.205.239.95', 443)",0.0,2
81,"('123.206.5.129', 443)","('223.166.150.166', 80)",0.0,2
82,"('13.35.90.19', 443)","('120.204.16.188', 14000)",0.0,2
83,"('203.205.255.219', 80)","('203.205.239.95', 443)",0.0,2
84,"('13.35.90.19', 443)","('203.205.239.95', 443)",0.0,2
85,"('13.35.90.19', 443)","('223.166.150.166', 80)",0.0,2
86,"('203.205.255.219', 80)","('120.204.16.188', 14000)",0.0,2
87,"('203.205.255.219', 80)","('223.166.150.166', 80)",0.0,2
88,"('113.171.230.64', 80)","('123.206.5.129', 443)",0.0,2
89,"('113.171.230.64', 80)","('203.205.255.219', 80)",0.0,2
90,"('113.171.230.64', 80)","('154.8.188.31', 443)",0.0,2
91,"('203.205.254.152', 80)","('203.205.255.219', 80)",0.0,2
92,"('203.205.254.152', 80)","('13.35.90.19', 443)",0.0,2
93,"('23.49.60.48', 80)","('223.166.150.166', 80)",0.0,2
94,"('23.49.60.48', 80)","('203.205.239.95', 443)",0.0,2
95,"('23.49.60.48', 80)","('120.204.16.188', 14000)",0.0,2
96,"('154.8.188.31', 443)","('120.204.16.188', 14000)",0.0,2
97,"('154.8.188.31', 443)","('203.205.239.95', 443)",0.0,2
98,"('154.8.188.31', 443)","('223.166.150.166', 80)",0.0,2
99,"('113.171.230.64', 80)","('13.35.90.19', 443)",0.0,2
100,"('203.205.253.240', 8080)","('151.101.77.140', 443)",1.0,3
101,"('151.101.77.140', 443)","('99.84.203.19', 443)",1.0,3
102,"('99.84.203.121', 443)","('13.225.148.82', 443)",1.0,3
103,"('99.84.203.121', 443)","('203.205.255.219', 80)",1.0,3
104,"('99.84.203.94', 443)","('13.225.148.82', 443)",1.0,3
105,"('99.84.203.94', 443)","('203.205.255.219', 80)",1.0,3
106,"('99.84.203.94', 443)","('99.84.203.121', 443)",1.0,3
107,"('203.205.253.240', 8080)","('69.171.250.35', 443)",1.0,3
108,"('69.171.250.35', 443)","('99.84.203.19', 443)",1.0,3
109,"('203.205.255.219', 80)","('13.225.148.82', 443)",1.0,3
110,"('203.205.253.240', 8080)","('99.84.203.121', 443)",1.0,3
111,"('203.205.253.240', 8080)","('99.84.203.94', 443)",1.0,3
112,"('203.205.253.240', 8080)","('99.84.203.19', 443)",1.0,3
113,"('151.101.77.140', 443)","('69.171.250.35', 443)",1.0,3
114,"('203.205.253.240', 8080)","('13.225.148.82', 443)",1.0,3
115,"('203.205.253.240', 8080)","('203.205.255.219', 80)",1.0,3
116,"('203.205.253.240', 8080)","('203.205.235.44', 443)",1.0,3
117,"('151.101.77.140', 443)","('99.84.203.94', 443)",0.0,3
118,"('203.205.235.44', 443)","('13.225.148.82', 443)",0.0,3
119,"('203.205.235.44', 443)","('203.205.255.219', 80)",0.0,3
120,"('99.84.203.121', 443)","('203.205.235.44', 443)",0.0,3
121,"('99.84.203.19', 443)","('13.225.148.82', 443)",0.0,3
122,"('99.84.203.19', 443)","('203.205.255.219', 80)",0.0,3
123,"('99.84.203.19', 443)","('203.205.235.44', 443)",0.0,3
124,"('99.84.203.19', 443)","('99.84.203.121', 443)",0.0,3
125,"('99.84.203.94', 443)","('203.205.235.44', 443)",0.0,3
126,"('151.101.77.140', 443)","('99.84.203.121', 443)",0.0,3
127,"('99.84.203.94', 443)","('99.84.203.19', 443)",0.0,3
128,"('69.171.250.35', 443)","('13.225.148.82', 443)",0.0,3
129,"('69.171.250.35', 443)","('203.205.255.219', 80)",0.0,3
130,"('69.171.250.35', 443)","('99.84.203.121', 443)",0.0,3
131,"('69.171.250.35', 443)","('99.84.203.94', 443)",0.0,3
132,"('151.101.77.140', 443)","('13.225.148.82', 443)",0.0,3
133,"('151.101.77.140', 443)","('203.205.255.219', 80)",0.0,3
