,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('113.171.216.13', 443)",1492,52,858.6670315236428,705.7612687131276,710.7713725715253,505195.94406720996,-0.23201242571118472,-1.9459734361428245,4568,52.0,64.0,64.0,64.0,1492.0,1492.0,1492.0,1492.0,1492.0,985,52,60.89264413518887,6.400762423471157,22.13831134045823,490.1048290070615,36.53579953338359,1514.0702667841745,2012,52,52.0,52.0,64.0,64.0,64.0,64.0,64.0,64.0,1492,52,1486.6490610328638,10.655821339094125,83.30546014470092,6939.799689920352,-15.978672481019702,258.45652368511224,2556,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1.0,1,3922391.0,4568.0,1.7420198917388916,113,171,216,13,1
1,"('172.217.24.34', 443)",1470,52,454.9112426035503,504.9926823290502,579.018533652704,335262.4623133276,1.0060933238501297,-0.788214721215474,169,52.0,52.0,52.0,53.0,63.0,113.59999999999997,569.0,1403.2000000000003,1470.0,1470,52,322.8333333333333,385.81851851851854,487.3465474417263,237506.65730337074,1.6102513176990545,1.0168011722342731,90,52,52.0,52.0,52.0,60.0,64.0,103.0,570.2,1387.2000000000007,1470,52,605.379746835443,595.76830636116,638.7825821645877,408043.1872768582,0.5122318223546188,-1.6380847583214826,79,52.0,52.0,52.4,60.0,214.0,592.7999999999995,1458.3999999999996,1470.0,1470.0,0.8571428571428571,7,10982.857142857143,24.142857142857142,0.6654419898986816,172,217,24,34,1
2,"('216.58.199.97', 443)",1378,54,811.6092715231788,637.605455901057,647.7818045557207,419621.26631346584,-0.277010637463186,-1.9341270723173054,151,61.0,61.0,61.0,99.0,1378.0,1378.0,1378.0,1378.0,1378.0,1378,61,114.25,98.075,244.28891099249324,59677.07203389829,4.930781989157391,23.87670233197796,60,61,61.0,61.0,61.0,61.0,61.0,61.0,62.0,64.1,1378,54,1271.4065934065934,194.35720323632415,349.6825537548141,122277.88840048845,-3.0706231350264286,7.751800785465123,91,1378.0,1378.0,1378.0,1378.0,1378.0,1378.0,1378.0,1378.0,1378.0,0.0,1,122553.0,151.0,0.49355578422546387,216,58,199,97,1
3,"('113.171.230.164', 443)",1500,52,514.8965517241379,550.9431629013083,607.1652681397786,368649.66283524927,0.7994597784284765,-1.1805181662164967,145,52.0,52.0,52.0,56.80000000000001,132.0,145.0,827.0,1492.0,1492.0,1500,52,767.2597402597403,680.0033732501265,694.815204561188,482768.1684894056,0.02120874323372865,-2.00138295759188,77,52,52.0,58.400000000000006,69.60000000000001,645.0,1462.0,1492.0,1492.0,1492.0,828,52,229.13235294117646,234.14749134948102,297.710111651344,88631.3105794557,1.485011395723176,0.3662746772881542,68,52.0,52.0,52.0,52.0,52.0,145.0,145.0,332.20000000000005,827.0,1.0,1,74660.0,145.0,19.001495838165283,113,171,230,164,1
4,"('113.171.234.109', 443)",1492,40,638.8809523809524,674.8424036281165,695.2850535674456,483421.30571428576,0.40696568522358456,-1.845581776590705,126,52.0,52.0,64.0,64.0,76.0,648.0,1492.0,1492.0,1492.0,648,52,74.40625,27.8857421875,76.94044671867873,5919.832341269841,6.888371180087586,50.9888498011812,64,52,52.0,52.0,52.0,64.0,64.0,64.0,67.20000000000005,88.60000000000002,1492,40,1221.5645161290322,431.3475546305933,552.3724872057742,305115.3646218931,-1.6104202139683426,0.6509609886965841,62,65.2,1393.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1.0,1,80499.0,126.0,20.248056888580322,113,171,234,109,1
5,"('113.171.230.150', 443)",1500,52,454.584,488.42624000000035,550.450683150312,302995.9545806452,0.9564474172674768,-0.8025195612483951,125,52.0,52.0,52.0,56.80000000000001,64.0,203.0,794.3999999999995,1100.0,1492.0,1500,52,449.22222222222223,520.9135802469139,587.5509159664774,345216.0788530466,0.9811787062510388,-0.9128501095034482,63,52,52.0,52.0,52.0,64.0,64.0,452.99999999999955,1183.0,1492.0,1492,52,460.03225806451616,455.0104058272632,514.7727484520873,264990.9825489159,0.9434143364551993,-0.6519999668694343,62,52.0,52.0,52.0,85.60000000000014,202.5,204.0,919.1999999999994,969.0,1454.7999999999995,1.0,2,28411.5,62.5,25.416666984558105,113,171,230,150,1
6,"('113.171.233.66', 443)",1492,52,636.8369565217391,665.3050567107754,689.7961679688294,475818.7533444815,0.41502365922923,-1.8336409538276188,92,52.0,52.0,52.0,64.0,79.5,610.4000000000003,1492.0,1492.0,1492.0,696,52,85.5,50.93478260869565,113.04821980022506,12779.899999999998,4.6512189822516286,22.239871431832142,46,52,52.0,52.0,52.0,52.0,60.0,64.0,64.0,107.5,1492,52,1188.1739130434783,465.0756143667299,572.6924054886252,327976.59130434797,-1.437641401616042,0.11626510748309471,46,62.0,339.0,1484.5,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1.0,1,58589.0,92.0,20.31186079978943,113,171,233,66,1
7,"('172.217.161.170', 443)",1470,52,663.2857142857143,668.4693877551019,688.4749078225718,473997.6987012988,0.31641284622835736,-1.9345002001704663,56,52.0,52.0,52.0,64.0,128.5,1470.0,1470.0,1470.0,1470.0,826,52,92.71428571428571,66.98979591836738,149.0075457057416,22203.248677248674,4.781045070641831,23.827252240827768,28,52,52.0,52.0,52.0,52.0,52.0,63.599999999999994,64.0,88.30000000000005,1470,52,1233.857142857143,387.9489795918366,517.8119002313138,268129.16402116406,-1.8058578913737333,1.4062474096198576,28,152.60000000000002,1470.0,1470.0,1470.0,1470.0,1470.0,1470.0,1470.0,1470.0,1.0,1,37144.0,56.0,0.2328169345855713,172,217,161,170,1
8,"('150.109.27.231', 8060)",559,40,167.4,161.18399999999994,189.2846900241829,35828.69387755101,1.158988208488375,-0.37259022757137616,50,40.0,40.0,40.0,40.0,52.0,71.0,192.0,440.6,483.0,557,40,169.42857142857142,160.22448979591837,185.68161291754595,34477.661375661366,1.118627606027952,-0.40609920308468306,28,40,40.0,40.0,40.0,60.0,74.99999999999999,261.09999999999974,375.4000000000002,461.20000000000005,559,40,164.8181818181818,162.38842975206614,198.13983430747572,39259.393939393936,1.2855662385772417,-0.1331594933547562,22,40.0,40.0,40.0,40.0,46.0,63.39999999999999,155.6999999999999,403.20000000000016,499.0,1.0,4,2092.5,12.5,76.72528278827667,150,109,27,231,1
9,"('108.177.119.120', 443)",1378,53,225.4375,242.17447916666666,371.56929460262097,138063.74069148934,2.513592721957096,5.2200002831716565,48,53.0,53.800000000000004,57.4,61.0,63.0,72.99999999999999,97.6,247.00000000000003,663.4000000000003,1378,61,297.3478260869565,316.37051039697525,441.9246756771249,195297.41897233203,1.937312693957622,2.3858075582362117,23,61,61.0,62.199999999999996,63.0,64.0,98.6,198.99999999999991,339.60000000000014,1166.8000000000004,1378,53,159.28,159.8304000000001,286.0723276842181,81837.37666666666,3.6969368311418496,14.673592961529872,25,53.0,53.0,53.0,54.2,55.0,60.19999999999999,92.99999999999999,96.00000000000003,320.00000000000017,0.0,1,10821.0,48.0,4.666391134262085,108,177,119,120,1
