,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('123.30.242.13', 443)",0.7205973275059908,0.540594179796354,2.327364110523151,1.3206669092294,1.1905606268234852,1.432695361693266,-1.2822601915243657,-0.28262028491432717,0.61268761894493,-0.0058790065262857025,-0.09976357063503918,-0.11415938334302615,4.452924698114238,3.1036883626478646,2.090313655551385,1.740669685375471,1.439947686420951,1.0430793899736683,-0.8330803528858451,0.10341236766051652,-0.6786091545286324,-0.8286857626347051,-0.8622893543142894,-0.6762857550046258,0.9982502620685627,0.15949638652738013,0.48474186514363454,-0.00956539270945892,-0.07557745690503785,-0.12966173565480496,-0.19002738266556374,-0.26470948939586947,-0.34434359745834137,-0.44819017246087317,-0.5973371746812208,-0.7731983868771748,0.8429885072064723,-0.003470703103198695,2.0776131592618663,-1.048087250786924,-0.8858503155882278,-0.920722423914074,-2.8087497217867465,1.2368158600552253,0.6402629206276469,2.760459818295809,2.3155816267299962,2.096199456991341,1.941635998474554,1.8050703569024071,1.6658351870665766,1.4923742531403832,1.2630054671725288,1.0256015269996261,1.0,-0.29254410100191747,1.2468063960597373,1.0006107686111356,2.241586152797063,0.4823529411764706,0.11764705882352941,0.9490196078431372,0.050980392156862744,1
1,"('123.30.242.10', 443)",0.7205973275059908,0.540594179796354,2.1948315052644554,1.4064779787495532,1.232539727993621,1.5128220882497576,-1.2005739304821443,-0.29347504802251995,0.49739134344981006,-0.0058790065262857025,-0.09976357063503918,-0.17276582998383608,4.452924698114238,3.1036883626478646,2.090313655551385,1.740669685375471,1.439947686420951,1.0430793899736683,-0.8330803528858451,0.10341236766051652,-0.6699462352644087,-0.8108745544478282,-0.8308701063232581,-0.67263694230489,0.7054981999600289,0.03014037161838087,0.43037337453961144,-0.00956539270945892,-0.07557745690503785,-0.12966173565480496,-0.19002738266556374,-0.26470948939586947,-0.34434359745834137,-0.44819017246087317,-0.5973371746812208,-0.7982998259777848,0.8429885072064723,-0.003470703103198695,2.066109130282619,-0.9993661642997421,-0.7868547879971348,-0.8861969754211164,-2.2724400420760653,0.7652056069342968,0.4971135371833399,2.760459818295809,2.3155816267299962,2.096199456991341,1.941635998474554,1.8050703569024071,1.6658351870665766,1.4923742531403832,1.2630054671725288,1.0256015269996261,1.0,-0.29254410100191747,1.0051490664563394,0.8352380522328244,2.3178981086072876,0.4823529411764706,0.11764705882352941,0.9490196078431372,0.0392156862745098,1
2,"('74.125.24.188', 5228)",-1.7827957994371217,0.540594179796354,-1.0865935967201543,-1.33744535952701,-1.5283159994124895,-1.2021565299431882,-0.7950798780527757,-0.6068483899402998,-0.19415028848611895,-0.0058790065262857025,-0.09976357063503918,-0.17276582998383608,-0.26144261299640403,-0.39975578066719836,-0.6036763786144848,-0.7872731427600658,-1.046443612348297,-1.406688997432491,-1.2362630873287106,0.10341236766051652,-0.6320673970484176,-0.8022517638982594,-0.9210193123562413,-0.6813290987645179,-0.6921953895376791,-0.22960242213107976,-0.1811986738223996,0.07666116088034193,0.008590006179198556,-0.05129391478224586,-0.11924607564918505,-0.19727014662812176,-0.2807430244047618,-0.3881741794801471,-0.5409877442771037,-0.7455868038665039,-1.507981082143097,-0.003470703103198695,-0.9418820659229433,-1.0855139809748673,-1.242446196948633,-0.986520942375269,0.07172458603880646,-0.15157351440838077,-0.1859186850843825,-0.39724617572550136,-0.47074793706462986,-0.5279779764575799,-0.587962126077108,-0.6666318489144799,-0.7744835776168892,-0.9207217948112213,-1.103744471041973,-1.3050087366773733,1.0,-0.29254410100191747,-0.14251687763756232,-0.15665971437608373,-0.792568712025584,0.2901960784313726,0.49019607843137253,0.09411764705882353,0.7372549019607844,1
3,"('123.30.242.13', 443)",0.7205973275059908,0.540594179796354,2.011945491072857,1.5095319279223174,1.2815920631989453,1.607969428997311,-1.0908818659344597,-0.3053724354812392,1.0501526069289724,-0.0058790065262857025,-0.09976357063503918,-0.11415938334302615,2.6786297803558416,3.1036883626478646,2.090313655551385,1.740669685375471,1.439947686420951,1.0430793899736683,-0.3192567750377282,0.10341236766051652,-0.6488612865808366,-0.8064368819587232,-0.8545011824567061,-0.6754430670117596,0.8827496749750413,0.15835106025904389,1.0390065855716752,-0.00956539270945892,-0.07557745690503785,-0.12966173565480496,-0.19002738266556374,-0.26470948939586947,-0.34434359745834137,-0.4114456869624694,-0.5671499798218723,-0.7564640941434349,0.8429885072064723,-0.003470703103198695,2.0752146231764046,-1.0377476114149586,-0.8595763350415552,-0.9122479674686658,-2.710831166762387,1.1484810284252382,0.9693980560469437,2.760459818295809,2.3155816267299962,2.096199456991341,1.941635998474554,1.8050703569024071,1.6658351870665766,1.4923742531403832,1.2630054671725288,1.0256015269996261,1.0,-0.1574827430484288,0.8360163848569576,0.7353712122500162,1.793596946433711,0.4823529411764706,0.11764705882352941,0.9490196078431372,0.050980392156862744,2
4,"('123.30.242.10', 443)",0.7205973275059908,-0.6826822173917929,2.031967455258493,1.5001487236501256,1.2760565745448345,1.597150198485479,-1.1004573815893015,-0.3047394697295065,0.03195786284310288,-0.0058790065262857025,-0.007841631914854538,-0.03601745448861292,4.452924698114238,3.1036883626478646,2.090313655551385,1.740669685375471,1.439947686420951,1.0430793899736683,-0.8330803528858451,0.10341236766051652,-0.6382505884088315,-0.805861898287989,-0.8746040812391559,-0.677535123920255,0.8442609879526524,0.14348569908645561,0.037450823525671625,-0.00956539270945892,-0.07557745690503785,-0.12966173565480496,-0.19002738266556374,-0.26470948939586947,-0.2989146167057845,-0.4114456869624694,-0.5269003866760744,-0.7397298014096948,0.8429885072064723,-0.24703390713511894,2.0657446318162807,-0.9972255850058399,-0.7318514671463291,-0.8639605771767281,-2.3932803449327356,0.8349965836894833,0.025913483345829394,2.760459818295809,2.3155816267299962,2.096199456991341,1.941635998474554,1.8050703569024071,1.6658351870665766,1.4923742531403832,1.2630054671725288,1.0256015269996261,1.0,-0.29254410100191747,0.215823172251529,0.16765361682232377,0.056352373048921746,0.4823529411764706,0.11764705882352941,0.9490196078431372,0.0392156862745098,2
5,"('172.253.118.95', 443)",-1.7916605059772885,-0.6826822173917929,-1.1215632602063026,-1.3561275518714175,-1.5428772906495007,-1.2027214209942172,-0.4006248135021297,-0.13957720579278443,-0.19391426745132853,-0.1360156373744875,-0.09976357063503918,-0.17276582998383608,-0.2785284159081516,-0.4316722304661442,-0.6431598853159012,-0.8233917204431452,-1.0724828079482012,-1.423857840017314,-1.2456394299901727,0.10341236766051652,-0.6445388629750619,-0.8381477129430391,-0.9623105014177167,-0.6834886371472964,-0.7223802399456634,-0.22960242213107976,-0.18090479008940488,0.06434308179608512,-0.003433917118549563,-0.06248931776403998,-0.12935769093723914,-0.20690433845208572,-0.2905859702344824,-0.39797270894638803,-0.5505470226492307,-0.7547906648700609,-1.5512096601650835,-0.24703390713511894,-0.9781245269391484,-1.1213541099711295,-1.290818362504094,-0.9883846634900685,-0.39553032195633336,-0.15157351440838077,-0.18573794091336696,-0.4240473536349629,-0.49482828735111806,-0.5510645814439341,-0.6106110180708554,-0.6891491079723773,-0.8012098993868009,-0.9516110535485397,-1.1384318996742038,-1.343506746115494,1.0,-0.29254410100191747,-0.14250218712452142,-0.15632118271512507,-0.15836886966996025,0.6745098039215687,0.9921568627450981,0.4627450980392157,0.37254901960784315,2
6,"('123.30.242.10', 443)",0.7205973275059908,0.540594179796354,2.00163173022401,1.5134400178731775,1.2802910669910257,1.6054247292302402,-1.0818826652250766,-0.3062835054417237,0.5676076012999598,-0.0058790065262857025,-0.0030036351401082064,-0.07508841891581954,1.3971945619747779,3.1036883626478646,2.090313655551385,1.740669685375471,1.439947686420951,1.0430793899736683,-0.8330803528858451,0.10341236766051652,-0.6339986115502007,-0.8116680704545652,-0.8822257359633395,-0.6782573623416958,0.9223691346036382,0.18436706003897538,0.5673231941151506,-0.00956539270945892,-0.07557745690503785,-0.12966173565480496,-0.19002738266556374,-0.20690433845208572,-0.2989146167057845,-0.3869493632968669,-0.5470251832489734,-0.7397298014096948,0.8429885072064723,-0.003470703103198695,2.0654243303383635,-0.9957699957757654,-0.7380071429837051,-0.8665575531285183,-2.332596792093566,0.7865474547069601,0.5204295352443444,2.760459818295809,2.3155816267299962,2.096199456991341,1.941635998474554,1.8050703569024071,1.6658351870665766,1.4923742531403832,1.2630054671725288,1.0256015269996261,1.0,-0.29254410100191747,1.052186278054126,0.9359512213680292,2.2766040031822,0.4823529411764706,0.11764705882352941,0.9490196078431372,0.0392156862745098,3
7,"('123.30.242.13', 443)",0.7205973275059908,-0.6826822173917929,1.8583216833809733,1.569034890615383,1.3099039688529954,1.663631795488486,-1.0043870486528685,-0.3118657836665966,0.5668995381955886,-0.0058790065262857025,-0.09976357063503918,-0.11415938334302615,-0.18652793869104958,3.1036883626478646,2.090313655551385,1.740669685375471,1.439947686420951,1.0430793899736683,-0.3192567750377282,0.10341236766051652,-0.6438619190252991,-0.8041102230753205,-0.8479128515248875,-0.6746984101306339,0.8559187339457995,0.1535286036225863,0.6187528473892266,-0.00956539270945892,-0.07557745690503785,-0.12966173565480496,-0.19002738266556374,-0.26470948939586947,-0.2989146167057845,-0.4114456869624694,-0.5470251832489734,-0.7397298014096948,0.8429885072064723,-0.24703390713511894,2.0651239321505988,-0.9947302087648329,-0.7590198425359662,-0.8752166564399152,-2.2806099433452913,0.7602530668241855,0.48771484029053186,2.760459818295809,2.3155816267299962,2.096199456991341,1.941635998474554,1.8050703569024071,1.6658351870665766,1.4923742531403832,1.2630054671725288,1.0256015269996261,1.0,-0.1574827430484288,0.4285312359886165,0.38879942434357606,0.7332442497572111,0.4823529411764706,0.11764705882352941,0.9490196078431372,0.050980392156862744,3
8,"('172.253.118.95', 443)",0.6815926187292567,0.540594179796354,-0.2865827455466785,-0.05659782010319637,0.13647463869042353,-0.18605687097118437,0.5377857271026585,0.060667197668113314,-0.19261615175998123,-0.0058790065262857025,-0.09976357063503918,-0.17276582998383608,-0.26801407565476854,-0.41203133828217753,-0.5744433976913208,-0.5802171380224118,-0.3117160392050486,-0.04289325917947919,1.3703601725577221,0.10341236766051652,1.09901661451954,1.479925340242817,1.560531585341559,1.5498841867060897,-0.3299594548561515,-0.21502721736740096,-0.17943537142443128,-0.00956539270945892,-0.07557745690503785,-0.12219813366694221,-0.14958092151334737,-0.141873543640329,0.17733253151685313,0.9897440267099924,1.0050997524358583,1.1414138805218514,0.0432598137997235,-0.003470703103198695,-0.6649707134527231,-0.2869312677360923,-0.001934278383807914,-0.3623359271174916,0.8238529870382209,-0.058701499026575954,-0.1846534758872737,-0.40295790216522265,-0.48084614847509266,-0.5422696843062754,-0.6035332393228093,-0.6752923331675174,-0.762833642486415,-0.792412566210053,-0.8966204981514426,-0.8252643113715614,1.0,-0.29254410100191747,-0.14158896043713023,-0.15445925857985238,-0.7908404804105788,0.6745098039215687,0.9921568627450981,0.4627450980392157,0.37254901960784315,3
9,"('222.255.27.184', 443)",0.7205973275059908,0.540594179796354,2.729497993296207,0.9294470938169341,0.9741567026172891,1.0386691393374416,-1.56071495732821,-0.22832140583966737,0.1583471269733725,-0.0058790065262857025,-0.09976357063503918,6.860007766913355,4.452924698114238,3.1036883626478646,2.090313655551385,1.740669685375471,1.439947686420951,1.0430793899736683,-0.3192567750377282,0.10341236766051652,-0.6377571441762414,-0.7424457483781995,-0.7372485593738011,-0.657834965261853,0.34321565154940936,-0.07768138299249139,0.03686305605968219,-0.00956539270945892,-0.07557745690503785,-0.12966173565480496,-0.19002738266556374,-0.26470948939586947,-0.34434359745834137,-0.44819017246087317,-0.5973371746812208,-0.7982998259777848,0.8429885072064723,-0.003470703103198695,2.0531300538307518,-0.9439814508966508,-0.6515891482982669,-0.8275988123005982,-2.006898101585692,0.5523209388117276,0.2198519788455029,2.760459818295809,2.3155816267299962,2.096199456991341,1.941635998474554,1.8050703569024071,1.6658351870665766,1.4923742531403832,1.2630054671725288,1.0256015269996261,1.0,-0.29254410100191747,0.5317981974095505,0.3489373212656925,1.195565691852742,0.8705882352941177,1.0,0.10588235294117647,0.7215686274509804,4
