,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('103.150.0.197', 443)",1492,40,764.9866060082346,715.031464655526,716.0761028189471,512764.98502837133,0.025705610572904936,-1.994580363903232,39346,52.0,52.0,52.0,64.0,208.0,1492.0,1492.0,1492.0,1492.0,569,40,57.75296984465428,8.681523876820597,28.281406301498205,799.8379423904223,11.144388589545965,144.50493084808173,19698,52.0,52.0,52.0,52.0,52,52.0,52.0,64.0,64.0,1492,40,1474.0200020358307,35.34138443488144,147.74100840723116,21827.405565185545,-8.6485960731385,75.35568108862851,19648,1492,1492,1492.0,1492.0,1492,1492.0,1492.0,1492.0,1492.0,1,25,1203966.52,1573.84,57.447428216934206,103,150,0,197,1
1,"('104.21.6.162', 443)",1492,40,763.2856365614799,719.5290683562226,721.0241298909721,519875.7958850333,0.011429558667258324,-1.9951793662585426,1838,40.0,40.0,40.0,40.0,356.0,1492.0,1492.0,1492.0,1492.0,307,40,44.2566168009206,6.926186601267869,19.86514948639487,394.6241641168143,10.264084489019258,118.534183250238,869,40.0,40.0,40.0,40.0,40,40.0,40.0,40.0,52.0,1492,40,1408.1114551083592,154.4676552061267,325.3786795190906,105871.28508558706,-3.8009947623696063,12.71601864194798,969,1492,1492,1492.0,1492.0,1492,1492.0,1492.0,1492.0,1492.0,1,4,350729.75,459.5,73.63269662857056,104,21,6,162,1
2,"('172.67.135.5', 443)",1492,40,681.0618181818181,695.7492363636367,705.8077268346213,498164.5472594555,0.23822888839567685,-1.9341169211738816,275,40.0,40.0,40.0,40.0,52.0,1430.0,1492.0,1492.0,1492.0,307,40,49.16428571428571,15.579285714285655,38.87623059456153,1511.3613052415217,5.426377927466687,30.308506313269767,140,40.0,40.0,40.0,40.0,40,40.0,40.0,40.0,52.0,1492,40,1336.362962962963,252.73788751714758,408.9861255065101,167269.65085682683,-2.6120689944970423,5.182144833873693,135,636,1430,1492.0,1492.0,1492,1492.0,1492.0,1492.0,1492.0,1,2,93646.0,137.5,1.2189019918441772,172,67,135,5,1
3,"('142.250.66.142', 443)",1470,52,397.8,392.5400000000001,507.8447338352644,257906.27368421052,1.4678290190707746,0.8813625876916458,20,52.0,52.0,52.0,56.8,98.5,276.6,456.89999999999986,618.4000000000002,1458.3,1470,52,306.3636363636364,319.4380165289257,448.37356584153633,201038.85454545452,2.1438972746351577,4.494722870812638,11,52.0,52.0,52.0,52.0,60,137.0,237.0,426.0,780.0,1470,52,509.55555555555554,443.5061728395062,579.3811593224082,335682.52777777775,1.1182986264430288,-0.2214408593033399,9,52,52,55.199999999999996,115.20000000000005,336,490.4,558.4,929.6000000000004,1459.6,1,1,7956.0,20.0,0.6671388149261475,142,250,66,142,1
4,"('64.233.189.188', 5228)",80,52,70.0,12.0,15.620499351813308,244.0,-1.7001618482892749,0.0,3,57.2,62.400000000000006,67.6,72.80000000000001,78.0,78.4,78.8,79.2,79.6,80,52,66.0,14.0,19.79898987322333,392.0,0.0,0.0,2,54.800000000000004,57.6,60.4,63.2,66,68.8,71.6,74.4,77.2,78,78,78.0,0.0,0.0,0.0,0.0,0.0,1,78,78,78.0,78.0,78,78.0,78.0,78.0,78.0,1,1,210.0,3.0,0.14498496055603027,64,233,189,188,1
5,"('103.150.0.197', 443)",1460,40,921.4795754047985,662.7098283146091,681.5423587958896,464499.9868330652,-0.47719871994077645,-1.7702357732913852,135376,52.0,52.0,64.0,1460.0,1460.0,1460.0,1460.0,1460.0,1460.0,653,40,58.17544946103381,7.818648082758282,22.906904228311102,524.726261325017,17.24919327101759,376.63189869136374,51673,52.0,52.0,52.0,52.0,52.0,64.0,64.0,64.0,64.0,1460,52,1454.4295783902608,11.083477253791974,82.40270539907118,6790.205857086115,-15.448042371814111,242.8507281535127,83703,1460.0,1460.0,1460.0,1460.0,1460,1460.0,1460.0,1460.0,1460.0,1,39,3198621.0,3471.1794871794873,8.496522982915243,103,150,0,197,2
6,"('172.67.135.5', 443)",1460,40,658.668410041841,678.5166247964839,691.1880036756377,477740.8564251133,0.2689690949787565,-1.9056085926040558,956,40.0,40.0,40.0,40.0,52.0,1431.0,1460.0,1460.0,1460.0,566,40,54.33606557377049,23.753695243214285,69.49703264676964,4829.837546706164,6.323607113604994,41.029109818099236,488,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,52.0,1460,40,1288.826923076923,289.828731097962,438.5627757915602,192337.3083099983,-2.3284490965126525,3.6205171745959546,468,475.5,1442.6000000000001,1460.0,1460.0,1460,1460.0,1460.0,1460.0,1460.0,1,7,89955.28571428571,136.57142857142858,1.2585244519369942,172,67,135,5,2
7,"('103.90.222.4', 443)",1460,40,616.6133333333333,652.2190222222226,682.6840687006382,466057.5376576577,0.41426420978857104,-1.830919957028202,75,40.0,40.0,40.0,40.0,52.0,593.2,1460.0,1460.0,1460.0,557,40,64.28947368421052,39.901662049861464,91.13248683357796,8305.13015647226,4.847135701691661,24.80214402131305,38,40.0,40.0,40.0,40.0,40.0,40.0,40.0,52.0,54.400000000000034,1460,40,1183.8648648648648,432.8604821037253,544.7470443631083,296749.34234234237,-1.5724787738836978,0.6455384111784452,37,47.2,780.0000000000002,1460.0,1460.0,1460,1460.0,1460.0,1460.0,1460.0,1,1,46246.0,75.0,15.631803035736084,103,90,222,4,2
8,"('104.21.6.162', 443)",965,40,110.72,105.10400000000014,212.9168445724826,45333.58270270272,3.5530840001908692,11.049614714711476,75,40.0,40.0,40.0,52.0,65.0,65.0,65.0,69.0,69.0,69,40,54.10526315789474,12.542936288088644,13.51633540949059,182.6913229018492,0.09142457797482564,-1.906126819478765,38,40.0,40.0,40.0,40.0,52.0,69.0,69.0,69.0,69.0,965,40,168.86486486486487,197.33382030679337,293.4959929843982,86139.89789789791,2.241741435725045,3.257333551821917,37,40.0,40.0,49.59999999999999,57.2,65,65.0,65.0,65.0,847.4,1,1,8304.0,75.0,282.453537940979,104,21,6,162,2
9,"('8.8.8.8', 853)",1460,52,212.83582089552237,218.96413455112454,348.8473920496557,121694.50293984619,2.8696931699983534,7.815743576379653,67,52.0,52.0,52.0,52.0,52.0,64.0,145.0,290.2000000000004,551.0,589,52,100.97368421052632,67.32825484764541,106.58367778343703,11360.080369843527,3.2543135218816293,12.173065931804842,38,52.0,52.0,52.0,52.0,52.0,64.0,81.09999999999997,128.20000000000005,208.20000000000002,1460,52,359.41379310344826,356.4613555291319,482.29166614355574,232605.25123152704,1.6759629005824561,1.5692638145888176,29,52.0,52.0,52.0,53.60000000000001,60,287.80000000000007,344.0,551.0,1460.0,1,3,4753.333333333333,22.333333333333332,20.912803570429485,8,8,8,8,2
