,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('222.255.216.168', 443)",1492,40,781.4844314467573,717.0107270377496,717.2673080742729,514472.3912321139,-0.019645576844443,-1.9993162208460167,5813,52.0,52.0,52.0,64.0,1492.0,1492.0,1492.0,1492.0,1492.0,419,40,56.952513966480446,6.4252851814861645,10.492442632313988,110.09135239240008,17.485707156261604,544.2865419044892,2864,52,52,52,52.0,52,52.0,64.0,64.0,64.0,1492,52,1485.1329264157341,13.654974397468546,94.34329884481288,8900.658036921672,-14.145157162615451,201.69497765100365,2949,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1,1,4542769.0,5813.0,39.38280725479126,222,255,216,168,1
1,"('103.39.92.95', 443)",1492,40,849.2563312799452,706.4709621034426,710.8323459888622,505282.6241040296,-0.20505111241187882,-1.955557132716728,2922,52.0,52.0,64.0,72.0,1492.0,1492.0,1492.0,1492.0,1492.0,272,40,60.80495603517186,9.207427982474142,19.979397573952653,399.1763274180652,7.936609686601447,75.61869963301531,1251,52,52,52,52.0,52,64.0,64.0,64.0,72.0,1492,52,1439.5332136445243,100.57481571254205,263.0080209913267,69173.21910577414,-4.908164442997171,22.343142831398552,1671,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1,4,620381.75,730.5,142.79150372743607,103,39,92,95,1
2,"('49.213.114.150', 443)",1492,40,417.32369942196533,478.25152861772784,569.4685602569455,324294.4411211184,1.2191780853641303,-0.3752329265913068,173,52.0,52.0,60.0,64.0,64.0,145.0,271.79999999999995,1263.999999999999,1480.0,575,40,92.98901098901099,57.49885279555614,90.21498945488116,8138.74432234432,3.5134171927691615,14.83528028396285,91,52,52,52,52.0,64,64.0,64.0,64.0,206.0,1492,52,777.2560975609756,633.8233194527066,655.9357242482505,430251.6743450769,0.01855737960543757,-1.9335947110294422,82,54.6,64.0,90.0,277.79999999999995,766.0,1461.6,1480.0,1480.0,1480.0,1,3,24065.666666666668,57.666666666666664,32.83540630340576,49,213,114,150,1
3,"('69.171.250.15', 443)",1432,40,325.3015873015873,356.07205845301064,476.4465455892103,227001.31080389145,1.6549479132798632,1.106740562017941,63,52.0,52.0,52.0,58.400000000000006,64.0,83.0,269.59999999999985,381.0000000000001,1267.0,677,40,122.96969696969697,104.61891643709828,162.44623819291814,26388.7803030303,2.789390485001851,7.328219140186043,33,52,52,52,52.0,60,64.0,64.0,140.00000000000014,232.0,1432,52,547.8666666666667,544.6222222222223,598.6370573534364,358366.3264367815,0.6719284158671234,-1.506397894939737,30,52.0,52.0,52.0,73.80000000000004,326.0,332.4,1261.0,1300.0000000000005,1432.0,1,2,10247.0,31.5,105.07407104969025,69,171,250,15,1
4,"('13.225.148.81', 443)",1480,52,393.2,449.80799999999994,567.9490147304891,322566.0833333333,1.4394086286135694,0.27582650904204575,25,52.0,52.0,52.0,52.0,60.0,122.79999999999995,233.19999999999996,712.0000000000027,1480.0,1480,52,219.76923076923077,242.5680473372782,401.5462102602377,161239.358974359,3.021348512316829,9.5299561261542,13,52,52,52,52.0,52,53.599999999999994,93.99999999999989,199.60000000000014,463.20000000000016,1480,52,581.0833333333334,599.2777777777777,673.6666910320419,453826.8106060606,0.7198505427193557,-1.6876440587827526,12,52.0,52.0,54.39999999999999,79.20000000000002,165.0,361.7999999999999,1172.499999999999,1480.0,1480.0,1,1,9830.0,25.0,1.0865230560302734,13,225,148,81,1
5,"('49.213.106.143', 443)",1492,52,279.36,278.32959999999997,405.1648717908962,164158.57333333333,2.360150551308184,5.290031874279883,25,52.0,52.0,52.0,56.80000000000001,64.0,120.99999999999986,308.9999999999997,419.2000000000002,575.6000000000003,405,52,132.07692307692307,107.79881656804734,134.67953416565163,18138.576923076922,1.5224197792073237,0.9248229486297022,13,52,52,52,52.0,52,60.8,109.59999999999984,215.80000000000007,372.2000000000001,1492,52,438.9166666666667,397.2361111111111,533.8235081736171,284967.5378787879,1.4462890641491033,0.9831014925723656,12,52.0,53.60000000000001,61.2,71.60000000000001,204.5,416.0,476.0,608.8000000000002,1407.0000000000005,1,1,6984.0,25.0,42.96652007102966,49,213,106,143,1
6,"('142.250.199.78', 443)",1470,52,444.125,446.75,539.9833582379304,291582.027173913,1.110613815875648,-0.40602382265609016,24,52.0,52.0,52.0,60.0,100.5,316.1999999999999,529.0,1032.6000000000004,1429.0,1470,52,380.9230769230769,410.8165680473373,527.0984192631804,277832.74358974356,1.4774846884774502,0.6385901103992144,13,52,52,52,58.400000000000006,64,156.99999999999994,295.39999999999975,738.2000000000008,1287.8000000000002,1470,52,518.8181818181819,456.1652892561984,570.8848952602999,325909.5636363636,0.9132995675989878,-0.792044206022164,11,52.0,52.0,52.0,60.0,336.0,529.0,529.0,1119.0,1456.0,1,1,10659.0,24.0,12.337301015853882,142,250,199,78,1
7,"('108.177.97.188', 5228)",1470,52,296.90909090909093,338.23140495867773,457.175480437676,209009.41991341987,1.9379557944989825,2.6374458278842656,22,52.0,52.0,52.0,52.0,56.0,75.6,130.0,522.6000000000001,1025.600000000001,569,52,124.83333333333333,109.3888888888889,162.09359436243412,26274.333333333336,2.403015016916919,5.368636865199724,12,52,52,52,52.0,52,52.0,57.599999999999994,104.80000000000004,314.9000000000001,1470,52,503.4,516.4799999999999,607.2226756123142,368719.3777777777,0.9354725358559163,-1.02509897693932,10,52.0,52.0,57.6,75.6,111.0,313.9999999999998,729.1999999999999,1154.0,1470.0,1,1,6532.0,22.0,1.0957489013671875,108,177,97,188,1
8,"('172.217.161.138', 443)",1470,52,321.2,356.79999999999995,479.88327528133004,230287.9578947368,1.7971511883487714,1.8813032425216862,20,52.0,52.0,57.60000000000001,60.0,62.0,101.60000000000002,193.69999999999993,426.20000000000044,1146.9000000000005,1111,52,188.9,196.44,330.04560290965856,108930.1,2.965439876977435,8.999320687584195,10,52,52,52,56.800000000000004,60,61.599999999999994,85.89999999999998,159.40000000000003,335.1999999999997,1470,52,453.5,473.3,581.6675740203048,338337.1666666667,1.2767316663660178,-0.0033991530564065897,10,52.0,58.4,60.0,70.8,124.0,236.3999999999999,471.2999999999999,923.6000000000001,1470.0,1,1,6424.0,20.0,1.6117959022521973,172,217,161,138,1
9,"('13.225.148.67', 443)",1480,52,221.16666666666666,237.70370370370372,359.8828649305052,129515.67647058824,2.865033126475064,9.112649875279647,18,52.0,52.0,52.0,52.0,52.0,60.0,98.69999999999993,358.6000000000003,534.7,1480,52,299.2,334.2799999999999,461.5292936411392,213009.2888888889,2.232184125062149,5.161588007297669,10,52,52,52,52.0,56,77.19999999999997,228.09999999999994,529.8,660.0999999999997,455,52,123.625,105.4375,145.2465268824992,21096.55357142857,2.1776167663020325,4.554390628961409,8,52.0,52.0,52.0,52.0,52.0,53.60000000000001,59.2,152.4000000000001,286.29999999999995,1,1,3981.0,18.0,37.749818086624146,13,225,148,67,1
