,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('74.125.24.157', 443)",1470,52,656.8421052631579,614.0360110803324,651.9328810571751,425016.4814035088,0.32246233399747853,-1.8008695966503132,76,52.0,52.0,53.0,61.0,181.5,770.0,1470.0,1470.0,1470.0,1470,52,406.1818181818182,443.92837465564736,520.2371727482484,270646.7159090909,1.1548245007441307,-0.17234097914545332,33,52.0,52.0,52.0,58.400000000000006,61.0,69.39999999999996,639.3999999999997,768.8,1378.0,1470,52,849.2093023255813,659.822606814494,682.2740532373557,465497.88372093014,-0.22955370614773524,-1.982692622401535,43,52.0,53.0,80.99999999999999,201.00000000000006,1470,1470.0,1470.0,1470.0,1470.0,0.5,2,24960,38.0,3.984442114830017,74,125,24,157,1
1,"('103.149.170.58', 443)",1492,52,581.4054054054054,628.125639152666,669.2293436591185,447867.9144144145,0.590582899663765,-1.6813129014467327,37,52.0,52.0,52.0,60.0,83.0,222.99999999999977,1372.0,1492.0,1492.0,738,52,113.23529411764706,94.85813148788928,169.77725459103934,28824.316176470587,3.5380027341064637,13.117206037498514,17,52.0,52.0,52.0,52.0,52.0,52.0,60.8,79.20000000000002,192.20000000000005,1492,52,979.35,629.045,679.3473086643339,461512.7657894737,-0.662710611157198,-1.7089261950538823,20,52.0,78.4,145.0,1312.4,1492,1492.0,1492.0,1492.0,1492.0,1.0,2,10756,18.5,37.62512457370758,103,149,170,58,1
2,"('157.240.7.35', 443)",1432,52,355.75,406.8125,513.5079859290439,263690.45161290315,1.4934916583138425,0.6154907552169169,32,52.0,52.0,52.0,52.0,60.0,75.39999999999996,281.5999999999999,713.0000000000001,1432.0,1432,52,396.5,453.9375,552.7894113795355,305576.13333333336,1.3403566698051226,0.13637495311941583,16,52.0,52.0,52.0,52.0,62.0,64.0,373.5,749.0,1432.0,1432,52,315.0,352.875,485.63525407449566,235841.59999999995,1.847841604117911,2.1335132515662476,16,52.0,52.0,52.0,52.0,56,83.0,204.5,331.0,1154.5,1.0,1,11384,32.0,185.59135913848877,157,240,7,35,1
3,"('142.250.185.131', 443)",1378,53,617.0,578.4137931034483,618.9015038183147,383039.0714285714,0.40752605000307146,-1.855230721246405,29,54.6,58.6,61.0,80.40000000000002,279.0,579.8000000000002,1378.0,1378.0,1378.0,1378,61,801.625,576.375,611.848224643988,374358.25,-0.15487078008015756,-2.093457797985172,16,61.0,61.0,279.0,367.0,1005.5,1378.0,1378.0,1378.0,1378.0,1378,53,389.7692307692308,456.1065088757396,569.5830571342154,324424.85897435894,1.3748413428026134,-0.04323408135166362,13,53.0,53.800000000000004,55.0,55.0,72,80.39999999999998,202.7999999999996,973.2000000000014,1378.0,0.0,1,17893,29.0,5.863808870315552,142,250,185,131,1
4,"('202.92.6.43', 443)",1492,40,209.17241379310346,227.9976218787158,379.35330959085746,143908.93349753696,2.9623649692519796,8.178066317604994,29,49.60000000000001,52.0,52.0,52.0,60.0,79.20000000000002,94.79999999999998,178.6000000000002,445.9999999999998,698,52,123.78571428571429,100.09183673469387,172.70747993753378,29827.873626373632,3.2635621670771617,11.160000443886997,14,52.0,52.0,52.0,52.0,56.0,63.2,83.7,112.00000000000003,203.80000000000007,1492,40,288.8666666666667,331.9200000000001,496.0089092901841,246024.83809523805,2.2325311836712114,3.757513763092766,15,40.0,49.60000000000001,52.0,52.0,60,89.0,123.59999999999997,299.0000000000001,1041.7999999999995,1.0,1,6066,29.0,62.19242596626282,202,92,6,43,1
5,"('172.217.194.154', 443)",1378,53,378.5263157894737,388.34903047091404,489.4558620914378,239567.04093567256,1.420397783644508,0.6485410252272259,19,53.0,53.0,56.199999999999996,61.0,61.0,147.0,458.2,637.6,1378.0,1378,61,524.8888888888889,434.76543209876553,543.7762509627569,295692.6111111111,0.8478563378580426,-0.7543955291850208,9,61.0,61.0,61.0,133.60000000000005,424.0,555.2,662.4,978.4000000000003,1378.0,1378,53,246.8,273.08000000000004,419.03985490642776,175594.40000000002,2.6701257044363573,7.333816770286622,10,53.0,53.0,53.0,53.0,53,88.99999999999996,144.5,214.60000000000008,570.6999999999996,0.0,1,7192,19.0,6.592513084411621,172,217,194,154,1
6,"('74.125.200.154', 443)",1470,52,346.85714285714283,388.51020408163265,500.50080414026803,250501.05494505496,1.6817602903490068,1.6295289485512372,14,52.0,52.0,52.0,53.60000000000001,60.0,94.39999999999999,249.4999999999999,617.0,1172.0000000000007,1470,52,467.125,504.15625,616.786241624392,380425.26785714284,1.1669879465755364,-0.5475300501294553,8,52.0,52.0,52.800000000000004,58.4,81.5,196.20000000000007,522.3999999999997,1055.0000000000005,1406.3,689,52,186.5,176.66666666666666,254.37590294680035,64707.1,2.143049973572444,4.616582189789767,6,52.0,52.0,52.0,52.0,56,60.0,137.0,214.0,451.5,1.0,1,4856,14.0,0.2549428939819336,74,125,200,154,1
7,"('74.125.200.95', 443)",83,40,57.375,9.71875,12.883405716546493,165.98214285714286,1.0280393206139453,1.6896387161479227,8,48.400000000000006,52.0,52.0,52.0,52.0,54.400000000000006,62.8,64.0,69.69999999999999,83,52,65.75,8.625,12.816005617976296,164.25,0.7989201392068698,1.85900117919884,4,55.6,59.2,62.8,64.0,64.0,64.0,65.89999999999999,71.60000000000001,77.30000000000001,52,40,49.0,4.5,6.0,36.0,-1.9999999999999998,4.0,4,43.6,47.2,50.8,52.0,52,52.0,52.0,52.0,52.0,1.0,1,459,8.0,60.05132007598877,74,125,200,95,1
8,"('74.125.24.95', 443)",76,40,56.0,9.333333333333334,12.393546707863734,153.6,0.6656690126293998,0.5859375,6,46.0,52.0,52.0,52.0,52.0,52.0,58.0,64.0,70.0,76,52,64.0,8.0,12.0,144.0,0.0,0.0,3,54.400000000000006,56.8,59.2,61.6,64.0,66.4,68.8,71.2,73.6,52,40,48.0,5.333333333333333,6.928203230275509,48.0,-1.7320508075688774,0.0,3,42.4,44.8,47.2,49.6,52,52.0,52.0,52.0,52.0,1.0,1,336,6.0,60.007028341293335,74,125,24,95,1
9,"('74.125.68.95', 443)",83,40,57.166666666666664,10.888888888888888,14.756919281024299,217.7666666666667,1.1283314726479672,1.6697657308071712,6,46.0,52.0,52.0,52.0,52.0,52.0,58.0,64.0,73.5,83,52,66.33333333333333,11.111111111111109,15.631165450257809,244.3333333333334,0.6567667680514055,0.0,3,54.400000000000006,56.8,59.2,61.6,64.0,67.8,71.6,75.4,79.2,52,40,48.0,5.333333333333333,6.928203230275509,48.0,-1.7320508075688774,0.0,3,42.4,44.8,47.2,49.6,52,52.0,52.0,52.0,52.0,1.0,1,343,6.0,60.03324627876282,74,125,68,95,1
