,source,target,weight,graph_id
0,"('74.125.24.95', 443)","('74.125.68.95', 443)",1.0,1
1,"('103.149.170.58', 443)","('202.92.6.43', 443)",0.5,1
2,"('172.217.194.154', 443)","('74.125.200.154', 443)",0.5,1
3,"('202.92.6.43', 443)","('74.125.200.154', 443)",0.5,1
4,"('202.92.6.43', 443)","('172.217.194.154', 443)",0.5,1
5,"('142.250.185.131', 443)","('74.125.200.154', 443)",0.5,1
6,"('142.250.185.131', 443)","('172.217.194.154', 443)",0.5,1
7,"('142.250.185.131', 443)","('202.92.6.43', 443)",0.5,1
8,"('157.240.7.35', 443)","('74.125.200.95', 443)",0.5,1
9,"('103.149.170.58', 443)","('74.125.200.154', 443)",0.5,1
10,"('103.149.170.58', 443)","('172.217.194.154', 443)",0.5,1
11,"('74.125.24.157', 443)","('103.149.170.58', 443)",0.5,1
12,"('103.149.170.58', 443)","('142.250.185.131', 443)",0.5,1
13,"('74.125.24.157', 443)","('142.250.185.131', 443)",0.5,1
14,"('74.125.24.157', 443)","('202.92.6.43', 443)",0.5,1
15,"('74.125.24.157', 443)","('74.125.200.154', 443)",0.5,1
16,"('74.125.24.157', 443)","('172.217.194.154', 443)",0.5,1
17,"('74.125.200.154', 443)","('74.125.24.95', 443)",0.0,1
18,"('74.125.200.154', 443)","('74.125.200.95', 443)",0.0,1
19,"('172.217.194.154', 443)","('74.125.68.95', 443)",0.0,1
20,"('142.250.185.131', 443)","('74.125.68.95', 443)",0.0,1
21,"('172.217.194.154', 443)","('74.125.200.95', 443)",0.0,1
22,"('74.125.200.154', 443)","('74.125.68.95', 443)",0.0,1
23,"('202.92.6.43', 443)","('74.125.68.95', 443)",0.0,1
24,"('202.92.6.43', 443)","('74.125.24.95', 443)",0.0,1
25,"('202.92.6.43', 443)","('74.125.200.95', 443)",0.0,1
26,"('74.125.200.95', 443)","('74.125.24.95', 443)",0.0,1
27,"('74.125.200.95', 443)","('74.125.68.95', 443)",0.0,1
28,"('172.217.194.154', 443)","('74.125.24.95', 443)",0.0,1
29,"('142.250.185.131', 443)","('74.125.24.95', 443)",0.0,1
30,"('103.149.170.58', 443)","('157.240.7.35', 443)",0.0,1
31,"('142.250.185.131', 443)","('74.125.200.95', 443)",0.0,1
32,"('74.125.24.157', 443)","('74.125.200.95', 443)",0.0,1
33,"('74.125.24.157', 443)","('74.125.24.95', 443)",0.0,1
34,"('157.240.7.35', 443)","('74.125.68.95', 443)",0.0,1
35,"('74.125.24.157', 443)","('157.240.7.35', 443)",0.0,1
36,"('74.125.24.157', 443)","('74.125.68.95', 443)",0.0,1
37,"('157.240.7.35', 443)","('74.125.200.154', 443)",0.0,1
38,"('157.240.7.35', 443)","('172.217.194.154', 443)",0.0,1
39,"('157.240.7.35', 443)","('202.92.6.43', 443)",0.0,1
40,"('157.240.7.35', 443)","('142.250.185.131', 443)",0.0,1
41,"('103.149.170.58', 443)","('74.125.68.95', 443)",0.0,1
42,"('103.149.170.58', 443)","('74.125.24.95', 443)",0.0,1
43,"('103.149.170.58', 443)","('74.125.200.95', 443)",0.0,1
44,"('157.240.7.35', 443)","('74.125.24.95', 443)",0.0,1
45,"('74.125.200.154', 443)","('172.217.194.156', 443)",1.0,2
46,"('74.125.200.156', 443)","('172.217.194.113', 443)",1.0,2
47,"('173.194.70.94', 443)","('142.250.4.132', 443)",1.0,2
48,"('103.149.170.58', 443)","('74.125.200.95', 443)",0.5,2
49,"('173.194.70.94', 443)","('74.125.24.154', 443)",0.5,2
50,"('74.125.24.154', 443)","('172.217.194.113', 443)",0.5,2
51,"('74.125.24.154', 443)","('172.217.194.156', 443)",0.5,2
52,"('202.92.6.43', 443)","('74.125.200.156', 443)",0.5,2
53,"('74.125.24.154', 443)","('142.250.4.132', 443)",0.5,2
54,"('202.92.6.43', 443)","('172.217.194.156', 443)",0.5,2
55,"('202.92.6.43', 443)","('172.217.194.113', 443)",0.5,2
56,"('74.125.200.156', 443)","('172.217.194.156', 443)",0.5,2
57,"('173.194.70.94', 443)","('74.125.68.156', 443)",0.5,2
58,"('173.194.70.94', 443)","('171.255.206.174', 443)",0.5,2
59,"('173.194.70.94', 443)","('74.125.200.156', 443)",0.5,2
60,"('74.125.200.156', 443)","('142.250.4.132', 443)",0.5,2
61,"('202.92.6.43', 443)","('103.149.170.58', 443)",0.5,2
62,"('173.194.70.94', 443)","('172.217.194.156', 443)",0.5,2
63,"('173.194.70.94', 443)","('172.217.194.113', 443)",0.5,2
64,"('74.125.200.156', 443)","('74.125.24.154', 443)",0.5,2
65,"('171.255.206.174', 443)","('142.250.4.132', 443)",0.5,2
66,"('103.149.170.58', 443)","('172.217.194.156', 443)",0.5,2
67,"('74.125.68.156', 443)","('172.217.194.113', 443)",0.5,2
68,"('74.125.68.156', 443)","('172.217.194.156', 443)",0.5,2
69,"('31.13.68.35', 443)","('74.125.200.156', 443)",0.5,2
70,"('74.125.68.156', 443)","('142.250.4.132', 443)",0.5,2
71,"('74.125.68.156', 443)","('74.125.24.154', 443)",0.5,2
72,"('74.125.68.156', 443)","('74.125.200.156', 443)",0.5,2
73,"('202.92.6.43', 443)","('31.13.68.35', 443)",0.5,2
74,"('202.92.6.43', 443)","('74.125.200.95', 443)",0.5,2
75,"('171.255.206.177', 443)","('142.250.4.132', 443)",0.5,2
76,"('74.125.200.154', 443)","('74.125.68.156', 443)",0.5,2
77,"('171.255.206.177', 443)","('173.194.70.94', 443)",0.5,2
78,"('172.217.194.156', 443)","('172.217.194.113', 443)",0.5,2
79,"('171.255.206.177', 443)","('171.255.206.174', 443)",0.5,2
80,"('142.250.4.132', 443)","('172.217.194.113', 443)",0.5,2
81,"('142.250.4.132', 443)","('172.217.194.156', 443)",0.5,2
82,"('74.125.200.95', 443)","('172.217.194.156', 443)",0.5,2
83,"('74.125.200.154', 443)","('202.92.6.43', 443)",0.5,2
84,"('74.125.200.154', 443)","('173.194.70.94', 443)",0.5,2
85,"('74.125.200.154', 443)","('103.149.170.58', 443)",0.5,2
86,"('31.13.68.35', 443)","('172.217.194.113', 443)",0.5,2
