,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('192.99.201.132', 80)",1492,52,710.7904902604508,507.0191118721565,529.0795071238297,279925.12485839456,-0.3621069158972971,-1.6850932006557209,18276,52,52,52,1096,1097,1097.0,1097.0,1097.0,1097,80,52,52.936182336182334,1.7387386466016128,3.4916995929471217,12.191966047387096,3.878251652579012,15.650728425759523,7020,52,52,52,52.0,52,52.0,52.0,52.0,52,1492,141,1121.07276119403,60.74806570824913,127.42355742209669,16236.762986102372,0.7086203787830944,9.6196846594661,11256,1096,1097,1097,1097,1097,1097.0,1097.0,1097.0,1098.0,1,1,12990407.0,18276.0,299.9516751766205,192,99,201,132,1
1,"('31.13.68.1', 443)",1432,52,299.24,350.60479999999995,469.10999776171894,220064.18999999997,1.8879638249697497,2.215485509809911,25,52,52,52,52,60,83.0,102.6,486.6000000000003,1198,1432,52,449.0,474.7692307692308,584.9924500937312,342216.1666666667,1.1753369339025228,-0.41798688187573907,13,52,52,52,58.400000000000006,83,175.59999999999974,507.1999999999998,1086.8000000000013,1432,847,52,137.0,127.0,227.1403250696082,51592.72727272729,3.2869553767811026,11.03480867696883,12,52,52,52,52,52,56.8,76.09999999999998,97.4,180.20000000000005,1,2,3740.5,12.5,92.6024866104126,31,13,68,1,1
2,"('172.217.194.95', 443)",1438,52,205.04545454545453,202.97933884297527,322.64081123378224,104097.0930735931,3.0810340015676134,10.425518257341839,22,52,52,52,60,83,90.6,115.1,239.4000000000001,578,1438,52,246.9090909090909,282.0330578512397,426.7902188535849,182149.8909090909,2.653086778164428,7.097028963792607,11,52,52,52,60.0,83,91.0,113.0,116.0,607,632,52,163.1818181818182,131.53719008264466,180.55016930582931,32598.36363636363,2.080595071064649,4.419132885436446,11,52,52,52,60,83,90.0,141.0,264.0,317.0,1,1,4511.0,22.0,0.833873987197876,172,217,194,95,1
3,"('74.125.24.99', 443)",52,52,52.0,0.0,0.0,0.0,0.0,0.0,2,52,52,52,52,52,52.0,52.0,52.0,52,52,52,52.0,0.0,0.0,0.0,0.0,0.0,1,52,52,52,52.0,52,52.0,52.0,52.0,52,52,52,52.0,0.0,0.0,0.0,0.0,0.0,1,52,52,52,52,52,52.0,52.0,52.0,52.0,1,1,104.0,2.0,0.041735172271728516,74,125,24,99,1
4,"('123.30.141.4', 80)",1492,52,941.0498344370861,663.2992402745436,685.7698627718914,470280.30468617886,-0.47087407147678695,-1.7495094500479325,6040,52.0,52,64.0,1250.0,1492.0,1492.0,1492.0,1492.0,1492.0,209,52,65.47472035794183,19.86210911420395,38.10177743770446,1451.7454439123646,3.287412093067758,9.176162568404653,2235,52.0,52.0,52.0,52.0,52,52.0,52.0,64.0,72.0,1492,52,1455.3495400788436,69.50933500944038,175.31637251267497,30735.830471003017,-5.195190690927806,27.815394519550065,3805,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1,1,5683941.0,6040.0,296.75977516174316,123,30,141,4,2
5,"('172.253.118.101', 443)",1470,52,651.8923076923077,663.5081656804734,684.7883825286129,468935.12884615385,0.312535387604985,-1.9083183490229234,65,52.0,52,52.0,52.0,60.0,1089.0,1470.0,1470.0,1470.0,1470,52,1083.2121212121212,539.1588613406797,614.8368054601845,378024.2973484847,-1.0512594229706251,-0.8474580252340513,33,52.0,82.40000000000002,1230.3999999999996,1470.0,1470,1470.0,1470.0,1470.0,1470.0,1470,52,207.09375,269.2265625,419.09244182923067,175638.4747983871,2.5014754867680495,4.787329304349919,32,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,955.6000000000021,1,1,42373.0,65.0,1.5819077491760254,172,253,118,101,2
6,"('69.171.250.35', 443)",1432,52,379.94736842105266,425.2963988919667,522.8880774319374,273411.9415204678,1.3990823781234705,0.4453658487771812,19,52.0,52,52.0,52.0,60.0,94.39999999999995,424.5999999999999,697.6000000000001,1432.0,1432,52,576.2,513.8399999999999,624.6753467913463,390219.28888888884,0.6864170342104826,-1.5344630226463,10,52.0,52.0,57.6,85.80000000000001,336,572.6,834.1999999999998,1432.0,1432.0,877,52,161.88888888888889,169.1604938271605,273.0258433026279,74543.11111111111,2.8173276885055736,8.082304686198492,9,52.0,52.0,52.0,52.0,52.0,52.0,56.8,119.20000000000005,341.8000000000001,1,1,7219.0,19.0,0.517937183380127,69,171,250,35,2
7,"('31.13.68.35', 443)",83,52,62.333333333333336,13.77777777777778,16.00833116432399,256.26666666666665,0.9682458365518535,-1.8750000000000018,6,52.0,52,52.0,52.0,52.0,52.0,67.5,83.0,83.0,83,52,59.75,11.625,15.5,240.25,1.9999999999999998,4.0,4,52.0,52.0,52.0,52.0,52,52.0,55.09999999999999,64.4,73.7,83,52,67.5,15.5,21.920310216782973,480.5,0.0,0.0,2,55.10000000000001,58.2,61.3,64.4,67.5,70.6,73.69999999999999,76.80000000000001,79.9,1,1,374.0,6.0,115.27450513839722,31,13,68,35,2
8,"('172.217.194.188', 5228)",80,52,65.0,13.0,15.0996688705415,228.0,0.06041726540998444,-5.652200677131425,4,52.0,52,52.0,56.80000000000001,64.0,71.19999999999999,76.4,77.6,78.8,80,52,66.0,14.0,19.79898987322333,392.0,0.0,0.0,2,54.800000000000004,57.6,60.4,63.2,66,68.8,71.6,74.4,77.2,76,52,64.0,12.0,16.97056274847714,288.0,0.0,0.0,2,54.400000000000006,56.800000000000004,59.2,61.6,64.0,66.4,68.8,71.2,73.60000000000001,1,1,260.0,4.0,0.06036806106567383,172,217,194,188,2
9,"('74.125.200.95', 443)",75,40,57.5,17.5,24.748737341529164,612.5,0.0,0.0,2,43.5,47,50.5,54.0,57.5,61.0,64.5,68.0,71.5,75,75,75.0,0.0,0.0,0.0,0.0,0.0,1,75.0,75.0,75.0,75.0,75,75.0,75.0,75.0,75.0,40,40,40.0,0.0,0.0,0.0,0.0,0.0,1,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1,1,115.0,2.0,0.04060697555541992,74,125,200,95,2
10,"('123.30.141.4', 80)",1492,52,967.100102319236,651.8385827389819,679.7414230603484,462048.4022241075,-0.5517751404224192,-1.6680129157791141,5864,52.0,52.0,64.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,209,52,65.56666666666666,21.009210950080117,39.312127318137186,1545.4433542774282,3.1827230260039148,8.420650161782099,2070,52.0,52.0,52.0,52.0,52.0,52.0,52.0,64.0,72.0,1492,52,1458.9752240379546,62.87535072579671,166.73627977960547,27800.98699474287,-5.565495687897411,32.220110447189775,3794,1492.0,1492.0,1492.0,1492.0,1492,1492.0,1492.0,1492.0,1492.0,1,1,5671075.0,5864.0,296.1768465042114,123,30,141,4,3
11,"('69.171.250.35', 443)",1432,52,324.2608695652174,380.3856332703213,489.01191818449803,239132.6561264822,1.6910618877638774,1.4528720849879706,23,52.0,52.0,52.0,52.0,52.0,64.59999999999998,144.99999999999986,574.4,1321.0000000000005,1432,52,488.8333333333333,499.8055555555556,600.7532897550501,360904.51515151514,0.9887732067096955,-0.8732532054198567,12,52.0,52.0,52.0,55.2,81.5,382.59999999999985,575.3,1261.2000000000007,1432.0,877,52,144.72727272727272,144.64462809917356,247.2658856005377,61140.4181818182,3.124614150222242,9.964589165691692,11,52.0,52.0,52.0,52.0,52,52.0,60.0,83.0,208.0,1,1,7458.0,23.0,185.42733192443848,69,171,250,35,3
12,"('172.253.118.101', 443)",76,40,56.0,9.333333333333334,12.393546707863734,153.6,0.6656690126293998,0.5859375,6,46.0,52.0,52.0,52.0,52.0,52.0,58.0,64.0,70.0,76,52,64.0,8.0,12.0,144.0,0.0,0.0,3,54.400000000000006,56.8,59.2,61.6,64.0,66.4,68.8,71.2,73.6,52,40,48.0,5.333333333333333,6.928203230275509,48.0,-1.7320508075688774,0.0,3,42.4,44.8,47.2,49.6,52,52.0,52.0,52.0,52.0,1,1,336.0,6.0,60.05836892127991,172,253,118,101,3
13,"('172.217.194.188', 5228)",80,52,65.0,13.0,15.099668870541496,227.99999999999991,0.06041726540998444,-5.652200677131425,4,52.0,52.0,52.0,56.80000000000001,64.0,71.19999999999999,76.4,77.6,78.8,80,52,66.0,14.0,19.79898987322333,392.0,0.0,0.0,2,54.800000000000004,57.6,60.4,63.2,66.0,68.8,71.6,74.4,77.2,76,52,64.0,12.0,16.97056274847714,288.0,0.0,0.0,2,54.400000000000006,56.800000000000004,59.2,61.6,64,66.4,68.8,71.2,73.60000000000001,1,1,260.0,4.0,0.06036806106567383,172,217,194,188,3
14,"('123.30.141.4', 8001)",1492,52,1008.8093861772463,641.7225188587655,679.5406532803247,461775.49946065043,-0.6960305742069958,-1.5147577746158316,166074,52.0,52.0,52.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,200,52,52.52125500619601,1.0278125328263195,6.615940854949985,43.77067339619633,19.255889106797373,408.67260001923563,55681,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1492,84,1491.150471497287,1.6971793052569042,27.453392161892033,753.6887411946349,-34.930317152615956,1299.6657427659231,110393,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1,1,167537010.0,166074.0,297.03388500213623,123,30,141,4,4
