,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('173.194.4.202', 443)",1448,52,1023.6487084870848,578.5201530480274,631.533348174235,398834.36985615955,-0.8506669365423376,-1.2467544550004448,1355,52,52,554.3999999999999,1448.0,1448,1448.0,1448.0,1448.0,1448.0,64,52,53.29545454545455,2.311208677685956,3.7291768403710615,13.906759906759893,2.5375190150316276,4.464336334055071,352,52,52,52.0,52,52,52.0,52.0,52.0,64.0,1448,52,1364.1914257228316,153.41230545651172,303.44254232601355,92077.37649327453,-3.6480172561092994,11.961858596270108,1003,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1.0,1,1387044.0,1355.0,298.55727100372314,173,194,4,202,1
1,"('74.125.24.102', 443)",1378,53,676.6501547987616,567.8038896184178,597.5274766090436,357039.0853027711,0.18842063996721134,-1.8224856971568655,323,54,61,61.0,161.80000000000007,516,1092.1999999999998,1378.0,1378.0,1378.0,1378,61,511.61870503597123,478.38807515138956,543.3342633007528,295212.1216765717,0.7323987764379399,-1.1885027798857999,139,61,61,61.0,61,144,495.5999999999999,771.1999999999996,1378.0,1378.0,1378,53,801.320652173913,589.774102079397,607.6998292024501,369299.0824126871,-0.19578109523912532,-1.875647866524813,184,53.0,55.0,148.0,363.60000000000014,1273.5,1378.0,1378.0,1378.0,1378.0,0.0,1,218558.0,323.0,12.873431205749512,74,125,24,102,1
2,"('172.217.194.95', 443)",1470,52,362.3259259259259,391.7965432098771,476.0844467552298,226656.40044223322,1.3550980390083247,0.2959556982630467,135,52,52,52.0,56.80000000000001,86,145.0,257.59999999999997,796.6000000000003,1173.6,1470,52,347.2903225806452,404.79500520291344,496.12631876076415,246141.32416710735,1.4007521621170314,0.2643893301820017,62,52,52,52.0,52,52,69.60000000000002,233.0,1000.2000000000012,1137.0,1470,52,375.09589041095893,379.58866579095496,461.450255064989,212936.3378995434,1.3510046126954753,0.4649834058147122,73,52.0,52.0,60.0,86.0,125.0,185.99999999999994,344.0,731.8,1174.8,1.0,5,9782.8,27.0,8.700106859207153,172,217,194,95,1
3,"('74.125.24.94', 443)",1470,52,320.43055555555554,243.1018518518518,372.01528919015715,138395.37539123627,1.9300859171235034,3.1201172647185826,72,52,55,61.900000000000006,64.0,313,313.0,342.0,342.0,798.3999999999999,1378,52,273.94871794871796,208.35765943458253,319.9230128375418,102350.73414304995,2.3310338834061195,5.922138815386568,39,52,52,61.0,64,243,313.0,313.0,313.8,706.0,1470,52,375.3636363636364,292.95867768595025,424.00249248838577,179778.11363636362,1.6148748013092904,1.6392624483165972,33,53.0,57.0,64.0,70.4,342.0,342.0,342.0,356.0,1156.8000000000002,0.5,2,11535.5,36.0,83.51227378845215,74,125,24,94,1
4,"('74.125.200.95', 443)",1470,52,343.4492753623188,337.4295316110062,407.15330023121885,165773.80988917302,1.3298712926348912,0.8927090755847908,69,52,52,52.0,52.0,60,235.7999999999999,446.0,737.0,938.2,1333,52,329.6666666666667,293.6111111111111,357.82924898416485,128041.77142857143,1.191845057260548,0.47982537572006834,36,52,52,52.0,52,124,344.0,446.0,592.0,938.5,1470,52,358.4848484848485,387.7373737373737,460.1921555999815,211776.82007575757,1.3657987798933036,0.835840725429184,33,52.0,52.0,52.0,52.0,52.0,118.99999999999994,737.0,737.0,765.0,1.0,2,11849.0,34.5,3.197155237197876,74,125,200,95,1
5,"('74.125.200.94', 443)",1470,52,437.69444444444446,458.59259259259267,533.5397063518031,284664.6182539683,1.0122687616895842,-0.6839145265010873,36,52,52,56.5,61.0,85,116.0,600.5,1027.0,1378.0,1378,52,343.0,366.3333333333333,456.43941676466835,208336.9411764706,1.5154489059668792,1.1415173549570552,18,52,52,60.1,61,85,95.99999999999999,384.1999999999996,712.4000000000003,979.0000000000005,1470,52,532.3888888888889,537.6975308641975,598.9559680260202,358748.25163398695,0.6707824539053979,-1.5232368926316382,18,52.0,52.4,53.699999999999996,78.40000000000002,87.0,435.1999999999998,987.4999999999995,1348.0,1378.0,0.5,2,7878.5,18.0,0.4824352264404297,74,125,200,94,1
6,"('74.125.68.95', 443)",1470,52,558.5,524.9230769230769,598.8602007146576,358633.54,0.6502872119726787,-1.4706952946382403,26,52,60,61.0,70.0,180,552.0,1005.0,1378.0,1378.0,1378,52,322.42857142857144,369.6122448979592,481.5619960544603,231901.95604395602,1.7709431857272449,1.9288851886965013,14,52,52,59.199999999999996,61,61,68.19999999999999,159.59999999999985,558.8,1135.3000000000009,1470,52,833.9166666666666,574.75,622.3595070862227,387331.3560606061,-0.195741185865074,-2.1091335136368983,12,64.7,134.40000000000003,308.79999999999995,528.8000000000001,1005.0,1378.0,1378.0,1378.0,1460.8,0.5,2,7260.5,13.0,0.14105510711669922,74,125,68,95,1
7,"('172.217.194.138', 443)",83,40,57.583333333333336,8.513888888888891,10.900027800909777,118.81060606060605,0.9262351869342152,1.8330773651594923,12,52,52,52.0,52.0,52,59.199999999999996,64.0,64.0,64.0,83,52,65.16666666666667,5.944444444444447,9.968283035040018,99.36666666666665,1.0244838368677212,3.0516687314413566,6,58,64,64.0,64,64,64.0,64.0,64.0,73.5,52,40,50.0,3.3333333333333335,4.898979485566357,24.000000000000004,-2.449489742783178,6.0,6,46.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1.0,1,691.0,12.0,60.10501503944397,172,217,194,138,1
8,"('74.125.101.105', 443)",1448,52,940.9610738255034,632.4743570109482,661.3612596332213,437398.71574364114,-0.5666698023001572,-1.6540168577261958,1490,52,52,52.0,1448.0,1448,1448.0,1448.0,1448.0,1448.0,64,52,52.226950354609926,0.44531629864359296,1.636529652409849,2.678229303216701,7.088750333171195,48.47957931488425,423,52,52,52.0,52.0,52,52.0,52.0,52.0,52.0,1448,52,1293.2895970009372,267.9796115728873,416.28127838527354,173290.1027340776,-2.4590640615719512,4.269826173339659,1067,464.8000000000006,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1448.0,1.0,1,1402032.0,1490.0,299.820424079895,74,125,101,105,2
9,"('74.125.200.95', 443)",1378,52,471.88235294117646,511.67128027681673,577.0776831644221,333018.65240641707,0.8940623017742105,-1.116417597808148,34,52,52,61.0,61.6,108,125.0,646.5999999999997,1378.0,1378.0,1378,52,304.1875,369.65625,474.35109623568906,225008.96249999997,1.744628666505769,1.7409020331299594,16,52,52,56.5,61.0,61,61.0,64.0,631.0,1082.5,1378,52,620.9444444444445,588.8209876543209,630.8064373783043,397916.7614379085,0.41688947413561367,-1.984161528659283,18,52.0,75.0,108.0,121.60000000000001,166.0,708.3999999999994,1378.0,1378.0,1378.0,0.6666666666666666,3,5348.0,11.333333333333334,3.4941274325052896,74,125,200,95,2
10,"('157.240.7.35', 443)",1432,52,487.48,504.61439999999993,587.125917783684,344716.8433333333,0.9216590378836321,-1.0091315753254313,25,52,52,52.0,52.0,60,310.8,554.1999999999998,1432.0,1432.0,1432,52,496.46153846153845,526.414201183432,605.7020190633641,366874.93589743593,0.8749790086867635,-1.196801766404219,13,52,52,52.0,52.0,60,256.1999999999997,756.9999999999993,1274.8000000000006,1432.0,1432,52,477.75,480.0,593.029222796743,351683.6590909091,1.1187244062873631,-0.6140201701421644,12,52.0,52.0,52.0,55.2,185.0,311.2,440.0999999999999,1244.6000000000006,1432.0,1.0,1,12187.0,25.0,0.43829774856567383,157,240,7,35,2
11,"('172.217.194.95', 443)",125,52,73.76,16.447999999999997,19.647476513113162,386.0233333333333,0.5450201894069179,0.31680557778199203,25,52,52,52.0,75.40000000000003,83,83.0,83.0,83.0,83.0,83,52,73.84210526315789,12.531855955678672,14.088068860228018,198.47368421052636,-0.9564438179565522,-1.1326284224844203,19,52,52,71.6,83.0,83,83.0,83.0,83.0,83.0,125,52,73.5,28.666666666666668,33.73870181260684,1138.3,1.0772179124862407,-1.2226460006552768,6,52.0,52.0,52.0,52.0,52.0,52.0,80.0,108.0,116.5,1.0,4,461.0,6.25,17.353935301303864,172,217,194,95,2
12,"('31.13.68.1', 443)",1432,52,325.4782608695652,336.578449905482,473.5645170181737,224263.35177865613,1.840459453066035,2.048207810234361,23,52,52,52.0,52.0,60,184.59999999999997,283.9999999999999,351.80000000000007,1311.8000000000004,1432,52,234.66666666666666,225.16666666666663,391.5071886796957,153277.8787878788,3.04813806763816,9.804334067129272,12,52,52,52.0,52.0,56,130.79999999999995,201.09999999999997,247.00000000000003,355.90000000000003,1432,52,424.54545454545456,440.24793388429754,551.4361909842994,304081.8727272727,1.3144925008487318,0.19877906195910278,11,52.0,52.0,52.0,52.0,60.0,326.0,329.0,831.0,1432.0,1.0,1,7486.0,23.0,0.48879098892211914,31,13,68,1,2
