,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('74.125.24.132', 443)",1470,52,978.4139215831422,641.5104471725672,673.9516746625987,454210.8597805214,-0.6428216091814962,-1.5855053176289609,40527,52,52,52,1470.0,1470.0,1470.0,1470.0,1470.0,1470.0,503,52,54.27767475035663,4.131006672759027,22.759807688307934,518.0088460087609,19.14610360095257,374.38229644502735,14020,52,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1470,52,1467.205191081601,5.574645834441045,59.43950171187189,3533.054363755621,-22.45291146948701,513.5573389612948,26507,1470.0,1470.0,1470.0,1470.0,1470.0,1470.0,1470.0,1470.0,1470.0,1,1,39652181.0,40527.0,291.38874220848083,74,125,24,132,1
1,"('104.21.11.26', 443)",1492,40,221.86962962962963,264.1034183813431,380.1432389088901,144508.8820881415,2.2750476898968026,3.9321327125720447,675,40,40,40,40.0,40.0,60.0,63.0,290.0,557.0,557,40,141.81869688385268,143.62328563747474,183.5874853116895,33704.36476306981,1.5560379298451084,0.5633716531088284,353,40,40.0,40.0,40.0,40.0,60.0,63.0,125.0,460.0,1492,40,309.6273291925466,390.77084217429865,501.689101079298,251691.95414175405,1.5430830906220805,0.5050069827167509,322,40.0,40.0,40.0,40.0,40.0,52.0,154.6999999999985,290.0,1262.0,1,35,4278.914285714286,19.285714285714285,1.6604469503675188,104,21,11,26,1
2,"('69.171.250.35', 443)",1432,52,417.1764705882353,453.9065743944637,554.1843840733895,307120.3315508021,1.2414671439739535,-0.2700227766611909,34,52,52,52,53.60000000000001,64.0,222.80000000000004,332.0,1153.6000000000008,1432.0,1432,52,361.8888888888889,424.04938271604937,537.2134956135046,288598.339869281,1.5238479473419806,0.5827442227694632,18,52,52.0,52.0,52.0,62.0,86.79999999999993,228.39999999999992,674.400000000001,1432.0,1432,52,479.375,476.3125,583.7739145708151,340791.9833333334,1.0921241438238818,-0.6656480746200422,16,52.0,52.0,52.0,60.0,213.5,332.0,405.5,1432.0,1432.0,1,1,14184.0,34.0,0.7235171794891357,69,171,250,35,1
3,"('172.217.194.99', 443)",75,40,59.36363636363637,10.214876033057852,11.927050995721677,142.25454545454545,0.17372279890531941,-1.1267407831704457,11,52,52,52,52.0,52.0,64.0,64.0,75.0,75.0,75,52,65.28571428571429,8.326530612244898,10.323343865794095,106.57142857142857,-0.41235054420989037,-1.7417360866533933,7,52,54.400000000000006,61.599999999999994,64.0,64.0,70.6,75.0,75.0,75.0,52,40,49.0,4.5,6.0,36.0,-1.9999999999999998,4.0,4,43.6,47.2,50.8,52.0,52.0,52.0,52.0,52.0,52.0,1,1,653.0,11.0,60.95353579521179,172,217,194,99,1
4,"('172.217.194.94', 80)",64,52,53.5,2.625,4.242640687119285,17.999999999999996,2.8284271247461903,8.0,8,52,52,52,52.0,52.0,52.0,52.0,52.0,55.599999999999994,64,52,54.0,3.3333333333333335,4.898979485566356,23.999999999999996,2.449489742783178,6.0,6,52,52.0,52.0,52.0,52.0,52.0,52.0,52.0,58.0,52,52,52.0,0.0,0.0,0.0,0.0,0.0,2,52.00000000000001,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1,1,428.0,8.0,62.32203006744385,172,217,194,94,1
5,"('104.21.81.251', 443)",63,40,43.833333333333336,6.38888888888889,9.389710680668848,88.16666666666666,2.449489742783177,5.999999999999991,6,40,40,40,40.0,40.0,40.0,40.0,40.0,51.5,63,40,47.666666666666664,10.222222222222221,13.279056191361393,176.33333333333337,1.7320508075688792,0.0,3,40,40.0,40.0,40.0,40.0,44.599999999999994,49.2,53.8,58.400000000000006,40,40,40.0,0.0,0.0,0.0,0.0,0.0,3,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1,1,263.0,6.0,0.03939986228942871,104,21,81,251,1
6,"('104.21.92.235', 443)",63,40,43.833333333333336,6.38888888888889,9.389710680668848,88.16666666666666,2.449489742783178,5.999999999999998,6,40,40,40,40.0,40.0,40.0,40.0,40.0,51.5,63,40,47.666666666666664,10.222222222222221,13.279056191361391,176.33333333333331,1.7320508075688792,0.0,3,40,40.0,40.0,40.0,40.0,44.599999999999994,49.2,53.8,58.400000000000006,40,40,40.0,0.0,0.0,0.0,0.0,0.0,3,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1,1,263.0,6.0,0.11944293975830078,104,21,92,235,1
7,"('157.240.7.35', 443)",83,52,62.333333333333336,13.77777777777778,16.00833116432399,256.2666666666667,0.9682458365518535,-1.8750000000000018,6,52,52,52,52.0,52.0,52.0,67.5,83.0,83.0,83,52,59.75,11.625,15.500000000000002,240.25000000000003,1.9999999999999998,4.0,4,52,52.0,52.0,52.0,52.0,52.0,55.09999999999999,64.4,73.7,83,52,67.5,15.5,21.920310216782973,480.5,0.0,0.0,2,55.10000000000001,58.2,61.3,64.4,67.5,70.6,73.69999999999999,76.80000000000001,79.9,1,1,374.0,6.0,115.27929615974426,157,240,7,35,1
8,"('172.67.139.61', 443)",63,40,43.833333333333336,6.38888888888889,9.38971068066885,88.16666666666667,2.449489742783178,5.999999999999998,6,40,40,40,40.0,40.0,40.0,40.0,40.0,51.5,63,40,47.666666666666664,10.222222222222221,13.279056191361391,176.33333333333331,1.7320508075688792,0.0,3,40,40.0,40.0,40.0,40.0,44.599999999999994,49.2,53.8,58.400000000000006,40,40,40.0,0.0,0.0,0.0,0.0,0.0,3,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1,1,263.0,6.0,0.04193592071533203,172,67,139,61,1
9,"('172.67.193.123', 443)",63,40,43.833333333333336,6.38888888888889,9.389710680668848,88.16666666666666,2.449489742783177,5.999999999999991,6,40,40,40,40.0,40.0,40.0,40.0,40.0,51.5,63,40,47.666666666666664,10.222222222222221,13.279056191361393,176.33333333333337,1.7320508075688792,0.0,3,40,40.0,40.0,40.0,40.0,44.599999999999994,49.2,53.8,58.400000000000006,40,40,40.0,0.0,0.0,0.0,0.0,0.0,3,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1,1,263.0,6.0,0.0405120849609375,172,67,193,123,1
