,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('13.224.249.19', 443)",1480,52,1042.8684607104412,601.4020754981458,652.1750748847462,425332.3283009244,-0.8313484028455453,-1.300708317506889,4645,52.0,64.0,80.0,1480.0,1480.0,1480.0,1480.0,1480.0,1480.0,80,52,61.46666666666667,6.311111111111171,7.535820510485612,56.78859076625564,0.11187048604359713,-0.6821235187097567,1380,52.0,52.0,52.0,64.0,64.0,64.0,64.0,64.0,72.0,1480,52,1457.6722817764166,43.6296607248009,160.64707289162186,25807.482028646067,-7.666574697347776,59.30635272525792,3265,1480,1480,1480,1480,1480,1480.0,1480,1480.0,1480.0,1,1,4844124.0,4645.0,290.14754605293274,13,224,249,19,1
1,"('52.177.138.113', 443)",1492,40,312.21875,352.03271484375,476.44002915157404,226995.1013779527,1.7713318731111658,1.5848826881154148,128,52.0,52.0,52.0,52.0,60.0,64.0,264.3999999999992,369.0,1492.0,862,52,133.8840579710145,117.96345305608054,194.95516349029074,38007.51577152599,3.1446553697095134,9.416131300727642,69,52.0,52.0,52.0,52.0,60.0,63.19999999999999,64.0,178.0,274.0,1492,40,520.7796610169491,544.5147945992532,608.6032643457452,370397.9333722969,0.8081222786520121,-1.1769344147256438,59,52,52,52,60,60,310.0,1014,1492.0,1492.0,1,6,6660.666666666667,21.333333333333332,32.85838917891184,52,177,138,113,1
2,"('40.70.161.102', 443)",1492,52,359.3478260869565,396.94896030245724,509.737153067531,259831.9652173915,1.5170304467037254,0.7190001009280236,46,52.0,52.0,52.0,60.0,62.0,72.0,291.9999999999999,862.0,1480.0,862,52,148.32,139.04640000000006,224.69882064666027,50489.56,2.859497872915599,7.518289479264304,25,52.0,52.0,52.0,52.0,60.0,64.0,64.0,178.0,274.0,1492,52,610.5714285714286,580.5170068027213,634.113205305533,402099.5571428571,0.5505798659287306,-1.6384619931979876,21,52,52,52,60,310,369.0,1050,1480.0,1492.0,1,2,8265.0,23.0,27.742369532585144,40,70,161,102,1
3,"('69.171.250.35', 443)",1432,40,233.03030303030303,278.6556473829202,417.80673499003143,174562.46780303036,2.406273053885276,4.566979241174687,33,52.0,52.0,52.0,52.0,52.0,60.0,71.59999999999997,154.6000000000001,774.6000000000003,1432,52,330.8888888888889,393.4938271604937,522.9053326636712,273429.9869281046,1.7399348439340572,1.4148531541703964,18,52.0,52.0,52.0,52.0,60.0,67.79999999999998,100.99999999999997,463.40000000000043,1432.0,826,40,115.6,104.50666666666665,199.72616968525395,39890.54285714286,3.681356486857642,13.834696538011261,15,52,52,52,52,52,55.2,60,64.60000000000002,146.59999999999997,1,2,3845.0,16.5,59.289989948272705,69,171,250,35,1
4,"('40.70.161.7', 443)",52,52,52.0,0.0,0.0,0.0,0.0,0.0,4,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52,52,52.0,0.0,0.0,0.0,0.0,0.0,2,52.00000000000001,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52,52,52.0,0.0,0.0,0.0,0.0,0.0,2,52,52,52,52,52,52.0,52,52.0,52.0,1,1,208.0,4.0,0.9776551723480225,40,70,161,7,1
5,"('172.217.24.35', 443)",52,52,52.0,0.0,0.0,0.0,0.0,0.0,3,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52,52,52.0,0.0,0.0,0.0,0.0,0.0,1,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52,52,52.0,0.0,0.0,0.0,0.0,0.0,2,52,52,52,52,52,52.0,52,52.0,52.0,1,1,156.0,3.0,1.7587707042694092,172,217,24,35,1
6,"('205.185.216.42', 443)",1492,40,934.3519886981092,681.6977264872098,699.2912723113261,489008.28353079327,-0.4567803952949386,-1.7911469307286079,18404,52.0,52.0,64.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,569,40,57.57666385846672,7.0052431955566705,12.739736674661327,162.30089053971082,25.88678177033477,1011.6485039880034,7122,52.0,52.0,52.0,52.0,52.0,52.0,64.0,64.0,64.0,1492,40,1487.8348697039532,8.305894469107418,77.04780971596853,5936.364982028093,-18.497143430489256,340.9163186451749,11282,1492.0,1492.0,1492.0,1492.0,1492,1492.0,1492.0,1492.0,1492.0,1,1,17195814.0,18404.0,71.97879886627197,205,185,216,42,2
7,"('104.19.159.48', 443)",1492,40,782.851655496649,713.2370353498775,713.5052240750744,509089.70478242205,-0.013914140659529334,-1.9987403285811192,9997,52.0,60.0,76.0,76.0,1492.0,1492.0,1492.0,1492.0,1492.0,557,40,64.75449222693317,11.219833974184105,19.758658265263012,390.4045764434464,12.703087972976524,273.19930808622155,4953,52.0,52.0,60.0,60.0,68.0,68.0,76.0,76.0,76.0,1492,40,1487.9934575733546,7.9543052855720005,70.18743324177345,4926.275785068405,-19.394357842360776,382.07478425778424,5044,1492.0,1492.0,1492.0,1492.0,1492,1492.0,1492.0,1492.0,1492.0,1,3,2608722.6666666665,3332.3333333333335,192.54788359006247,104,19,159,48,2
8,"('104.37.192.254', 443)",1492,40,723.3929471032745,700.84572581515,706.6525061121454,499357.7643945756,0.16219697643249106,-1.969575813304909,397,52.0,64.0,64.0,64.0,95.0,1492.0,1492.0,1492.0,1492.0,569,40,77.85051546391753,31.04989903284098,74.73423257027285,5585.205517867632,5.087292935477373,26.953543212887322,194,52.0,52.0,60.0,64.0,64.0,64.0,64.0,64.0,72.0,1492,52,1340.3152709359606,270.491979907301,436.9259392045778,190904.2763498024,-2.5542565213460366,4.5981189409270975,203,310.0,1492.0,1492.0,1492.0,1492,1492.0,1492.0,1492.0,1492.0,1,4,71796.75,99.25,84.05731046199799,104,37,192,254,2
9,"('69.171.250.15', 443)",1432,40,282.03,303.56439999999975,394.1442707456448,155349.70616161614,1.7483900284588318,1.9142563409388784,100,52.0,52.0,52.0,52.0,60.0,86.0,231.0,549.8000000000001,929.1,941,52,217.0612244897959,221.56184922948773,287.2957541282782,82538.85034013608,1.7273484553060343,1.6174006311908262,49,52.0,52.0,52.0,53.60000000000002,83.0,86.0,119.59999999999968,450.8,652.200000000001,1432,40,344.45098039215685,375.6132256824299,469.30192046167855,220244.29254901965,1.4523720351108003,0.6237601327184512,51,52.0,52.0,52.0,52.0,52,126.0,268.0,739.0,1339.0,1,4,7050.75,25.0,57.72521132230759,69,171,250,15,2
