,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('35.186.224.25', 443)",1470,40,348.13385826771656,392.92300824601494,508.9500505727375,259030.15397799204,1.5855179536911947,0.763442607161128,635,52.0,52.0,52.0,52.0,98.0,129.0,200.39999999999964,540.4000000000012,1470.0,1470,40,345.09180327868853,412.5503681805958,517.8217771204918,268139.39286022424,1.5171670672780198,0.561869550982161,305,52,52.0,52,52.0,52,98.0,130.99999999999991,727.0,1470.0,1470,40,350.94545454545454,374.97531680440585,501.38201410443696,251383.92406742185,1.6627358372766852,0.9994323973714723,330,52.0,52.0,52.0,94.19999999999996,129.0,138.60000000000002,240.09999999999988,401.79999999999995,1470.0,1,5,44213.0,127.0,59.95049901008606,35,186,224,25,1
1,"('151.101.10.248', 443)",1492,40,752.8488372093024,713.1542275103641,716.151085902346,512872.3778391094,0.057456189303651393,-2.0044090186786976,258,52.0,52.0,52.0,52.0,153.5,1492.0,1492.0,1492.0,1492.0,569,40,60.170731707317074,15.807257584771008,53.46620003498965,2858.634546181527,8.0395515824858,70.84993802358102,123,52,52.0,52,52.0,52,52.0,52.0,52.0,52.0,1492,52,1383.9555555555555,196.95572016460864,373.30478257921845,139356.46069651755,-3.269243304438911,8.882838332863786,135,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1,2,97117.5,129.0,8.884104132652283,151,101,10,248,1
2,"('172.253.118.157', 443)",1470,40,194.35326086956522,188.33169896030225,330.3257213344142,109115.08217510107,3.139427626491912,9.027688378074979,184,52.0,52.0,52.0,60.0,60.0,90.0,122.09999999999994,222.0,339.0,1099,40,135.18556701030928,122.41449675842283,202.47573568089317,40996.42353951891,3.4052914866255484,12.38665758668156,97,40,52.0,52,52.0,52,60.0,70.79999999999961,178.0,279.0,1470,52,260.32183908045977,262.43995243757496,421.9860709222431,178072.24405239237,2.452992679530069,4.4323894446226415,87,52.0,53.599999999999994,60.0,64.0,98.0,121.0,170.0,231.0,981.2000000000046,1,5,7152.2,36.8,8.323943614959717,172,253,118,157,1
3,"('35.186.224.47', 443)",1470,40,161.86238532110093,161.17801531857575,290.66639487404177,84486.95310907236,3.6467980279182877,13.410135059872502,109,52.0,52.0,52.0,52.0,60.0,83.0,85.39999999999998,109.00000000000017,381.0,723,52,105.875,74.75,144.2433628534524,20806.14772727273,3.5686203944394705,12.227017190689864,56,52,52.0,52,52.0,55,64.0,87.0,87.0,134.5,1470,40,221.0188679245283,239.31363474546094,382.78440862097443,146523.90348330914,2.7669922412112897,6.678507622552383,53,52.0,52.0,52.0,52.0,83.0,83.0,83.0,210.0,565.000000000001,1,3,5881.0,36.333333333333336,93.42958545684814,35,186,224,47,1
4,"('172.253.118.154', 443)",1010,40,118.3859649122807,94.09664512157579,169.50250255063293,28731.09837092732,3.754336984254049,15.426706171188918,57,47.2,52.0,52.0,60.0,60.0,60.0,84.39999999999996,102.00000000000001,214.79999999999995,1010,40,119.36666666666666,111.26000000000002,204.6152795948489,41867.41264367818,3.5591168078212747,13.173722517222119,30,40,49.60000000000001,52,52.0,52,60.0,60.0,84.40000000000002,137.50000000000048,660,52,117.29629629629629,75.45404663923183,123.21426453846561,15181.754985754986,3.562109375525031,14.989820530400426,27,52.0,60.0,60.0,60.0,60.0,79.6,102.59999999999998,170.0,214.80000000000007,1,2,3374.0,28.5,8.00160801410675,172,253,118,154,1
5,"('104.199.241.194', 80)",1280,52,278.3777777777778,294.32098765432096,411.55333736339617,169376.14949494938,1.906459214337746,2.137184808536468,45,52.0,52.0,52.0,64.0,64.0,107.0,237.39999999999952,368.8,1256.4,376,52,121.30434782608695,95.23251417769379,113.85694165071948,12963.40316205534,1.3418955839646214,0.14110615355725065,23,52,52.0,52,52.0,60,64.0,69.99999999999997,270.0,270.0,1280,52,442.59090909090907,465.6611570247935,534.8184969457625,286030.8246753246,0.9295460503587074,-1.0920949814307561,22,52.0,60.8,64.0,90.20000000000002,107.0,107.0,525.4,1268.2,1280.0,1,1,12527.0,45.0,21.1002094745636,104,199,241,194,1
6,"('104.199.241.218', 80)",1280,40,280.53333333333336,301.5407407407409,416.2616965323617,173273.80000000002,1.843828744324222,1.8867237483808341,45,44.800000000000004,52.0,52.0,62.400000000000006,64.0,107.0,237.39999999999952,344.0000000000001,1256.4,376,52,134.26315789473685,103.83379501385043,117.501698382649,13806.649122807017,1.0133843083804845,-0.7694946806090082,19,52,52.0,52,60.8,64,64.0,193.59999999999994,270.0,283.19999999999993,1280,40,387.4230769230769,444.5088757396451,516.6028395645477,266878.49384615384,1.119647388410228,-0.6360668944738266,26,40.0,52.0,52.0,64.0,85.5,107.0,333.0,1221.0,1280.0,1,1,12624.0,45.0,34.431814670562744,104,199,241,218,1
7,"('34.98.74.57', 443)",569,40,104.13953488372093,55.68307193077338,93.69087504365183,8777.980066445181,3.440829007962325,14.503396677156111,43,52.0,52.0,52.0,60.0,64.0,91.6,103.8,132.0,174.40000000000023,569,52,102.85714285714286,63.56462585034015,119.85753447918312,14365.82857142857,3.467626174224885,12.501237054902347,21,52,52.0,52,60.0,64,64.0,83.0,98.0,103.0,288,40,105.36363636363636,47.214876033057855,62.21739571055935,3871.004329004329,1.3241313805217356,2.1867755663587323,22,52.0,52.0,52.0,72.0,101.5,118.6,132.0,132.0,179.7000000000001,1,2,2239.0,21.5,32.59333336353302,34,98,74,57,1
8,"('172.217.194.155', 443)",824,52,191.1951219512195,167.54431885782267,210.09024483685516,44137.910975609746,1.5563758238732375,1.2305299866378951,41,52.0,52.0,64.0,64.0,90.0,98.0,121.0,337.0,559.0,824,52,239.05263157894737,231.0193905817174,262.000948616648,68644.4970760234,1.043514672765528,-0.5732367956124214,19,52,56.800000000000004,64,64.0,90,98.0,376.59999999999985,559.0,561.0,632,52,149.86363636363637,109.16528925619838,146.19240272571832,21372.21861471861,2.0888003060216693,4.651027937775737,22,52.0,53.60000000000001,64.0,74.4,90.0,98.0,114.1,243.20000000000005,337.0,1,1,7839.0,41.0,34.63348126411438,172,217,194,155,1
9,"('35.190.241.118', 80)",945,40,179.02941176470588,185.52076124567478,287.263102430203,82520.0900178253,2.3498165128017057,3.977195266712551,34,40.0,52.0,52.0,63.0,63.0,64.0,64.0,162.0,737.3999999999995,945,52,293.9375,324.03125,390.330709142901,152358.0625,1.2130627670627172,-0.5360716006654105,16,52,52.0,63,64.0,64,64.0,172.5,933.0,945.0,162,40,76.88888888888889,37.82716049382716,47.738120036037905,2278.9281045751636,1.3101891464420385,-0.053452817129055585,18,40.0,40.0,52.0,52.0,63.0,63.0,63.9,122.80000000000014,162.0,1,1,6087.0,34.0,182.68535208702087,35,190,241,118,1
