,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('151.101.78.133', 443)",1442,40,750.3518111632969,692.3215341003485,692.6341916077566,479742.1233841306,-0.004418580314245034,-1.9984355274249181,49609,52.0,52.0,52.0,64.0,1442.0,1442.0,1442.0,1442.0,1442.0,569,40,56.108933344132176,6.037054037081405,15.223587697219576,231.75762237493524,15.493440610554634,302.05143755567303,24694,52,52.0,52.0,52.0,52.0,52.0,52.0,64.0,64.0,1442,52,1438.4366445916114,7.096390473746187,61.816913280913795,3821.3307675800165,-19.177643409730226,385.95729978271436,24915,1442.0,1442.0,1442.0,1442.0,1442.0,1442.0,1442.0,1442.0,1442.0,1.0,4,9306050.75,12402.25,115.07912188768387,151,101,78,133,1
1,"('113.171.216.209', 443)",1492,52,767.3818760856977,714.4223858343025,714.8936556740723,511072.9389230391,0.024548490814934792,-1.9975149788527355,13816,52.0,52.0,64.0,64.0,80.0,1492.0,1492.0,1492.0,1492.0,1163,52,63.19282511210762,9.16546520852721,49.957939433111434,2495.7957124024306,19.050825274670288,389.0190195083005,6913,52,52.0,52.0,52.0,64.0,64.0,64.0,64.0,72.0,1492,52,1472.5910473707083,38.2393993428357,162.46977229354746,26396.426909117163,-8.398392902885957,69.09281545209168,6903,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1.0,12,883512.3333333334,1151.3333333333333,0.7372246384620667,113,171,216,209,1
2,"('151.101.78.133', 80)",1442,52,708.95,686.9900000000004,691.2758855912739,477862.35,0.11701810375295402,-2.009767397291853,140,52.0,52.0,52.0,64.0,64.0,1442.0,1442.0,1442.0,1442.0,273,52,59.28169014084507,9.230311446141636,26.348316887742595,694.2338028169015,7.832789730757713,64.24514884344045,71,52,52.0,52.0,52.0,52.0,52.0,64.0,64.0,64.0,1442,52,1377.4492753623188,121.61730728838474,286.2505862430105,81939.3981244672,-4.479874165247722,18.84712992824363,69,1442.0,1442.0,1442.0,1442.0,1442.0,1442.0,1442.0,1442.0,1442.0,1.0,2,49626.5,70.0,0.49692201614379883,151,101,78,133,1
3,"('172.217.31.238', 443)",1470,52,453.3114754098361,518.5662456328943,571.5728781825098,326695.5550738382,0.8873573574703604,-1.0787504143545692,122,52.0,52.0,52.0,60.0,64.0,106.19999999999993,1009.4,1301.6000000000001,1458.1000000000008,1035,52,258.23809523809524,311.89417989418,385.7724431321973,148820.3778801844,1.473374251156038,0.2621363897727118,63,52,52.0,52.0,52.0,60.0,64.0,64.0,569.0,1022.6,1470,52,661.6101694915254,648.2418845159439,661.0598600092793,437000.13851548795,0.2556471104778742,-1.970528567068487,59,52.0,52.0,60.0,101.40000000000003,131.0,1310.8,1327.0,1470.0,1470.0,1.0,2,27652.0,61.0,30.924925446510315,172,217,31,238,1
4,"('216.58.200.66', 443)",1470,52,579.3448275862069,552.3412604042805,592.0062735191723,350471.427886057,0.4919986664551328,-1.6100742667628976,116,52.0,61.0,61.0,63.0,262.0,745.0,1304.0,1378.0,1378.0,1378,52,261.89473684210526,293.24838411819013,428.42930256138305,183551.6672932331,2.142145724467833,3.030677275230988,57,52,52.0,61.0,61.0,63.0,63.0,75.59999999999977,344.6,1326.3999999999999,1470,52,886.0338983050848,516.2016661878768,568.2965764731413,322960.99883109296,-0.47543186273245314,-1.535656045232192,59,52.8,120.60000000000008,429.39999999999975,756.2,1304.0,1378.0,1378.0,1378.0,1378.0,0.25,4,16801.0,29.0,15.001923680305481,216,58,200,66,1
5,"('13.228.32.36', 443)",1492,52,219.1359223300971,206.6064662079366,357.97538113794457,128146.37350085669,2.900941232293966,7.428943845089632,103,52.0,52.0,52.0,64.0,90.0,91.59999999999997,183.0,211.0,517.1999999999992,825,52,119.14814814814815,88.65294924554183,144.3770492668295,20844.732354996508,3.430398820748587,12.917824712175126,54,52,52.0,52.0,52.0,56.0,64.0,96.09999999999965,183.0,183.0,1492,52,329.3265306122449,337.60766347355263,475.02927049091323,225652.80782312923,1.9295144562175008,2.101342649744374,49,52.0,83.0,90.0,90.0,98.0,211.0,211.0,251.20000000000056,1492.0,1.0,2,11285.5,51.5,74.08730208873749,13,228,32,36,1
6,"('18.235.204.9', 443)",1480,40,172.84337349397592,169.32617215851343,274.95877659661124,75602.32882750516,3.217499327882227,11.189726531338277,83,52.0,52.0,52.0,52.0,52.0,77.39999999999998,110.0,153.0,533.0,1149,40,172.88636363636363,180.3646694214877,243.054230326264,59075.35887949259,2.1983666527200487,5.000448908578088,44,52,52.0,52.0,52.0,52.0,52.0,65.89999999999996,298.39999999999947,536.0,1480,52,172.7948717948718,156.86259040105202,310.3118278430992,96293.43049932523,3.765996842808429,13.89220749654391,39,52.0,52.0,52.0,60.0,83.0,107.0,110.0,153.0,210.0000000000008,1.0,4,3586.5,20.75,40.68224972486496,18,235,204,9,1
7,"('113.171.233.71', 80)",1492,52,474.1025641025641,403.7389875082181,510.1846263661351,260288.35298035288,1.1287819405201538,-0.006244623601122434,78,52.0,52.0,52.0,64.0,361.0,387.59999999999945,593.9,659.0,1492.0,1492,52,678.9347826086956,459.55860113421556,569.9375951091844,324828.8623188406,0.4117163833666563,-1.287035033100836,46,52,52.0,56.0,564.0,627.5,659.0,669.0,1492.0,1492.0,361,52,179.65625,147.341796875,152.4595365408739,23243.91028225806,0.3984279701144495,-1.9650391742795734,32,52.0,52.0,52.0,55.2,64.0,242.19999999999936,361.0,361.0,361.0,1.0,1,36980.0,78.0,106.13243818283081,113,171,233,71,1
8,"('54.151.170.169', 443)",1492,52,320.5882352941176,372.05190311418687,494.84815205360644,244874.6935908692,1.7565089442463884,1.4478607990933305,68,52.0,52.0,52.0,60.0,64.0,90.0,147.99999999999994,465.4000000000004,1492.0,1359,52,147.9189189189189,147.00365230094957,260.103865832519,67654.02102102102,3.5413178676534685,13.572953265578953,37,52,52.0,52.0,52.0,52.0,64.0,64.0,86.4,334.39999999999947,1492,52,526.6774193548387,556.3371488033298,620.5175467353455,385042.0258064516,0.8587393324276817,-1.195858712467289,31,52.0,60.0,83.0,90.0,121.0,256.0,977.0,1492.0,1492.0,1.0,2,10900.0,34.0,60.31173646450043,54,151,170,169,1
9,"('142.250.66.34', 443)",1378,53,479.1272727272727,510.4165289256202,562.6966176383892,316627.4835016835,0.7877923891222908,-1.2882703571368912,55,53.0,59.8,61.0,65.80000000000001,120.0,149.0,934.7999999999987,1239.2,1378.0,1378,61,681.7586206896551,568.7847800237813,598.5152256788946,358220.4753694581,0.029929323754516356,-1.9834796262001873,29,61,61.0,61.0,78.40000000000005,566.0,1098.0,1236.2,1378.0,1378.0,1378,53,253.1153846153846,283.9644970414202,426.56163230399204,181954.8261538461,2.3350287852573195,4.033843630965967,26,53.0,53.0,53.0,55.0,72.0,120.0,134.5,149.0,974.0,0.0,1,26352.0,55.0,27.858136892318726,142,250,66,34,1
