,source,target,weight,graph_id
0,"('118.69.184.22', 80)","('74.125.200.95', 443)",1.0,1
1,"('118.69.184.22', 80)","('74.125.24.155', 443)",0.0,1
2,"('118.69.184.22', 80)","('172.217.194.188', 5228)",0.0,1
3,"('74.125.200.95', 443)","('74.125.24.155', 443)",0.0,1
4,"('74.125.200.95', 443)","('172.217.194.188', 5228)",0.0,1
5,"('74.125.24.155', 443)","('172.217.194.188', 5228)",0.0,1
6,"('118.69.184.22', 80)","('74.125.24.102', 443)",1.0,2
7,"('118.69.184.22', 80)","('74.125.24.95', 443)",0.16666666666666666,2
8,"('118.69.184.22', 80)","('74.125.200.95', 443)",0.16666666666666666,2
9,"('118.69.184.22', 80)","('74.125.130.95', 443)",0.16666666666666666,2
10,"('118.69.184.22', 80)","('172.217.24.99', 443)",0.16666666666666666,2
11,"('74.125.24.95', 443)","('74.125.24.102', 443)",0.16666666666666666,2
12,"('74.125.24.95', 443)","('74.125.200.95', 443)",0.16666666666666666,2
13,"('74.125.24.95', 443)","('172.217.24.99', 443)",0.16666666666666666,2
14,"('74.125.24.102', 443)","('74.125.200.95', 443)",0.16666666666666666,2
15,"('74.125.24.102', 443)","('172.217.24.99', 443)",0.16666666666666666,2
16,"('74.125.200.95', 443)","('172.217.24.99', 443)",0.16666666666666666,2
17,"('74.125.24.95', 443)","('74.125.130.95', 443)",0.0,2
18,"('74.125.24.102', 443)","('74.125.130.95', 443)",0.0,2
19,"('74.125.200.95', 443)","('74.125.130.95', 443)",0.0,2
20,"('74.125.130.95', 443)","('172.217.24.99', 443)",0.0,2
21,"('118.69.184.22', 80)","('74.125.24.104', 443)",,3
22,"('118.69.184.22', 80)","('172.253.118.94', 80)",,3
23,"('74.125.24.104', 443)","('172.253.118.94', 80)",,3
24,"('171.244.28.83', 443)","('171.244.28.82', 443)",1.0,4
25,"('171.244.28.83', 443)","('74.125.24.106', 443)",0.0,4
26,"('171.244.28.82', 443)","('74.125.24.106', 443)",0.0,4
27,"('123.30.242.13', 443)","('157.240.13.14', 443)",1.0,5
28,"('157.240.13.14', 443)","('123.30.242.10', 443)",1.0,5
29,"('172.217.26.78', 443)","('172.217.194.97', 443)",1.0,5
30,"('123.30.151.71', 443)","('123.30.151.88', 443)",1.0,5
31,"('54.192.23.106', 443)","('172.217.194.97', 443)",1.0,5
32,"('54.192.23.106', 443)","('172.217.26.78', 443)",1.0,5
33,"('14.225.10.21', 443)","('123.30.151.88', 443)",1.0,5
34,"('123.30.242.13', 443)","('123.30.242.10', 443)",1.0,5
35,"('14.225.10.21', 443)","('123.30.151.71', 443)",1.0,5
36,"('74.125.24.95', 443)","('172.217.194.95', 443)",1.0,5
37,"('123.30.242.13', 443)","('172.217.194.95', 443)",0.0,5
38,"('123.30.242.13', 443)","('74.125.24.95', 443)",0.0,5
