,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('27.67.64.82', 18080)",1438,40,747.5958171574406,689.4332167616532,689.8679108807655,475917.7344629919,-0.0007498699271478296,-1.997440078160142,92473,52,52,52,64,620,1438.0,1438.0,1438.0,1438,380,40,56.935202505764124,6.920124450701083,19.11603946855748,365.42296496344744,14.323312906040362,226.19993200623,45974,52,52,52,52,52,52.0,52.0,64.0,64,1438,52,1430.4584829781286,14.960811613140377,90.34916171409353,8162.971022439424,-12.540476551509878,159.47064824634774,46499,1438,1438.0,1438.0,1438.0,1438,1438,1438.0,1438,1438.0,1,4,17283107.0,23118.25,181.5766732096672,27,67,64,82,1
1,"('52.221.102.249', 443)",1340,52,327.3859649122807,367.4595260080024,465.31731701472756,216520.2055137845,1.5179234134176651,0.6564784835007926,57,52,52,52,52,60,93.80000000000003,238.0,665.000000000001,1340,710,52,118.4,102.77333333333337,169.7018887180775,28798.73103448276,3.1108977520239223,9.236575236948056,30,52,52,52,52,52,52.0,61.19999999999999,86.80000000000032,238,1340,52,559.5925925925926,525.1906721536352,572.5743659634131,327841.4045584046,0.5252558439274749,-1.6663706841360115,27,52,53.60000000000001,78.4,101.80000000000001,284,477,1054.3999999999996,1340,1340.0,1,2,9330.5,28.5,61.08887767791748,52,221,102,249,1
2,"('69.171.250.35', 443)",1432,52,323.9655172413793,394.2925089179547,508.65273606983584,258727.60591133006,1.6558946534705181,1.0608019011217125,29,52,52,52,52,52,60.0,94.99999999999996,534.2,1432,1432,52,442.2,510.8,595.523922993143,354648.7428571429,1.070438878692093,-0.8086560185757388,15,52,52,52,52,60,79.60000000000002,475.7999999999995,1228.0000000000002,1432,1432,52,197.28571428571428,222.73469387755102,376.7197343407407,141917.75824175822,3.1583635281802596,10.367445179036253,14,52,52.0,52.0,52.0,52,52,62.29999999999999,133,420.10000000000036,1,2,4697.5,14.5,0.6667609214782715,69,171,250,35,1
3,"('171.244.232.140', 443)",1492,40,1246.4005417522885,405.3807339732079,540.2297400338155,291848.1720170039,-1.7656444626338113,1.1396467971822934,107060,40.0,1492.0,1492,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,557,40,45.09074440984998,9.9399918587375,44.49183660512093,1979.523524496779,8.873691011266455,76.89249962341478,17665,40,40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1492,40,1483.7867218524525,16.229757348945135,87.16819321462991,7598.293908303052,-12.579005030256486,173.0523330177862,89395,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1492.0,1,4,33359910.5,26765.0,200.56926596164703,171,244,232,140,2
4,"('74.125.24.95', 443)",1470,52,325.015625,336.7716471354167,406.424693108322,165181.03116819373,1.3716493946155897,0.6635447117887083,192,52.0,52.0,52,52.0,79.0,143.79999999999998,445.0,726.8000000000005,939.0,1470,52,342.6842105263158,358.32465373961213,424.0909994468995,179853.1758118701,1.2141161963490652,0.10349645257623274,95,52,52,52.0,52.0,60.0,114.19999999999999,446.0,886.0000000000001,1058.6,1470,52,307.7113402061856,313.1091508130512,389.77391841197743,151923.70747422683,1.5705605221799772,1.4941928776644322,97,52.0,52.0,52.0,60.0,86.0,159.59999999999988,254.99999999999994,679.0,743.8000000000002,1,5,12480.6,38.4,1.934544324874878,74,125,24,95,2
5,"('74.125.200.101', 443)",1378,53,566.1960784313726,525.1249519415611,576.2121491120382,332020.4407843138,0.5536882356223073,-1.5670137099304398,51,53.0,61.0,61,146.0,214.0,577.0,1082.0,1378.0,1378.0,1378,61,684.7407407407408,573.4540466392318,612.9880531269376,375754.3532763533,0.1168695768468179,-1.9840797129994685,27,61,61,61.0,153.40000000000003,692.0,1082.0,1378.0,1378.0,1378.0,1378,53,432.8333333333333,421.36111111111126,511.8222913971357,261962.05797101447,1.198804458813752,-0.24119298272416234,24,53.0,53.0,55.0,147.2,193.0,223.59999999999997,577.0,877.0000000000016,1362.6999999999998,0,1,28876.0,51.0,1.5373167991638184,74,125,200,101,2
6,"('69.171.250.15', 443)",1432,52,589.8666666666667,564.64,618.8557145266567,382982.3954022988,0.5153465362292341,-1.6484367492868353,30,52.0,52.0,52,56.80000000000001,252.0,630.9999999999998,1247.1999999999994,1432.0,1432.0,1432,52,400.2307692307692,461.55029585798815,559.8395832507371,313420.35897435894,1.2955228809469566,-0.09041691796512108,13,52,52,52.0,52.0,52.0,83.59999999999991,334.39999999999947,928.4000000000009,1379.2000000000003,1432,52,734.8823529411765,577.993079584775,638.3787945210255,407527.48529411765,0.09192815744461097,-2.010677430514842,17,52.0,52.0,58.39999999999999,328.0,724.0,1166.3999999999996,1432.0,1432.0,1432.0,1,1,17696.0,30.0,1.26841402053833,69,171,250,15,2
7,"('157.240.7.20', 443)",1432,52,338.14285714285717,386.704081632653,496.1178708723782,246132.94179894176,1.628222806040957,1.1584193199954527,28,52.0,52.0,52,52.0,62.0,83.0,197.49999999999986,533.0000000000001,1432.0,1432,52,450.7857142857143,496.4387755102042,582.9188066659328,339794.33516483515,1.0807848815586159,-0.6480657230430138,14,52,52,59.199999999999996,64.0,73.5,99.0,598.5,1091.2000000000003,1432.0,1432,52,225.5,244.78571428571428,379.5733941393437,144075.96153846156,2.8547322285880288,8.749268209733938,14,52.0,52.0,52.0,52.0,52.0,58.39999999999999,95.49999999999996,316.4000000000001,479.0,1,2,4734.0,14.0,57.81864082813263,157,240,7,20,2
8,"('172.217.194.94', 443)",1378,53,450.6363636363636,447.71900826446273,520.3594495249957,270773.95670995663,0.9612873218810587,-0.644260540839606,22,54.1,56.2,61,61.0,66.0,343.2,707.0,802.0,1378.0,1378,61,410.1666666666667,421.5555555555555,513.917013699388,264110.69696969696,1.2619790106433941,0.19743182475365995,12,61,61,61.0,61.0,66.0,217.39999999999992,589.3999999999997,707.0,1310.9000000000003,1378,53,499.2,472.64,551.5430475795459,304199.7333333333,0.8022397708579256,-1.022092064779787,10,53.0,53.8,54.7,55.0,208.5,537.9999999999998,802.0,917.2000000000002,1378.0,0,1,9914.0,22.0,0.23239588737487793,172,217,194,94,2
9,"('74.125.200.94', 443)",569,52,178.26315789473685,139.14681440443212,158.11734113389164,25001.093567251464,0.9482459884806821,0.016654299754057078,19,52.0,52.0,52,53.60000000000001,60.0,191.79999999999987,313.0,324.6,342.0,569,52,175.54545454545453,146.51239669421486,175.04820115406133,30641.872727272723,1.3067436693186356,0.989491367790583,11,52,52,52.0,52.0,60.0,103.0,313.0,313.0,313.0,342,52,182.0,128.0,143.13230642610753,20486.85714285714,0.25423751355985447,-2.4121740637053652,8,52.0,52.0,52.800000000000004,58.4,137.0,239.60000000000002,329.19999999999993,342.0,342.0,1,1,3387.0,19.0,60.3839967250824,74,125,200,94,2
