,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('13.225.93.8', 443)",1490,52,1391.9437340153452,182.5472164624824,361.23430529178364,130490.22331963755,-3.424113223001056,9.754533320875378,1564,1490,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490,1490,64,52,52.13953488372093,0.27582477014602164,1.2939932784412602,1.6744186046511607,9.273618495495695,85.99999999999996,86,52,52,52,52.0,52.0,52.0,52.0,52.0,52.0,1490,52,1469.9025710419485,39.57220103236987,165.78925935482215,27486.07851742048,-8.22926744482661,66.19015104799728,1478,1490.0,1490.0,1490.0,1490.0,1490,1490.0,1490.0,1490.0,1490,1,1,2177000,1564,222.9180862903595,13,225,93,8,1
1,"('74.125.130.119', 443)",1378,55,707.0454545454545,609.9586776859504,635.5193959254135,403884.9025974025,0.1195780647439723,-2.104431044284791,22,61,61.0,64.3,257.20000000000005,385.5,1378.0,1378.0,1378,1378,1378,61,383.9,397.64000000000004,531.7042724422415,282709.43333333335,1.6545119470864917,1.1448684308434265,10,61,61,61,61.0,157.5,257.2,262.0,485.2000000000002,1378.0,1378,55,976.3333333333334,535.5555555555555,604.7371079212601,365706.9696969697,-0.9297401910740887,-1.2495187976139448,12,57.599999999999994,159.4000000000001,769.6999999999998,1378.0,1378,1378.0,1378.0,1378.0,1378,0,1,15555,22,0.13936185836791992,74,125,130,119,1
2,"('172.217.194.102', 443)",1378,53,669.65,609.9149999999998,636.5835848702948,405238.66052631586,0.1979525788888694,-2.1014800750474,20,53,59.400000000000006,61.0,140.80000000000007,308.5,1212.4,1378.0,1378,1378,1378,61,710.1,612.7000000000002,653.3208247101878,426828.1,0.02794606666752607,-2.449734379289052,10,61,61,61,170.20000000000002,672.5,1212.3999999999999,1378.0,1378.0,1378.0,1378,53,629.2,599.04,651.9507138835982,425039.7333333333,0.40856842881441946,-2.2389170423237785,10,53.0,53.0,53.0,137.60000000000002,284,775.5999999999995,1378.0,1378.0,1378,0,1,13393,20,0.5031671524047852,172,217,194,102,1
3,"('74.125.24.94', 443)",569,52,157.88235294117646,130.08304498269896,156.01677888649553,24341.23529411764,1.4039422444962597,1.3596044481262841,17,52,52.0,52.0,52.0,60.0,80.99999999999999,225.79999999999995,305,334,569,52,159.4,140.16000000000003,176.97218864995583,31319.155555555557,1.690169703630108,2.2972721225112815,10,52,52,52,52.0,56.0,73.99999999999997,157.99999999999994,305.0,331.3999999999999,334,52,155.71428571428572,116.24489795918369,133.87271851241672,17921.904761904763,0.7038496043921363,-1.8285858947843496,7,52.0,52.0,52.0,55.2,60,147.59999999999994,231.5999999999999,308.4000000000001,334,1,1,2684,17,4.971333026885986,74,125,24,94,1
4,"('13.35.15.15', 443)",1490,52,1357.1451209341117,240.77869241882382,414.6757565894228,171955.98310301022,-2.8114443141286247,5.924863111369204,2398,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,64,52,55.55102040816327,5.000416493127861,5.4914804859697455,30.156357927786516,0.901114666780713,-1.2003460905090437,196,52.0,52.0,52.0,52.0,52.0,52.0,52.0,64.0,64.0,1490,52,1473.0,33.55222524977293,151.5687136777394,22973.07496592455,-8.999688911437497,79.95836467854005,2202,1490.0,1490.0,1490.0,1490.0,1490,1490.0,1490.0,1490.0,1490.0,1,1,3254434.0,2398,283.2782082557678,13,35,15,15,2
5,"('172.217.194.95', 443)",1378,53,436.84375,444.53515625,517.978459470861,268301.68447580637,1.0656929539785114,-0.5808371150859544,32,53.0,54.6,61.0,61.0,186.5,231.2,587.3999999999997,1005.6000000000001,1378.0,1378,61,597.3529411764706,543.0795847750866,592.5070612634577,351064.61764705874,0.3854694268441748,-1.837481733215039,17,61.0,61.0,61.0,74.60000000000002,238.0,758.4,1112.3999999999999,1366.0,1378.0,1378,53,254.93333333333334,216.96,355.16323544185116,126140.9238095238,2.6698843239557957,7.589255325259129,15,53.0,53.0,53.0,53.0,184,204.20000000000002,227.0,248.4000000000001,547.1999999999998,0,1,13979.0,32,16.601361989974976,172,217,194,95,2
6,"('172.217.194.104', 443)",75,40,55.285714285714285,8.122448979591836,11.116268644263172,123.5714285714286,0.7831255077218938,1.075245280497179,7,47.2,52.0,52.0,52.0,52.0,52.0,54.39999999999999,61.60000000000001,68.4,75,52,60.75,8.75,11.05667219374799,122.25000000000001,0.7832855623809324,-1.6634089017693974,4,52.0,52.0,52.0,54.400000000000006,58.0,61.599999999999994,65.1,68.4,71.7,52,40,48.0,5.333333333333333,6.928203230275509,48.0,-1.7320508075688774,0.0,3,42.4,44.8,47.2,49.6,52,52.0,52.0,52.0,52.0,1,1,387.0,7,60.09543704986572,172,217,194,104,2
7,"('74.125.24.95', 443)",75,40,55.666666666666664,12.888888888888888,17.7857620959388,316.3333333333333,0.8882799300836135,0.0,3,42.4,44.8,47.2,49.6,52.0,56.599999999999994,61.199999999999996,65.80000000000001,70.4,75,52,63.5,11.5,16.263455967290593,264.5,0.0,0.0,2,54.300000000000004,56.6,58.9,61.2,63.5,65.8,68.1,70.4,72.7,40,40,40.0,0.0,0.0,0.0,0.0,0.0,1,40.0,40.0,40.0,40.0,40,40.0,40.0,40.0,40.0,1,1,167.0,3,0.039261579513549805,74,125,24,95,2
8,"('74.125.68.188', 5228)",80,52,69.33333333333333,11.555555555555557,15.143755588800728,229.33333333333326,-1.5970969928697336,0.0,3,56.800000000000004,61.6,66.4,71.2,76.0,76.8,77.6,78.4,79.19999999999999,80,80,80.0,0.0,0.0,0.0,0.0,0.0,1,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,76,52,64.0,12.0,16.97056274847714,288.0,0.0,0.0,2,54.400000000000006,56.800000000000004,59.2,61.6,64,66.4,68.8,71.2,73.60000000000001,1,1,208.0,3,0.11910390853881836,74,125,68,188,2
9,"('13.35.15.126', 443)",1490,52,1114.9893198426082,552.621699478739,629.6007576703656,396397.1140590984,-1.0895845699530453,-0.8074553170657652,1779,52.0,52.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,853,52,55.154017857142854,6.209472656249919,45.058509632570036,2030.2692903084064,15.810790729604589,258.22118641587997,448,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,1490,52,1471.718256949662,35.98660164679539,153.39034031196235,23528.59650101962,-8.614992623991105,73.7586905347291,1331,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1490.0,1,1,1983566,1779.0,46.89875078201294,13,35,15,126,3
