,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('74.125.24.104', 443)",1470,52,246.15384615384616,282.171597633136,409.62623864276003,167793.6553846154,2.2196982575530737,3.741645101023059,26,52.0,52.0,52.0,52.0,62,64.0,88.0,232.0,941.5,1202,52,166.69230769230768,169.3254437869822,315.3472648302145,99443.89743589742,3.4461329659167284,12.11058681514117,13,52.0,52.0,56.8,63.2,64,64.0,64.0,112.60000000000011,214.60000000000005,1470,52,325.61538461538464,368.39053254437874,486.2567117722796,236445.58974358978,1.7401860641255031,1.868170333624207,13,52.0,52.0,52.0,52.0,52,70.39999999999996,204.79999999999967,550.4000000000005,1093.6000000000004,1,1,6400.0,26,245.46623921394348,74,125,24,104,1
1,"('172.217.194.95', 443)",125,52,82.6,27.119999999999997,31.637530455668205,1000.9333333333333,0.5708381940642618,-1.6004274935761038,10,52.0,52.0,60.4,64.0,70,81.99999999999999,101.19999999999999,125.0,125.0,91,52,69.4,11.280000000000001,14.758048651498612,217.8,0.6199166669402104,0.24622635065910536,5,56.8,61.6,64.0,64.0,64,68.8,73.6,79.0,85.0,125,52,95.8,35.04,39.98374669787712,1598.6999999999998,-0.6085806194501843,-3.333333333333334,5,52.0,52.0,66.6,95.80000000000001,125,125.0,125.0,125.0,125.0,1,1,826.0,10,2.831408977508545,172,217,194,95,1
2,"('157.240.7.20', 443)",83,52,65.125,13.40625,15.347754605432398,235.5535714285714,0.42616966764811653,-2.273990665684819,8,52.0,52.0,52.0,52.0,58,67.80000000000001,81.1,83.0,83.0,83,52,66.8,12.959999999999999,15.578831791889918,242.70000000000005,0.2201279707872012,-3.039156216910805,5,52.0,52.0,54.4,59.2,64,71.6,79.2,83.0,83.0,83,52,62.333333333333336,13.777777777777779,17.8978583448784,320.33333333333337,1.7320508075688759,0.0,3,52.0,52.0,52.0,52.0,52,58.2,64.4,70.6,76.80000000000001,1,2,260.5,4,57.69835543632507,157,240,7,20,1
3,"('172.217.194.147', 443)",83,40,60.375,9.28125,12.648404755428363,159.98214285714283,0.20132008685712893,1.05986421430136,8,48.400000000000006,52.0,53.2,61.6,64,64.0,64.0,64.0,69.69999999999999,83,52,65.16666666666667,5.944444444444447,9.968283035040018,99.36666666666665,1.0244838368677212,3.0516687314413584,6,58.0,64.0,64.0,64.0,64,64.0,64.0,64.0,73.5,52,40,46.0,6.0,8.48528137423857,72.0,0.0,0.0,2,41.2,42.4,43.6,44.8,46,47.2,48.4,49.6,50.800000000000004,1,1,483.0,8,27.94553017616272,172,217,194,147,1
4,"('13.224.10.113', 443)",83,52,66.0,9.714285714285714,12.793227374930325,163.66666666666666,0.4807469857867014,-1.1505054317843388,7,52.0,54.400000000000006,61.599999999999994,64.0,64,64.0,67.79999999999998,79.20000000000002,83.0,83,52,63.166666666666664,7.4444444444444455,11.35634917861663,128.96666666666664,1.0279779007332033,1.5710159039641622,6,52.0,52.0,58.0,64.0,64,64.0,64.0,64.0,73.5,83,83,83.0,0.0,0.0,0.0,0.0,0.0,1,83.0,83.0,83.0,83.0,83,83.0,83.0,83.0,83.0,1,1,462.0,7,58.15886306762695,13,224,10,113,1
5,"('52.84.169.91', 443)",83,52,62.57142857142857,12.081632653061224,14.62711116223504,213.95238095238093,0.9191685645214186,-1.3396336334250751,7,52.0,52.0,52.0,52.0,52,59.199999999999996,67.79999999999998,79.20000000000002,83.0,83,52,62.75,10.75,14.637281168304446,214.24999999999997,1.2374692624026442,0.6503324260772363,4,52.0,52.0,52.0,54.400000000000006,58,61.599999999999994,65.89999999999999,71.60000000000001,77.30000000000001,83,52,62.333333333333336,13.777777777777779,17.8978583448784,320.33333333333337,1.7320508075688759,0.0,3,52.0,52.0,52.0,52.0,52,58.2,64.4,70.6,76.80000000000001,1,1,438.0,7,60.01497793197632,52,84,169,91,1
6,"('34.120.189.55', 443)",1470,52,1057.4841437632135,584.4988081390742,643.4591263762242,414039.6473168536,-0.9200693302428443,-1.1524781346926065,6149,52.0,52.0,1470.0,1470.0,1470,1470.0,1470.0,1470.0,1470.0,279,52,52.87889077532541,1.7428598057387092,12.116088221282947,146.79959378591138,15.556110527327201,252.17243847698953,1767,52.0,52.0,52.0,52.0,52,52.0,52.0,52.0,52.0,1470,52,1462.5816978548607,14.745187513501087,98.88699515859962,9778.637811496905,-13.611577947317839,185.53608709220478,4382,1470.0,1470.0,1470.0,1470.0,1470,1470.0,1470.0,1470.0,1470.0,1,3,2167490.0,2049.6666666666665,3.909078041712443,34,120,189,55,2
7,"('34.80.250.70', 443)",1460,52,539.6126126126126,573.6956415875335,625.5096129073285,391262.27583947586,0.699447204084104,-1.4133793371863284,111,52.0,52.0,52.0,52.0,83,340.0,1043.0,1460.0,1460.0,458,52,98.81481481481481,73.2235939643347,102.13366640885856,10431.285814116003,2.2293418893343744,4.00485197623356,54,52.0,52.0,52.0,52.0,52,52.0,52.0,109.60000000000065,208.0,1460,52,957.2105263157895,578.2326869806092,627.5452384615705,393813.0263157894,-0.6031101692937267,-1.5309294575843249,57,52.0,83.0,438.2000000000003,1043.0,1460,1460.0,1460.0,1460.0,1460.0,1,3,19965.666666666668,37.0,16.498093366622925,34,80,250,70,2
8,"('74.125.68.95', 443)",1378,53,808.96875,612.16015625,639.2071946572667,408585.8377016128,-0.2825569199108428,-1.9776266998782324,32,61.0,61.0,69.9,351.40000000000015,1378,1378.0,1378.0,1378.0,1378.0,1378,61,727.0625,594.9375,638.3907339292032,407542.7291666667,-0.0351467337480483,-2.132916515817252,16,61.0,61.0,61.0,69.0,776,1378.0,1378.0,1378.0,1378.0,1378,53,890.875,608.90625,650.043267790691,422556.25,-0.5769504100186369,-1.917894665269267,16,53.0,72.0,121.5,1378.0,1378,1378.0,1378.0,1378.0,1378.0,0,1,25887.0,32.0,0.6382648944854736,74,125,68,95,2
9,"('172.217.194.95', 443)",1470,52,320.1904761904762,363.24263038548753,482.6612289222761,232961.86190476184,1.7895500169888026,1.8716445457959758,21,52.0,52.0,52.0,52.0,60,79.0,171.0,569.0,1249.0,657,52,160.54545454545453,164.5289256198347,225.35987381801743,50787.07272727274,1.9269501562179472,2.206032826122466,11,52.0,52.0,52.0,52.0,52,52.0,60.0,116.0,569.0,1470,52,495.8,540.32,629.1641368602561,395847.51111111115,1.013628445582782,-1.1100451097151427,10,52.0,52.0,57.6,71.4,125,223.79999999999993,586.7999999999998,1293.2,1470.0,1,1,6724.0,21.0,1.0056579113006592,172,217,194,95,2
