,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('23.1.106.236', 443)",1438,40,638.7694204685573,655.189258059265,668.6539434940602,447098.09615015786,0.34367029980472147,-1.8681690886863291,811,52,52,64,64,91,1423.0,1438.0,1438.0,1438.0,598,52,74.05687203791469,23.964331439096114,55.22010879965576,3049.26041584582,6.72970953504313,55.08071305994553,422,52,52,52,64.0,64,64.0,64.0,72.0,91.0,1438,40,1251.3881748071979,316.0109304062229,454.9199328714031,206952.1453237219,-2.0995686071575865,2.5101565347513075,389,129.20000000000005,1438,1438.0,1438.0,1438,1438.0,1438.0,1438.0,1438.0,1,3,172680.66666666666,270.3333333333333,123.80211893717448,23,1,106,236,1
1,"('104.244.42.3', 443)",1438,40,155.98666666666668,139.76497777777817,234.13683575452805,54820.05785714284,3.4109917159106513,12.752845455340216,225,52,52,52,52,52,98.0,100.0,120.0,326.3999999999999,1347,40,165.38053097345133,172.99381314120137,262.4771867156156,68894.27354614413,2.5968298599528636,6.220282187518886,113,52,52,52,52.0,52,52.0,90.0,98.0,562.1999999999999,1438,52,146.50892857142858,107.2818877551022,202.3176966308505,40932.45037001285,4.9459542451292995,28.883774464279877,112,52.0,52,52.0,89.00000000000009,98,102.0,108.39999999999998,158.0,309.0,1,2,17548.5,112.5,144.1183544397354,104,244,42,3,1
2,"('54.192.20.247', 443)",1438,52,205.53,231.59039999999976,361.39679793207296,130607.64555555559,2.6346655811103967,5.7810298406188085,100,52,52,52,52,60,91.0,91.0,95.40000000000006,610.400000000001,1438,52,134.29090909090908,120.70016528925616,240.52486378960927,57852.210101010096,4.182648537470204,18.70218176710051,55,52,52,52,52.0,52,76.0,91.0,91.0,179.60000000000016,1438,52,292.6,347.42222222222233,456.91303131101233,208769.51818181816,1.8189720477319125,1.7880950955413177,45,52.0,52,52.0,60.0,83,91.0,91.0,517.4000000000003,1188.6,1,3,6851.0,33.333333333333336,70.04392369588216,54,192,20,247,1
3,"('104.244.42.66', 443)",1438,52,393.3544303797468,473.27255247556445,562.4630138945588,316364.6419993507,1.2781207784371313,-0.3121934518906473,79,52,52,52,98,98,98.0,98.0,1266.6000000000017,1438.0,1438,52,559.2549019607843,609.4963475586311,643.1351597646408,413622.83372549,0.5922036188155233,-1.6648000013402473,51,52,52,52,98.0,98,98.0,1437.0,1438.0,1438.0,176,52,91.17857142857143,25.18622448979591,35.97432579496267,1294.1521164021162,0.9848223463042272,1.0689491609178035,28,52.0,52,56.19999999999999,98.0,98,98.0,98.0,98.0,120.20000000000006,1,1,31075.0,79.0,292.5970149040222,104,244,42,66,1
4,"('119.28.184.101', 443)",1438,40,401.6774193548387,444.3808532778357,547.1795188111957,299405.4258064517,1.292331072044979,-0.04217673217867057,31,40,40,40,52,60,166.0,336.0,738.0,1438.0,1438,40,282.47058823529414,329.66089965397913,468.2630294032216,219270.26470588235,2.0822984228288233,3.2346142140005862,17,40,40,40,40.0,52,56.8,176.79999999999995,312.80000000000007,1007.2000000000003,1438,40,546.4285714285714,536.8367346938776,616.3742262726329,379917.18681318685,0.7740252066860631,-1.3577842631751231,14,40.0,40,50.8,89.20000000000002,230,393.19999999999993,807.9999999999998,1438.0,1438.0,1,1,12452.0,31.0,30.616967916488647,119,28,184,101,1
5,"('117.18.232.102', 443)",97,40,56.63636363636363,18.14876033057851,20.97270954012727,439.8545454545454,0.812209131008298,-0.7362569865185651,11,40,40,40,40,40,64.0,64.0,79.0,79.0,79,40,50.5,14.0,16.944025495731527,287.1,1.2937675347317144,0.04785723410736953,6,40,40,40,40.0,40,40.0,52.0,64.0,71.5,97,40,64.0,19.2,24.829418035870273,616.5,0.3174948227720638,-1.7508657893334751,5,40.0,40,44.8,54.400000000000006,64,70.0,76.0,82.60000000000001,89.80000000000001,1,1,623.0,11.0,0.553131103515625,117,18,232,102,1
6,"('172.217.24.74', 443)",125,52,67.11111111111111,20.14814814814815,25.910637026347136,671.3611111111111,1.7334455398775248,2.4855214619189177,9,52,52,52,52,52,52.0,66.39999999999999,82.0,97.80000000000001,91,52,67.75,15.75,19.189841062395487,368.25,0.5014746026982282,-3.1783342528029994,4,52,52,52,56.80000000000001,64,71.19999999999999,77.5,82.0,86.5,125,52,66.6,23.359999999999996,32.64659247149693,1065.8000000000002,2.2360679774997907,5.000000000000007,5,52.0,52,52.0,52.0,52,52.0,52.0,66.60000000000002,95.80000000000001,1,1,604.0,9.0,0.06411075592041016,172,217,24,74,1
7,"('64.233.188.188', 5228)",80,52,65.25,13.25,14.22020695047318,202.21428571428572,0.028367451283253717,-2.7389433806792414,8,52,52,52,52,64,76.39999999999999,77.8,79.2,80.0,80,52,66.0,14.0,16.165807537309522,261.3333333333333,0.0,-6.0,4,52,52,52,57.60000000000001,66,74.39999999999999,80.0,80.0,80.0,78,52,64.5,12.5,14.45683229480096,209.0,0.016548192915456332,-5.904535152583503,4,52.0,52,52.0,56.80000000000001,64,71.19999999999999,76.2,76.8,77.4,1,1,522.0,8.0,290.16952419281006,64,233,188,188,1
8,"('23.1.106.236', 443)",1492,40,758.8473684210526,710.6281610222494,712.5329826351434,507703.2513429335,0.04906078144987449,-1.9905238265440133,11780,52,52,64,64.0,141,1492.0,1492.0,1492.0,1492.0,582,52,61.05785123966942,7.4953506298361345,14.906281434977608,222.1972262187581,11.266412286023948,288.6625903089801,5929,52.0,52.0,52.0,52.0,64,64.0,64.0,64.0,64.0,1492,40,1465.9391556998803,50.589245941506675,168.78289414856985,28487.665357167338,-6.971538460832222,49.42080237653657,5851,1492.0,1492.0,1492.0,1492.0,1492,1492.0,1492.0,1492.0,1492.0,1,2,4469611.0,5890.0,141.08996295928955,23,1,106,236,2
9,"('192.229.237.96', 443)",1492,52,704.968514715948,693.2481160878694,701.7677710521126,492478.0044874504,0.20348340624531802,-1.9372124654412108,1461,52,52,52,64.0,140,1492.0,1492.0,1492.0,1492.0,235,52,62.719251336898395,13.64268351968888,25.046651059403082,627.3347292914975,3.3987671351464632,12.080447743066383,748,52.0,52.0,52.0,52.0,52,52.0,64.0,64.0,72.0,1492,52,1378.7447405329594,200.4427335262375,348.20446245336865,121246.3476724394,-3.03687457321003,7.767708625391872,713,1097.8000000000004,1492.0,1492.0,1492.0,1492,1492.0,1492.0,1492.0,1492.0,1,1,1029959.0,1461.0,280.0468909740448,192,229,237,96,2
10,"('104.244.42.3', 443)",1424,52,139.37735849056602,111.58650765396925,194.96423066420925,38011.05123848699,3.797083611497984,16.959680789692353,212,52,52,52,52.0,90,98.0,98.69999999999999,116.80000000000001,259.70000000000005,1424,52,162.3148148148148,165.98079561042553,259.1538946010291,67160.74108688129,2.9068277110236465,8.711849028439909,108,52.0,52.0,52.0,52.0,52,69.20000000000007,90.0,98.0,524.0,543,52,115.5576923076923,56.74445266272191,83.50941193662841,6973.821882001495,2.1265251441682267,5.9860224917175415,104,52.0,52.0,52.0,98.0,98,101.0,115.1,118.4,256.0,1,1,29548.0,212.0,297.0753619670868,104,244,42,3,2
