,source,target,weight,graph_id
0,"('103.63.108.41', 443)","('172.217.194.139', 80)",1.0,1
1,"('103.63.108.41', 443)","('124.158.10.160', 443)",0.0,1
2,"('172.217.194.139', 80)","('124.158.10.160', 443)",0.0,1
3,"('103.63.108.45', 443)","('74.125.200.101', 80)",1.0,2
4,"('103.63.108.45', 443)","('124.158.10.160', 443)",0.47058823529411764,2
5,"('74.125.200.101', 80)","('124.158.10.160', 443)",0.47058823529411764,2
6,"('103.63.108.46', 443)","('74.125.200.101', 80)",0.23529411764705882,2
7,"('103.63.108.45', 443)","('103.63.108.46', 443)",0.058823529411764705,2
8,"('124.158.10.160', 443)","('31.13.68.1', 443)",0.058823529411764705,2
9,"('74.125.200.101', 80)","('172.217.194.94', 80)",0.058823529411764705,2
10,"('74.125.200.101', 80)","('172.217.194.105', 443)",0.058823529411764705,2
11,"('74.125.200.101', 80)","('31.13.68.1', 443)",0.058823529411764705,2
12,"('172.217.194.105', 443)","('172.217.194.94', 80)",0.058823529411764705,2
13,"('103.63.108.46', 443)","('124.158.10.160', 443)",0.058823529411764705,2
14,"('103.63.108.45', 443)","('172.217.194.94', 80)",0.058823529411764705,2
15,"('103.63.108.45', 443)","('172.217.194.105', 443)",0.058823529411764705,2
16,"('103.63.108.45', 443)","('31.13.68.1', 443)",0.058823529411764705,2
17,"('103.63.108.46', 443)","('172.217.194.105', 443)",0.0,2
18,"('103.63.108.46', 443)","('31.13.68.1', 443)",0.0,2
19,"('124.158.10.160', 443)","('172.217.194.105', 443)",0.0,2
20,"('124.158.10.160', 443)","('172.217.194.94', 80)",0.0,2
21,"('31.13.68.1', 443)","('172.217.194.105', 443)",0.0,2
22,"('31.13.68.1', 443)","('172.217.194.94', 80)",0.0,2
23,"('103.63.108.46', 443)","('172.217.194.94', 80)",0.0,2
24,"('124.158.10.160', 443)","('74.125.200.138', 80)",1.0,3
25,"('103.63.108.38', 443)","('172.217.194.139', 80)",0.9,3
26,"('103.63.108.38', 443)","('74.125.200.139', 80)",0.9,3
27,"('103.63.108.38', 443)","('124.158.10.160', 443)",0.8,3
28,"('103.63.108.38', 443)","('74.125.200.138', 80)",0.7,3
29,"('124.158.10.160', 443)","('74.125.200.139', 80)",0.4,3
30,"('74.125.200.139', 80)","('74.125.200.138', 80)",0.4,3
31,"('74.125.200.139', 80)","('74.125.200.95', 443)",0.3,3
32,"('124.158.10.160', 443)","('103.63.108.40', 443)",0.3,3
33,"('74.125.200.138', 80)","('103.63.108.40', 443)",0.3,3
34,"('103.63.108.40', 443)","('74.125.24.95', 443)",0.2,3
35,"('124.158.10.160', 443)","('74.125.200.102', 80)",0.2,3
36,"('74.125.200.102', 80)","('74.125.200.113', 80)",0.2,3
37,"('103.63.108.38', 443)","('74.125.200.95', 443)",0.2,3
38,"('74.125.200.138', 80)","('74.125.200.101', 80)",0.2,3
39,"('103.63.108.45', 443)","('74.125.200.102', 80)",0.2,3
40,"('74.125.200.139', 80)","('74.125.200.102', 80)",0.2,3
41,"('74.125.200.139', 80)","('74.125.200.113', 80)",0.2,3
42,"('124.158.10.160', 443)","('74.125.200.101', 80)",0.2,3
43,"('74.125.200.113', 80)","('74.125.200.101', 80)",0.2,3
44,"('124.158.10.160', 443)","('74.125.200.113', 80)",0.2,3
45,"('74.125.200.138', 80)","('103.63.108.45', 443)",0.2,3
46,"('124.158.10.160', 443)","('74.125.24.95', 443)",0.2,3
47,"('124.158.10.160', 443)","('103.63.108.45', 443)",0.2,3
48,"('74.125.200.138', 80)","('74.125.200.113', 80)",0.2,3
49,"('74.125.200.139', 80)","('74.125.200.101', 80)",0.2,3
50,"('103.63.108.45', 443)","('74.125.200.101', 80)",0.2,3
51,"('74.125.200.138', 80)","('74.125.200.102', 80)",0.2,3
52,"('74.125.200.138', 80)","('74.125.24.95', 443)",0.2,3
53,"('103.63.108.45', 443)","('74.125.200.113', 80)",0.2,3
54,"('74.125.200.102', 80)","('74.125.200.101', 80)",0.2,3
55,"('74.125.200.139', 80)","('103.63.108.45', 443)",0.2,3
56,"('74.125.200.138', 80)","('74.125.200.100', 80)",0.1,3
57,"('74.125.200.138', 80)","('103.63.108.47', 443)",0.1,3
58,"('74.125.24.95', 443)","('74.125.200.113', 80)",0.1,3
59,"('103.63.108.40', 443)","('74.125.200.101', 80)",0.1,3
60,"('74.125.24.95', 443)","('74.125.200.101', 80)",0.1,3
61,"('103.63.108.40', 443)","('103.63.108.45', 443)",0.1,3
62,"('103.63.108.40', 443)","('74.125.200.113', 80)",0.1,3
63,"('103.63.108.45', 443)","('74.125.200.100', 80)",0.1,3
64,"('103.63.108.40', 443)","('74.125.200.102', 80)",0.1,3
65,"('103.63.108.40', 443)","('103.63.108.47', 443)",0.1,3
66,"('74.125.200.95', 443)","('172.217.194.188', 5228)",0.1,3
67,"('74.125.200.95', 443)","('74.125.24.103', 443)",0.1,3
68,"('74.125.24.95', 443)","('74.125.200.102', 80)",0.1,3
69,"('74.125.200.139', 80)","('74.125.24.103', 443)",0.1,3
70,"('74.125.200.102', 80)","('74.125.200.100', 80)",0.1,3
71,"('103.63.108.38', 443)","('103.63.108.47', 443)",0.1,3
72,"('124.158.10.160', 443)","('103.63.108.47', 443)",0.1,3
73,"('124.158.10.160', 443)","('74.125.200.100', 80)",0.1,3
74,"('103.63.108.45', 443)","('74.125.24.95', 443)",0.1,3
75,"('103.63.108.38', 443)","('74.125.24.103', 443)",0.1,3
76,"('74.125.200.113', 80)","('74.125.200.100', 80)",0.1,3
77,"('74.125.200.139', 80)","('172.217.194.139', 80)",0.1,3
78,"('124.158.10.160', 443)","('74.125.200.95', 443)",0.1,3
79,"('124.158.10.160', 443)","('172.217.194.139', 80)",0.1,3
80,"('74.125.200.101', 80)","('74.125.200.100', 80)",0.1,3
81,"('74.125.200.139', 80)","('103.63.108.40', 443)",0.1,3
82,"('74.125.200.139', 80)","('74.125.24.95', 443)",0.1,3
83,"('103.63.108.38', 443)","('103.63.108.40', 443)",0.1,3
84,"('74.125.200.139', 80)","('172.217.194.188', 5228)",0.1,3
85,"('74.125.200.139', 80)","('74.125.200.100', 80)",0.1,3
86,"('172.217.194.188', 5228)","('74.125.24.103', 443)",0.0,3
87,"('172.217.194.188', 5228)","('74.125.200.101', 80)",0.0,3
88,"('74.125.200.113', 80)","('74.125.24.103', 443)",0.0,3
89,"('103.63.108.45', 443)","('172.217.194.188', 5228)",0.0,3
90,"('74.125.200.101', 80)","('74.125.24.103', 443)",0.0,3
91,"('172.217.194.188', 5228)","('74.125.200.100', 80)",0.0,3
92,"('74.125.24.95', 443)","('172.217.194.188', 5228)",0.0,3
93,"('103.63.108.45', 443)","('74.125.24.103', 443)",0.0,3
94,"('74.125.24.95', 443)","('103.63.108.47', 443)",0.0,3
95,"('74.125.200.113', 80)","('172.217.194.188', 5228)",0.0,3
96,"('74.125.24.95', 443)","('74.125.200.100', 80)",0.0,3
97,"('74.125.24.95', 443)","('74.125.24.103', 443)",0.0,3
98,"('103.63.108.47', 443)","('74.125.200.102', 80)",0.0,3
99,"('103.63.108.47', 443)","('74.125.200.113', 80)",0.0,3
100,"('103.63.108.47', 443)","('172.217.194.188', 5228)",0.0,3
101,"('103.63.108.47', 443)","('74.125.200.101', 80)",0.0,3
102,"('103.63.108.47', 443)","('74.125.200.100', 80)",0.0,3
103,"('103.63.108.47', 443)","('74.125.24.103', 443)",0.0,3
104,"('74.125.200.102', 80)","('74.125.24.103', 443)",0.0,3
105,"('74.125.200.102', 80)","('172.217.194.188', 5228)",0.0,3
106,"('103.63.108.45', 443)","('103.63.108.47', 443)",0.0,3
107,"('172.217.194.139', 80)","('74.125.200.113', 80)",0.0,3
108,"('103.63.108.40', 443)","('74.125.24.103', 443)",0.0,3
109,"('103.63.108.40', 443)","('74.125.200.100', 80)",0.0,3
110,"('172.217.194.139', 80)","('74.125.200.95', 443)",0.0,3
111,"('74.125.200.138', 80)","('74.125.24.103', 443)",0.0,3
112,"('74.125.200.138', 80)","('172.217.194.188', 5228)",0.0,3
113,"('74.125.200.138', 80)","('74.125.200.95', 443)",0.0,3
114,"('74.125.200.138', 80)","('172.217.194.139', 80)",0.0,3
115,"('74.125.200.139', 80)","('103.63.108.47', 443)",0.0,3
116,"('124.158.10.160', 443)","('74.125.24.103', 443)",0.0,3
117,"('124.158.10.160', 443)","('172.217.194.188', 5228)",0.0,3
118,"('103.63.108.38', 443)","('74.125.200.100', 80)",0.0,3
119,"('103.63.108.38', 443)","('74.125.200.101', 80)",0.0,3
120,"('103.63.108.38', 443)","('172.217.194.188', 5228)",0.0,3
121,"('103.63.108.38', 443)","('74.125.200.113', 80)",0.0,3
122,"('103.63.108.38', 443)","('74.125.200.102', 80)",0.0,3
123,"('103.63.108.38', 443)","('74.125.24.95', 443)",0.0,3
124,"('103.63.108.38', 443)","('103.63.108.45', 443)",0.0,3
125,"('172.217.194.139', 80)","('103.63.108.40', 443)",0.0,3
126,"('172.217.194.139', 80)","('103.63.108.45', 443)",0.0,3
127,"('172.217.194.139', 80)","('74.125.24.95', 443)",0.0,3
128,"('74.125.200.95', 443)","('74.125.24.95', 443)",0.0,3
129,"('103.63.108.40', 443)","('172.217.194.188', 5228)",0.0,3
130,"('74.125.200.95', 443)","('74.125.200.100', 80)",0.0,3
131,"('74.125.200.95', 443)","('74.125.200.101', 80)",0.0,3
132,"('74.125.200.95', 443)","('74.125.200.113', 80)",0.0,3
133,"('74.125.200.95', 443)","('74.125.200.102', 80)",0.0,3
134,"('74.125.200.95', 443)","('103.63.108.47', 443)",0.0,3
135,"('74.125.200.95', 443)","('103.63.108.45', 443)",0.0,3
136,"('172.217.194.139', 80)","('103.63.108.47', 443)",0.0,3
137,"('74.125.200.95', 443)","('103.63.108.40', 443)",0.0,3
138,"('172.217.194.139', 80)","('74.125.24.103', 443)",0.0,3
139,"('172.217.194.139', 80)","('74.125.200.100', 80)",0.0,3
140,"('172.217.194.139', 80)","('74.125.200.101', 80)",0.0,3
141,"('172.217.194.139', 80)","('172.217.194.188', 5228)",0.0,3
142,"('172.217.194.139', 80)","('74.125.200.102', 80)",0.0,3
143,"('74.125.200.100', 80)","('74.125.24.103', 443)",0.0,3
144,"('172.217.194.139', 80)","('172.217.194.113', 443)",1.0,4
145,"('172.217.194.139', 80)","('172.217.194.95', 443)",0.6666666666666666,4
146,"('172.217.194.139', 80)","('74.125.24.95', 443)",0.3333333333333333,4
147,"('172.217.194.139', 80)","('172.217.194.102', 80)",0.3333333333333333,4
148,"('172.217.194.113', 443)","('172.217.194.102', 80)",0.3333333333333333,4
149,"('172.217.194.95', 443)","('74.125.24.95', 443)",0.3333333333333333,4
150,"('172.217.194.113', 443)","('172.217.194.95', 443)",0.0,4
151,"('172.217.194.113', 443)","('74.125.24.95', 443)",0.0,4
152,"('172.217.194.95', 443)","('172.217.194.102', 80)",0.0,4
153,"('74.125.24.95', 443)","('172.217.194.102', 80)",0.0,4
154,"('172.217.194.102', 80)","('74.125.24.95', 443)",,5
155,"('172.217.194.102', 80)","('74.125.130.95', 443)",,5
156,"('74.125.24.95', 443)","('74.125.130.95', 443)",,5
157,"('103.63.108.47', 443)","('74.125.200.101', 80)",1.0,6
158,"('103.63.108.47', 443)","('103.63.108.41', 443)",0.16666666666666666,6
159,"('103.63.108.47', 443)","('124.158.10.160', 443)",0.16666666666666666,6
160,"('103.63.108.41', 443)","('74.125.200.101', 80)",0.16666666666666666,6
161,"('103.63.108.41', 443)","('124.158.10.160', 443)",0.16666666666666666,6
162,"('74.125.200.101', 80)","('124.158.10.160', 443)",0.16666666666666666,6
163,"('103.63.108.47', 443)","('74.125.24.104', 443)",0.08333333333333333,6
164,"('74.125.200.101', 80)","('74.125.24.104', 443)",0.08333333333333333,6
165,"('103.63.108.41', 443)","('74.125.24.104', 443)",0.0,6
166,"('124.158.10.160', 443)","('74.125.24.104', 443)",0.0,6
167,"('103.63.108.41', 443)","('74.125.130.138', 80)",1.0,7
168,"('103.63.108.46', 443)","('74.125.130.138', 80)",0.8888888888888888,7
169,"('74.125.130.138', 80)","('124.158.10.160', 443)",0.7777777777777778,7
170,"('103.63.108.41', 443)","('124.158.10.160', 443)",0.6666666666666666,7
171,"('74.125.130.138', 80)","('103.63.108.38', 443)",0.3333333333333333,7
172,"('103.63.108.46', 443)","('124.158.10.160', 443)",0.2222222222222222,7
173,"('74.125.200.94', 80)","('74.125.24.106', 443)",0.2222222222222222,7
174,"('74.125.130.138', 80)","('31.13.68.1', 443)",0.2222222222222222,7
175,"('74.125.130.138', 80)","('74.125.200.94', 80)",0.2222222222222222,7
176,"('74.125.130.138', 80)","('74.125.68.95', 443)",0.2222222222222222,7
177,"('74.125.130.138', 80)","('74.125.24.106', 443)",0.2222222222222222,7
178,"('74.125.130.138', 80)","('74.125.24.105', 443)",0.1111111111111111,7
179,"('103.63.108.41', 443)","('103.63.108.46', 443)",0.1111111111111111,7
180,"('103.63.108.38', 443)","('74.125.68.95', 443)",0.1111111111111111,7
181,"('31.13.68.1', 443)","('74.125.200.94', 80)",0.1111111111111111,7
182,"('31.13.68.1', 443)","('74.125.24.106', 443)",0.1111111111111111,7
183,"('74.125.130.138', 80)","('74.125.24.188', 5228)",0.1111111111111111,7
184,"('103.63.108.38', 443)","('124.158.10.160', 443)",0.1111111111111111,7
185,"('103.63.108.46', 443)","('74.125.68.95', 443)",0.1111111111111111,7
186,"('103.63.108.46', 443)","('103.63.108.38', 443)",0.1111111111111111,7
187,"('103.63.108.41', 443)","('74.125.24.105', 443)",0.0,7
188,"('124.158.10.160', 443)","('74.125.24.188', 5228)",0.0,7
189,"('74.125.24.105', 443)","('31.13.68.1', 443)",0.0,7
190,"('74.125.24.105', 443)","('74.125.200.94', 80)",0.0,7
191,"('74.125.24.105', 443)","('74.125.24.106', 443)",0.0,7
192,"('74.125.24.105', 443)","('74.125.68.95', 443)",0.0,7
193,"('74.125.24.105', 443)","('74.125.24.188', 5228)",0.0,7
194,"('103.63.108.41', 443)","('31.13.68.1', 443)",0.0,7
195,"('103.63.108.46', 443)","('74.125.24.188', 5228)",0.0,7
196,"('124.158.10.160', 443)","('74.125.68.95', 443)",0.0,7
197,"('31.13.68.1', 443)","('74.125.24.188', 5228)",0.0,7
198,"('103.63.108.41', 443)","('103.63.108.38', 443)",0.0,7
199,"('74.125.200.94', 80)","('74.125.68.95', 443)",0.0,7
200,"('74.125.200.94', 80)","('74.125.24.188', 5228)",0.0,7
201,"('74.125.24.106', 443)","('74.125.68.95', 443)",0.0,7
202,"('74.125.24.106', 443)","('74.125.24.188', 5228)",0.0,7
203,"('31.13.68.1', 443)","('74.125.68.95', 443)",0.0,7
204,"('124.158.10.160', 443)","('74.125.200.94', 80)",0.0,7
205,"('124.158.10.160', 443)","('74.125.24.106', 443)",0.0,7
206,"('103.63.108.41', 443)","('74.125.24.106', 443)",0.0,7
207,"('103.63.108.46', 443)","('74.125.24.106', 443)",0.0,7
208,"('103.63.108.46', 443)","('74.125.200.94', 80)",0.0,7
209,"('103.63.108.46', 443)","('31.13.68.1', 443)",0.0,7
210,"('103.63.108.46', 443)","('74.125.24.105', 443)",0.0,7
211,"('103.63.108.41', 443)","('74.125.24.188', 5228)",0.0,7
212,"('103.63.108.41', 443)","('74.125.68.95', 443)",0.0,7
213,"('103.63.108.38', 443)","('74.125.24.105', 443)",0.0,7
214,"('124.158.10.160', 443)","('31.13.68.1', 443)",0.0,7
