,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('103.102.166.240', 443)",1492,52,761.2731717687075,711.8330523270095,714.1427511459493,509999.86901430535,0.036165653130814726,-1.9896884419539171,4704,52.0,52.0,52.0,64.0,203.0,1492.0,1492.0,1492.0,1492.0,687,52,58.05704555129842,9.47879925354333,36.41878759988268,1326.3280902453682,12.546961661149258,173.61861870812325,2349,52.0,52.0,52.0,52.0,52,52.0,52.0,64.0,64.0,1492,52,1462.6976645435245,56.745330935219144,178.67750829330583,31925.651969904375,-6.478155144853988,42.20086000323009,2355,1492.0,1492.0,1492.0,1492.0,1492,1492.0,1492.0,1492.0,1492.0,1,2,1790514.5,2352,149.5484480857849,103,102,166,240,1
1,"('103.102.166.224', 443)",1492,52,607.3166666666667,621.2038888888892,658.9556978746195,434222.61176142684,0.5131643659381105,-1.651825271456496,300,52.0,52.0,52.0,59.2000000000001,124.5,494.8,1492.0,1492.0,1492.0,1118,52,98.07534246575342,71.19234377932086,131.22988965756647,17221.283939537076,4.649758080384092,27.684356705305564,146,52.0,52.0,52.0,52.0,52,52.0,64.0,64.0,180.0,1492,52,1090.1038961038962,527.5855962219595,591.7676651585526,350188.9695272048,-0.9499405371097045,-0.932801871379525,154,52.0,248.60000000000002,757.8,1492.0,1492,1492.0,1492.0,1492.0,1492.0,1,1,182195.0,300,47.98220610618591,103,102,166,224,1
2,"('216.239.36.135', 443)",77,52,65.83333333333333,9.833333333333334,11.6518954109049,135.76666666666668,-0.44898486385234865,-2.3415070012777504,6,52.0,52.0,58.0,64.0,69.5,75.0,75.0,75.0,76.0,75,52,67.33333333333333,10.222222222222223,13.279056191361393,176.33333333333337,-1.7320508075688745,0.0,3,56.6,61.2,65.8,70.4,75,75.0,75.0,75.0,75.0,77,52,64.33333333333333,8.444444444444443,12.503332889007366,156.3333333333333,0.11988274768216774,0.0,3,54.400000000000006,56.8,59.2,61.6,64,66.6,69.2,71.80000000000001,74.4,1,1,395.0,6,1.0791208744049072,216,239,36,135,1
3,"('142.250.204.42', 443)",76,40,56.0,13.333333333333334,18.33030277982336,336.0,0.9352195295828245,0.0,3,42.4,44.8,47.2,49.6,52.0,56.8,61.599999999999994,66.4,71.2,76,52,64.0,12.0,16.97056274847714,288.0,0.0,0.0,2,54.400000000000006,56.800000000000004,59.2,61.6,64,66.4,68.8,71.2,73.60000000000001,40,40,40.0,0.0,0.0,0.0,0.0,0.0,1,40.0,40.0,40.0,40.0,40,40.0,40.0,40.0,40.0,1,1,168.0,3,0.2953450679779053,142,250,204,42,1
4,"('103.102.166.240', 443)",1460,52,757.6917404129794,692.5694278181162,693.2628520913448,480613.3820898258,0.023117233940742558,-1.997057807079927,4746,64.0,72.0,72.0,80.0,166.5,1460.0,1460.0,1460.0,1460.0,642,52,72.39031578947369,9.467077495844906,22.264712649037524,495.71742934421144,11.902633066698494,233.24903362721952,2375,52.0,64.0,64.0,72.0,72,72.0,80.0,80.0,80.0,1460,52,1444.1493040911007,31.220054784714883,140.32999256326752,19692.506812806718,-9.177182885369557,84.24463500625421,2371,1460.0,1460.0,1460.0,1460.0,1460,1460.0,1460.0,1460.0,1460.0,1,1,3596005.0,4746,276.60011291503906,103,102,166,240,2
5,"('103.102.166.224', 443)",1076,52,421.34615384615387,403.1407174556217,442.24524122115974,195580.85338276176,0.6368679845467643,-1.4237015175451146,416,52.0,52.0,52.0,64.0,134.0,364.0,838.5,1076.0,1076.0,713,52,117.47368421052632,90.02669352807872,127.18861117948093,16176.942813765181,2.181986567784666,3.9350165275814764,209,52.0,52.0,52.0,52.0,64,64.0,72.0,141.60000000000002,364.40000000000003,1076,52,728.1545893719807,399.0358701486614,435.2061505331068,189404.3934618452,-0.662039071039208,-1.3854502467634875,207,52.0,127.20000000000002,417.7999999999998,839.0,1076,1076.0,1076.0,1076.0,1076.0,1,1,175280.0,416,243.29910898208618,103,102,166,224,2
6,"('142.250.199.78', 443)",1460,52,356.7608695652174,377.05860113421556,460.22681291258067,211808.71932367154,1.4056292967470416,0.7046657454895007,46,52.0,52.0,56.0,60.0,73.5,116.0,427.9999999999993,637.0,1060.0,898,52,175.56,178.62080000000006,253.63327857361304,64329.84,2.074232886382375,2.8651613294339384,25,52.0,52.0,52.0,60.0,64,64.0,89.39999999999998,121.60000000000008,637.0,1460,52,572.4761904761905,481.1156462585034,556.3019520950488,309471.861904762,0.6170681943402718,-1.244676031766124,21,52.0,52.0,60.0,235.0,328,632.0,980.0,1060.0,1460.0,1,2,8205.5,23,1.7526345252990723,142,250,199,78,2
7,"('142.250.204.138', 443)",1378,53,563.025,512.97875,574.8833766903264,330490.8967948717,0.5894840737907899,-1.4791122750186274,40,55.0,61.0,61.0,88.60000000000008,214.5,588.2,915.2999999999981,1378.0,1378.0,1378,61,569.3478260869565,506.2192816635159,581.0889157979535,337664.32806324115,0.5798864179000324,-1.514474034745701,23,61.0,61.0,61.0,61.0,430,583.5999999999999,963.999999999999,1378.0,1378.0,1378,53,554.4705882352941,521.7301038062284,584.0786673949686,341147.88970588235,0.6623402747090332,-1.5095824271206792,17,53.0,55.0,55.0,178.2,201,516.5999999999998,849.1999999999995,1378.0,1378.0,0,2,11260.5,20,19.820934414863586,142,250,204,138,2
8,"('103.73.195.21', 443)",1460,40,387.5357142857143,395.61734693877537,487.3397538825308,237500.03571428568,1.3140924178791369,0.5037000308874569,28,40.0,40.0,40.0,49.60000000000001,61.5,306.0,554.0,702.0,1333.8000000000002,712,40,206.125,230.4375,278.32519948194897,77464.91666666669,1.2903959824834814,-0.26378030430888977,16,40.0,40.0,40.0,40.0,40,52.0,109.0,557.0,699.5,1460,40,629.4166666666666,520.0555555555558,604.6706779627062,365626.6287878788,0.536745368327889,-1.650746466961643,12,41.2,54.2,135.89999999999995,306.0,430,554.0,1073.3999999999996,1396.8000000000002,1456.2,1,1,10851.0,28,10.816923141479492,103,73,195,21,2
9,"('52.74.97.166', 443)",116,40,52.470588235294116,16.719723183391004,24.73387769603369,611.7647058823529,2.3177180121395455,4.3253834319526625,17,40.0,40.0,40.0,40.0,44.0,44.0,44.0,56.80000000000001,82.40000000000002,116,40,59.2,23.04,31.029734843282892,962.8444444444444,1.5063456675682878,0.7535429360942532,10,40.0,40.0,40.0,40.0,40,47.999999999999986,60.0,71.2,116.0,44,40,42.857142857142854,1.6326530612244912,1.951800145897067,3.8095238095238124,-1.229634091915145,-0.8400000000000158,7,40.0,40.8,43.199999999999996,44.0,44,44.0,44.0,44.0,44.0,1,1,892.0,17,10.961182117462158,52,74,97,166,2
