,source,target,weight,graph_id
0,"('172.107.213.34', 22323)","('3.230.14.28', 443)",1.0,1
1,"('172.107.213.34', 22323)","('34.238.231.5', 443)",0.4,1
2,"('172.107.213.34', 22323)","('35.190.78.8', 443)",0.2,1
3,"('172.107.213.34', 22323)","('35.241.52.229', 443)",0.2,1
4,"('34.238.231.5', 443)","('3.230.14.28', 443)",0.2,1
5,"('3.230.14.28', 443)","('35.190.78.8', 443)",0.2,1
6,"('34.238.231.5', 443)","('35.190.78.8', 443)",0.0,1
7,"('34.238.231.5', 443)","('35.241.52.229', 443)",0.0,1
8,"('3.230.14.28', 443)","('35.241.52.229', 443)",0.0,1
9,"('35.190.78.8', 443)","('35.241.52.229', 443)",0.0,1
10,"('103.126.139.186', 22323)","('52.205.154.198', 443)",1.0,2
11,"('103.126.139.186', 22323)","('18.233.79.170', 443)",0.6666666666666666,2
12,"('18.233.79.170', 443)","('35.241.52.229', 443)",0.3333333333333333,2
13,"('103.126.139.186', 22325)","('172.104.96.99', 22023)",0.3333333333333333,2
14,"('172.104.96.99', 22025)","('172.104.96.99', 22023)",0.3333333333333333,2
15,"('172.104.96.99', 22025)","('103.126.139.186', 22325)",0.3333333333333333,2
16,"('52.205.154.198', 443)","('172.104.96.99', 22023)",0.3333333333333333,2
17,"('52.205.154.198', 443)","('172.104.96.99', 22025)",0.3333333333333333,2
18,"('18.233.79.170', 443)","('64.233.189.188', 5228)",0.3333333333333333,2
19,"('52.205.154.198', 443)","('103.126.139.186', 22325)",0.3333333333333333,2
20,"('103.126.139.186', 22323)","('103.126.139.186', 22325)",0.3333333333333333,2
21,"('18.233.79.170', 443)","('52.205.154.198', 443)",0.3333333333333333,2
22,"('103.126.139.186', 22323)","('64.233.189.188', 5228)",0.3333333333333333,2
23,"('103.126.139.186', 22323)","('35.241.52.229', 443)",0.3333333333333333,2
24,"('103.126.139.186', 22323)","('172.104.96.99', 22023)",0.3333333333333333,2
25,"('103.126.139.186', 22323)","('172.104.96.99', 22025)",0.3333333333333333,2
26,"('172.104.96.99', 22025)","('64.233.189.188', 5228)",0.0,2
27,"('172.104.96.99', 22023)","('64.233.189.188', 5228)",0.0,2
28,"('172.104.96.99', 22023)","('35.241.52.229', 443)",0.0,2
29,"('103.126.139.186', 22325)","('64.233.189.188', 5228)",0.0,2
30,"('103.126.139.186', 22325)","('35.241.52.229', 443)",0.0,2
31,"('18.233.79.170', 443)","('172.104.96.99', 22023)",0.0,2
32,"('172.104.96.99', 22025)","('35.241.52.229', 443)",0.0,2
33,"('18.233.79.170', 443)","('103.126.139.186', 22325)",0.0,2
34,"('52.205.154.198', 443)","('64.233.189.188', 5228)",0.0,2
35,"('52.205.154.198', 443)","('35.241.52.229', 443)",0.0,2
36,"('18.233.79.170', 443)","('172.104.96.99', 22025)",0.0,2
37,"('35.241.52.229', 443)","('64.233.189.188', 5228)",0.0,2
38,"('172.107.213.206', 22623)","('35.241.52.229', 443)",1.0,3
39,"('172.107.213.206', 22623)","('3.90.132.98', 443)",1.0,3
40,"('172.107.213.206', 22623)","('142.250.199.74', 443)",0.6666666666666666,3
41,"('72.5.161.219', 22023)","('72.5.161.219', 22025)",0.3333333333333333,3
42,"('139.162.111.196', 22023)","('3.90.132.98', 443)",0.3333333333333333,3
