,source,target,weight,graph_id
0,"('150.109.27.231', 8060)","('69.171.250.34', 443)",1.0,1
1,"('69.171.250.34', 443)","('172.217.174.202', 443)",1.0,1
2,"('69.171.250.34', 443)","('161.117.238.73', 443)",1.0,1
3,"('69.171.250.34', 443)","('216.58.200.2', 443)",0.5,1
4,"('172.217.24.214', 443)","('216.58.200.2', 443)",0.5,1
5,"('161.117.238.73', 443)","('216.58.200.2', 443)",0.5,1
6,"('161.117.238.73', 443)","('172.217.24.214', 443)",0.5,1
7,"('172.217.174.202', 443)","('216.58.200.2', 443)",0.5,1
8,"('172.217.174.202', 443)","('172.217.24.214', 443)",0.5,1
9,"('69.171.250.34', 443)","('47.74.170.155', 5222)",0.5,1
10,"('172.217.174.202', 443)","('161.117.238.73', 443)",0.5,1
11,"('69.171.250.34', 443)","('172.217.24.214', 443)",0.5,1
12,"('150.109.27.231', 8060)","('69.171.250.15', 443)",0.5,1
13,"('150.109.27.231', 8060)","('47.74.170.155', 5222)",0.5,1
14,"('69.171.250.34', 443)","('69.171.250.15', 443)",0.5,1
15,"('69.171.250.15', 443)","('47.74.170.155', 5222)",0.0,1
16,"('172.217.24.214', 443)","('47.74.170.155', 5222)",0.0,1
17,"('161.117.238.73', 443)","('47.74.170.155', 5222)",0.0,1
18,"('150.109.27.231', 8060)","('161.117.238.73', 443)",0.0,1
19,"('150.109.27.231', 8060)","('172.217.24.214', 443)",0.0,1
20,"('69.171.250.15', 443)","('172.217.24.214', 443)",0.0,1
21,"('69.171.250.15', 443)","('216.58.200.2', 443)",0.0,1
22,"('69.171.250.15', 443)","('161.117.238.73', 443)",0.0,1
23,"('172.217.174.202', 443)","('47.74.170.155', 5222)",0.0,1
24,"('150.109.27.231', 8060)","('216.58.200.2', 443)",0.0,1
25,"('150.109.27.231', 8060)","('172.217.174.202', 443)",0.0,1
26,"('172.217.174.202', 443)","('69.171.250.15', 443)",0.0,1
27,"('216.58.200.2', 443)","('47.74.170.155', 5222)",0.0,1
28,"('150.109.27.231', 8060)","('69.171.250.15', 443)",,2
29,"('150.109.27.231', 8060)","('108.177.97.188', 5228)",,2
30,"('69.171.250.15', 443)","('108.177.97.188', 5228)",,2
31,"('216.58.200.74', 443)","('172.217.26.150', 443)",1.0,3
32,"('172.217.26.150', 443)","('216.58.200.66', 443)",1.0,3
33,"('216.58.200.74', 443)","('216.58.200.66', 443)",1.0,3
34,"('150.109.27.231', 8060)","('69.171.250.15', 443)",0.6666666666666666,3
35,"('172.217.26.150', 443)","('203.107.55.19', 80)",0.6666666666666666,3
36,"('69.171.250.34', 443)","('150.109.27.231', 8060)",0.6666666666666666,3
37,"('216.58.200.74', 443)","('203.107.55.19', 80)",0.6666666666666666,3
38,"('216.58.200.66', 443)","('203.107.55.19', 80)",0.6666666666666666,3
