,source,target,weight,graph_id
0,"('169.136.78.159', 893)","('169.136.77.118', 5793)",1.0,1
1,"('169.136.78.159', 893)","('169.136.76.180', 2443)",1.0,1
2,"('169.136.77.118', 5793)","('169.136.76.180', 2443)",1.0,1
3,"('169.136.78.159', 893)","('69.171.250.20', 443)",0.25,1
4,"('169.136.77.118', 5793)","('69.171.250.20', 443)",0.25,1
5,"('169.136.76.180', 2443)","('69.171.250.20', 443)",0.25,1
6,"('169.136.78.159', 893)","('169.136.79.36', 443)",0.08333333333333333,1
7,"('169.136.77.118', 5793)","('169.136.79.36', 443)",0.08333333333333333,1
8,"('169.136.76.180', 2443)","('169.136.79.36', 443)",0.08333333333333333,1
9,"('69.171.250.20', 443)","('169.136.79.36', 443)",0.0,1
10,"('169.136.76.180', 893)","('192.168.137.34', 36624)",1.0,2
11,"('169.136.76.180', 893)","('169.136.78.159', 1443)",1.0,2
12,"('169.136.76.180', 893)","('169.136.77.116', 37954)",1.0,2
13,"('192.168.137.34', 36624)","('169.136.78.159', 1443)",1.0,2
14,"('192.168.137.34', 36624)","('169.136.77.116', 37954)",1.0,2
15,"('169.136.78.159', 1443)","('169.136.77.116', 37954)",1.0,2
16,"('169.136.76.180', 893)","('169.136.79.35', 443)",0.16666666666666666,2
17,"('192.168.137.34', 36624)","('169.136.79.35', 443)",0.16666666666666666,2
18,"('169.136.79.35', 443)","('169.136.78.159', 1443)",0.16666666666666666,2
19,"('169.136.79.35', 443)","('169.136.77.116', 37954)",0.16666666666666666,2
20,"('169.136.76.180', 893)","('169.136.79.100', 443)",0.08333333333333333,2
21,"('192.168.137.34', 36624)","('169.136.79.100', 443)",0.08333333333333333,2
22,"('169.136.78.159', 1443)","('169.136.79.100', 443)",0.08333333333333333,2
23,"('169.136.77.116', 37954)","('169.136.79.100', 443)",0.08333333333333333,2
24,"('169.136.79.35', 443)","('169.136.79.100', 443)",0.0,2
25,"('169.136.76.195', 601)","('169.136.78.93', 3443)",1.0,3
26,"('169.136.76.195', 601)","('169.136.78.159', 2443)",1.0,3
27,"('169.136.78.93', 3443)","('169.136.78.159', 2443)",1.0,3
28,"('169.136.78.93', 3443)","('203.205.219.244', 8011)",0.16666666666666666,3
29,"('69.171.250.15', 443)","('203.205.219.244', 8011)",0.16666666666666666,3
30,"('169.136.78.159', 2443)","('142.250.199.78', 443)",0.16666666666666666,3
31,"('169.136.78.159', 2443)","('69.171.250.15', 443)",0.16666666666666666,3
32,"('169.136.78.93', 3443)","('142.250.199.78', 443)",0.16666666666666666,3
33,"('169.136.78.159', 2443)","('203.205.219.244', 8011)",0.16666666666666666,3
34,"('169.136.78.93', 3443)","('69.171.250.15', 443)",0.16666666666666666,3
35,"('169.136.76.195', 601)","('142.250.199.78', 443)",0.16666666666666666,3
36,"('169.136.76.195', 601)","('203.205.219.244', 8011)",0.16666666666666666,3
37,"('169.136.76.195', 601)","('69.171.250.15', 443)",0.16666666666666666,3
38,"('169.136.76.195', 601)","('169.136.79.133', 443)",0.08333333333333333,3
39,"('169.136.78.93', 3443)","('74.125.23.188', 5228)",0.08333333333333333,3
40,"('169.136.78.93', 3443)","('169.136.79.133', 443)",0.08333333333333333,3
41,"('169.136.78.159', 2443)","('169.136.79.133', 443)",0.08333333333333333,3
42,"('169.136.78.159', 2443)","('74.125.23.188', 5228)",0.08333333333333333,3
43,"('169.136.76.195', 601)","('74.125.23.188', 5228)",0.08333333333333333,3
44,"('69.171.250.15', 443)","('142.250.199.78', 443)",0.08333333333333333,3
45,"('69.171.250.15', 443)","('74.125.23.188', 5228)",0.08333333333333333,3
46,"('203.205.219.244', 8011)","('142.250.199.78', 443)",0.08333333333333333,3
47,"('203.205.219.244', 8011)","('74.125.23.188', 5228)",0.08333333333333333,3
48,"('69.171.250.15', 443)","('169.136.79.133', 443)",0.0,3
49,"('203.205.219.244', 8011)","('169.136.79.133', 443)",0.0,3
50,"('142.250.199.78', 443)","('169.136.79.133', 443)",0.0,3
51,"('142.250.199.78', 443)","('74.125.23.188', 5228)",0.0,3
52,"('169.136.79.133', 443)","('74.125.23.188', 5228)",0.0,3
