,IP_port,complete_max,complete_min,complete_mean,complete_mad,complete_std,complete_var,complete_skew,complete_kurt,complete_pkt_num,complete_10per,complete_20per,complete_30per,complete_40per,complete_50per,complete_60per,complete_70per,complete_80per,complete_90per,out_max,out_min,out_mean,out_mad,out_std,out_var,out_skew,out_kurt,out_pkt_num,out_10per,out_20per,out_30per,out_40per,out_50per,out_60per,out_70per,out_80per,out_90per,in_max,in_min,in_mean,in_mad,in_std,in_var,in_skew,in_kurt,in_pkt_num,in_10per,in_20per,in_30per,in_40per,in_50per,in_60per,in_70per,in_80per,in_90per,protocol,flows_num,flow_length_mean,flow_pkt_num_mean,flow_duration_mean,ip1,ip2,ip3,ip4,graph_id
0,"('52.219.132.191', 443)",0.8056514801914317,-0.6724482453431003,0.7372028010844561,1.2698287709131557,1.1741832811036088,1.3417940632091456,-0.2922177294034748,-0.2765879726607398,-0.16888385963226635,-0.26820172989966845,-0.20416626815295152,-0.20276594288122315,-0.27697583969676676,-0.40939369143596926,-0.22937439865079398,1.8059573195307095,1.4915808739637395,1.1024893849978437,-0.7307355286486158,-0.3872711032513731,-0.6385539503968877,-0.6897028622457366,-0.7059084208379715,-0.6217648260242336,0.20571456118181036,-0.12197027097703773,-0.1490069873941638,-0.34927250138265953,-0.26825406291078446,-0.26399217539154596,-0.2894153409961903,-0.34175471581118005,-0.3605116423303038,-0.4560268792306709,-0.5877954659252083,-0.7542949591729264,0.9615749908280025,-0.2432933207786567,0.9850610893989672,1.9398725452634213,1.5546432070732268,1.8800137349430583,-0.03510239413172445,-0.13352586049609566,-0.16646776781872602,-0.39941866414639066,-0.4242334668987141,-0.17017852783120307,0.203313660791551,1.8904264518244496,1.7440287994691603,1.5617850185661954,1.3362260275429891,1.1177134632535795,1.0,-0.07501519529242798,-0.142017718550352,-0.1513901500493969,-0.5505653809598843,0.20392156862745098,0.8588235294117647,0.5176470588235295,0.7490196078431373,1
1,"('64.233.189.108', 993)",0.8023118150658891,-0.6724482453431003,-0.5802630924840572,-0.6026590244487093,-0.34754541394637634,-0.6764661860744415,1.64648531250613,0.8213905960886985,-0.18547467383511174,-0.016380294232842815,-0.10199385080078742,-0.17120344560326559,-0.23487136304116732,-0.3160653723016658,-0.5191674925371399,-0.6318264106006817,-0.6868524039029932,-0.786797636083311,-0.2594015389429687,-0.3872711032513731,-0.33738769243989875,-0.43079202054263566,-0.4302325989354112,-0.55196627412634,-0.04737077248242182,-0.1639565340965034,-0.16638445348216507,-0.05802247157761901,-0.11661564971892391,-0.16774018576540686,-0.17006529562764325,-0.1164957987281207,-0.18798641730337162,-0.3016509339691283,-0.3861026756532866,-0.32188685667327227,0.9583690420248867,-0.07423644319791206,-0.5005281414379542,-0.02461438576554152,0.23800960281946748,-0.14727575007040522,0.8186996643785194,-0.05299435488692338,-0.18105268415996206,-0.3890188001092124,-0.4629896511080469,-0.5227099157925831,-0.5617738218483007,-0.548329745909477,-0.5987472258691308,-0.6614159254191931,-0.6480997341280968,-0.2287114692619139,1.0,-0.07501519529242798,-0.15603367698048595,-0.16230072221572142,-0.6642485887523207,0.25098039215686274,0.9137254901960784,0.7411764705882353,0.4235294117647059,1
2,"('112.78.4.242', 443)",0.8390481314468587,0.40004381308835224,0.5852144290263089,1.0397126215581693,1.0787265133230473,1.165618613489515,-0.12426885172345876,-0.248020309139,-0.2047104004471064,-0.016380294232842815,-0.10199385080078742,-0.17120344560326559,-0.24890618859303382,-0.39902387819882446,-0.3079422810532225,0.20587470540528244,1.4933505191935257,1.1363172636206038,-0.1220837624145518,0.049971960701854196,-0.2940038499464173,-0.2414639628752441,-0.14087141855348903,-0.4231408479862379,0.07603955308285655,-0.1386483004544343,-0.18549966617896646,-0.05802247157761901,-0.11661564971892391,-0.16774018576540686,-0.22055954559125932,-0.2876925757112458,-0.331270078766417,-0.4197742110674907,-0.37456303839892285,-0.4234308337769094,0.9936344788591607,-0.07423644319791206,0.981757431593842,1.9569911598287975,1.7152424988987132,2.2162618826157248,-0.061695471593659366,-0.1368730781536019,-0.1986293782122209,-0.3890188001092124,-0.4499349364270085,-0.16136524313216868,0.9717195951633348,1.71969554630881,1.7592072489327049,1.5963228614120146,1.3696546960347527,1.150134000997752,1.0,-0.3179449072399096,-0.1555433326543728,-0.17163005203910037,-0.8159322120846689,0.4392156862745098,0.3058823529411765,0.01568627450980392,0.9490196078431372,1
3,"('172.217.26.138', 443)",0.32640953467605444,0.40004381308835224,-0.30341826356653856,-0.19281146974833008,-0.01012228973377158,-0.3744438317034662,0.5755982482731226,0.06094125894092737,-0.20567218677770613,-0.016380294232842815,-0.10199385080078742,-0.17120344560326559,-0.2657479792552736,-0.40939369143596926,-0.5116660364283653,-0.4326886891641762,-0.43273134890570386,-0.09467923946163771,0.6628543385519393,0.049971960701854196,0.4240915429837877,0.7038501115885769,0.7957988866353631,0.3841253212142439,-0.20392775100987331,-0.1925292823780745,-0.1872374127877666,-0.05802247157761901,-0.11661564971892391,-0.16774018576540686,-0.22055954559125932,-0.26967186234460105,-0.1909105736597602,0.09017998776124507,0.4241805489465985,0.6489158744279565,0.5015213375808821,-0.07423644319791206,-0.4596769945424836,0.10901344350910812,0.3734690943341043,0.0012984557772249877,0.7659296658673839,-0.05503325914856441,-0.19900335042609874,-0.3890188001092124,-0.4629896511080469,-0.5165789351323852,-0.5621425387074043,-0.6130277732627721,-0.639693740701019,-0.6206612708611263,-0.5862566974183343,-0.34477699438605175,1.0,-0.3179449072399096,-0.15787237383383249,-0.17289504591345684,-0.7946752866661488,0.6745098039215687,0.8509803921568627,0.10196078431372549,0.5411764705882353,1
4,"('172.217.174.202', 443)",-1.4436129818615762,0.40004381308835224,-0.9798342606282887,-1.1449522436290531,-1.284511702737611,-1.0803695347362783,-0.12081312637301242,-0.24708899644524987,-0.20591263336035606,-0.016380294232842815,-0.10199385080078742,-0.17120344560326559,-0.27697583969676676,-0.43013331791025894,-0.6040523906101161,-0.7402131778032077,-0.9222152194645492,-1.1758182402450528,-1.1185654650599555,0.049971960701854196,-0.6573145309346095,-0.8094246110193584,-0.9137868264196529,-0.6402379873083889,-0.2742841409001102,-0.212855574688427,-0.1872374127877666,-0.05802247157761901,-0.11661564971892391,-0.16774018576540686,-0.22055954559125932,-0.2876925757112458,-0.3605116423303038,-0.4560268792306709,-0.5697334250053347,-0.7407557622257749,-1.197631528070503,-0.07423644319791206,-0.8074098893010905,-0.88449793151369,-1.012269392484586,-0.8688992352214665,-0.06146113625790762,-0.13720779881041822,-0.1993773226399766,-0.3890188001092124,-0.4629896511080469,-0.5119806996372367,-0.5013042569553197,-0.56090991789484,-0.6573431005423501,-0.7672744137416293,-0.915194795377288,-1.0658097538164533,1.0,-0.07501519529242798,-0.15931754954786187,-0.17574128213075887,-0.6898773972026345,0.6745098039215687,0.8509803921568627,0.6823529411764706,0.792156862745098,1
5,"('142.250.199.74', 443)",-1.4436129818615762,0.40004381308835224,-0.9870648083120643,-1.1417337117374633,-1.27827659429307,-1.0797946987101013,0.010436403987336867,-0.22926916756026705,-0.20735531285625566,-0.016380294232842815,-0.10199385080078742,-0.17120344560326559,-0.27697583969676676,-0.43013331791025894,-0.6277411993746675,-0.7718106760385205,-0.9161984256832764,-1.1758182402450528,-1.140833212605104,0.049971960701854196,-0.6726264753440734,-0.8350431814467676,-0.9405977630134784,-0.6404822649170165,-0.6414367179820486,-0.212855574688427,-0.18897515939656673,-0.05802247157761901,-0.11661564971892391,-0.16774018576540686,-0.22055954559125932,-0.2876925757112458,-0.3605116423303038,-0.4560268792306709,-0.5877954659252083,-0.7661417565016841,-1.197631528070503,-0.07423644319791206,-0.8095191824154129,-0.8784837473684458,-1.001739772137917,-0.8677170876229563,-0.05239936784032345,-0.14703448001596153,-0.20049923928161012,-0.3890188001092124,-0.4629896511080469,-0.5012514834818904,-0.5219524010651181,-0.56090991789484,-0.6513423181962976,-0.7702101303835238,-0.915194795377288,-1.0658097538164533,1.0,-0.07501519529242798,-0.15940531325519158,-0.17669002753652624,-0.7550664485830435,0.5568627450980392,0.9803921568627451,0.7803921568627451,0.2901960784313726,1
6,"('52.219.128.55', 443)",-1.533783940251229,-0.6724482453431003,-1.078136360689682,-1.2197785151003062,-1.358150449003026,-1.0850169571067183,0.5161696770743931,0.07800715921510044,-0.2083170991868554,-0.26820172989966845,-0.20416626815295152,-0.23432844015918075,-0.3190803163523662,-0.4612427576216935,-0.651430008139219,-0.8136957318388186,-1.0213153523325726,-1.2832217548723162,-1.140833212605104,-0.3872711032513731,-0.7134583271026442,-0.8046804313105789,-0.9071586500292735,-0.6401022775258179,-0.19987127623185172,-0.212855574688427,-0.1901336571357668,-0.34927250138265953,-0.26825406291078446,-0.26399217539154596,-0.2894153409961903,-0.34175471581118005,-0.39560151860696796,-0.4777784801285791,-0.5998368265384574,-0.7712189553568659,-1.2841921457546301,-0.2432933207786567,-0.9005252648179767,-0.9650143692163494,-1.082793886392111,-0.8746733435103129,0.567045905298182,-0.11587831155530384,-0.2012471837093658,-0.41675177087502113,-0.48746724113499396,-0.5457010932683252,-0.6060198449407259,-0.6831173028955083,-0.772416926707829,-0.8897110666300587,-1.026177974769943,-1.1633955724264133,1.0,-0.3179449072399096,-0.15943475656345704,-0.1763737790679371,-0.7622524799706787,0.20392156862745098,0.8588235294117647,0.5019607843137255,0.21568627450980393,1
7,"('52.219.41.23', 443)",-1.533783940251229,-0.6724482453431003,-1.0816531050557951,-1.2182594849850075,-1.3532559015742187,-1.0848305672722878,0.815736906833825,0.24174413218060067,-0.20855754576950533,-0.26820172989966845,-0.20416626815295152,-0.23432844015918075,-0.3190803163523662,-0.4612427576216935,-0.651430008139219,-0.8247181149441603,-1.0315792946653322,-1.2881267972726165,-1.1631009601502527,-0.3872711032513731,-0.7338742529819295,-0.8350431814467676,-0.9405977630134784,-0.6404822649170165,-0.6414367179820486,-0.212855574688427,-0.19071290600536686,-0.34927250138265953,-0.26825406291078446,-0.26399217539154596,-0.2894153409961903,-0.34175471581118005,-0.40437398767613403,-0.4922795473938512,-0.6178988674583309,-0.7915277507775934,-1.2841921457546301,-0.2432933207786567,-0.9005252648179767,-0.9650143692163494,-1.082793886392111,-0.8746733435103129,0.567045905298182,-0.11587831155530384,-0.2012471837093658,-0.41675177087502113,-0.48746724113499396,-0.5457010932683252,-0.6060198449407259,-0.6831173028955083,-0.772416926707829,-0.8897110666300587,-1.026177974769943,-1.1633955724264133,1.0,-0.3179449072399096,-0.159454385435634,-0.17669002753652624,-0.7673283896850618,0.20392156862745098,0.8588235294117647,0.1607843137254902,0.09019607843137255,1
8,"('216.58.199.101', 443)",-1.4436129818615762,0.40004381308835224,-0.9941589305678441,-1.1455058154841424,-1.263874262864685,-1.0783586769958673,0.6473791059305007,0.1619214213173611,-0.20879799235215526,-0.016380294232842815,-0.10199385080078742,-0.17120344560326559,-0.27697583969676676,-0.43013331791025894,-0.6277411993746675,-0.7892627826219781,-0.9696417116228175,-1.212859767336975,-1.140833212605104,0.049971960701854196,-0.6726264753440734,-0.8350431814467676,-0.9405977630134784,-0.6404822649170165,-0.6414367179820486,-0.212855574688427,-0.19071290600536686,-0.058022471577618834,-0.11661564971892391,-0.16774018576540686,-0.22055954559125932,-0.2876925757112458,-0.3605116423303038,-0.4560268792306709,-0.5877954659252083,-0.7661417565016841,-1.197631528070503,-0.07423644319791206,-0.817956354872703,-0.8589770240108348,-0.9435531760724833,-0.8596851791891523,0.07837116539208999,-0.11587831155530384,-0.20162115592324367,-0.37214790956001204,-0.433208583241928,-0.48075101689935357,-0.530064171965396,-0.5959546827112081,-0.6848761018948267,-0.8021576350159068,-0.9395977233762755,-1.0776432500930764,1.0,-0.3179449072399096,-0.15943551152007923,-0.17700627600511534,-0.8171978772929511,0.8470588235294118,0.22745098039215686,0.7803921568627451,0.396078431372549,1
9,"('69.171.250.15', 443)",-1.5137459494979728,-0.6724482453431003,-1.0375118999087205,-1.1910651409696613,-1.3203840824123394,-1.083126756034509,0.06243194279558543,-0.15736942213559868,-0.2090384389348052,-0.21783744276630337,-0.1632973012120859,-0.19645344342563165,-0.2853967350278867,-0.43013331791025894,-0.6155019815129826,-0.7798937569824377,-0.9883999510585506,-1.2573434277259046,-1.08330819811347,0.049971960701854196,-0.5935147625618427,-0.7468014388634692,-0.8347989425076489,-0.636678432803039,-0.6414367179820486,-0.212855574688427,-0.19071290600536686,0.01721711945535001,-0.038269136236462595,-0.09314489380514912,-0.1494085570061639,-0.21786231141549742,-0.292525007044267,-0.39046997096891994,-0.5255817694234215,-0.7071193198101952,-1.3338843522029256,-0.2432933207786567,-0.9228801662005398,-1.0293108523727494,-1.156697839080663,-0.876721495079831,0.07837116539208999,-0.11587831155530384,-0.2019951281371215,-0.41675177087502113,-0.48746724113499396,-0.5457010932683252,-0.6060198449407259,-0.6831173028955083,-0.7833595298094543,-0.9111245291944666,-1.0572666364672834,-1.2035970392291875,1.0,-0.3179449072399096,-0.15947552422105535,-0.17732252447370447,-0.8192619323851676,0.27058823529411763,0.6705882352941176,0.9803921568627451,0.058823529411764705,1
