,source,target,weight,graph_id
0,"('45.40.221.144', 10477)","('45.40.223.231', 20001)",1.0,1
1,"('150.109.124.35', 20000)","('101.32.70.3', 17500)",1.0,1
2,"('45.40.221.144', 10477)","('101.32.70.3', 17500)",1.0,1
3,"('45.40.221.144', 10477)","('150.109.124.35', 20000)",1.0,1
4,"('45.40.223.231', 20001)","('150.109.124.35', 20000)",1.0,1
5,"('45.40.223.231', 20001)","('101.32.70.3', 17500)",1.0,1
6,"('45.40.221.144', 10477)","('101.32.143.142', 10012)",0.75,1
7,"('101.32.70.3', 17500)","('101.32.143.142', 10012)",0.75,1
8,"('150.109.124.35', 20000)","('101.32.143.142', 10012)",0.75,1
9,"('45.40.223.231', 20001)","('101.32.143.142', 10012)",0.75,1
10,"('101.32.143.142', 10012)","('8.8.8.8', 853)",0.4166666666666667,1
11,"('101.32.70.3', 17500)","('8.8.8.8', 853)",0.4166666666666667,1
12,"('150.109.124.35', 20000)","('8.8.8.8', 853)",0.4166666666666667,1
13,"('45.40.221.144', 10477)","('8.8.8.8', 853)",0.4166666666666667,1
14,"('45.40.223.231', 20001)","('8.8.8.8', 853)",0.4166666666666667,1
15,"('150.109.124.35', 20000)","('150.109.28.183', 3013)",0.3333333333333333,1
16,"('45.40.223.231', 20001)","('150.109.28.183', 3013)",0.3333333333333333,1
17,"('45.40.221.144', 10477)","('150.109.28.183', 3013)",0.3333333333333333,1
18,"('150.109.28.183', 3013)","('8.8.8.8', 853)",0.3333333333333333,1
19,"('101.32.70.3', 17500)","('150.109.28.183', 3013)",0.3333333333333333,1
20,"('150.109.28.183', 3013)","('101.32.143.142', 10012)",0.3333333333333333,1
21,"('45.40.223.231', 20001)","('172.217.163.227', 443)",0.16666666666666666,1
22,"('101.32.143.142', 10012)","('172.217.163.227', 443)",0.16666666666666666,1
23,"('101.32.70.3', 17500)","('172.217.163.227', 443)",0.16666666666666666,1
24,"('45.40.221.144', 10477)","('172.217.163.227', 443)",0.16666666666666666,1
25,"('150.109.124.35', 20000)","('172.217.163.227', 443)",0.16666666666666666,1
26,"('45.40.223.231', 20001)","('157.240.7.20', 443)",0.08333333333333333,1
27,"('101.32.70.3', 17500)","('157.240.7.20', 443)",0.08333333333333333,1
28,"('150.109.124.35', 20000)","('157.240.7.20', 443)",0.08333333333333333,1
29,"('45.40.221.144', 10477)","('157.240.7.20', 443)",0.08333333333333333,1
30,"('101.32.143.142', 10012)","('157.240.7.20', 443)",0.08333333333333333,1
31,"('8.8.8.8', 853)","('157.240.7.20', 443)",0.08333333333333333,1
32,"('150.109.28.183', 3013)","('172.217.163.227', 443)",0.0,1
33,"('150.109.28.183', 3013)","('157.240.7.20', 443)",0.0,1
34,"('8.8.8.8', 853)","('172.217.163.227', 443)",0.0,1
35,"('172.217.163.227', 443)","('157.240.7.20', 443)",0.0,1
36,"('45.40.221.160', 10321)","('45.40.220.155', 20001)",1.0,2
37,"('45.40.221.160', 10321)","('45.40.223.35', 20000)",1.0,2
38,"('45.40.221.160', 10321)","('101.32.70.3', 17500)",1.0,2
39,"('45.40.220.155', 20001)","('45.40.223.35', 20000)",1.0,2
40,"('45.40.220.155', 20001)","('101.32.70.3', 17500)",1.0,2
41,"('45.40.223.35', 20000)","('101.32.70.3', 17500)",1.0,2
42,"('45.40.221.160', 10321)","('101.32.143.142', 10012)",0.6666666666666666,2
43,"('101.32.70.3', 17500)","('101.32.143.142', 10012)",0.6666666666666666,2
44,"('45.40.220.155', 20001)","('101.32.143.142', 10012)",0.6666666666666666,2
45,"('45.40.223.35', 20000)","('101.32.143.142', 10012)",0.6666666666666666,2
46,"('150.109.28.183', 3013)","('101.32.143.142', 10012)",0.3333333333333333,2
47,"('101.32.70.3', 17500)","('172.217.161.170', 443)",0.3333333333333333,2
48,"('101.32.70.3', 17500)","('150.109.28.183', 3013)",0.3333333333333333,2
49,"('45.40.223.35', 20000)","('172.217.161.170', 443)",0.3333333333333333,2
50,"('45.40.223.35', 20000)","('150.109.28.183', 3013)",0.3333333333333333,2
51,"('45.40.220.155', 20001)","('172.217.161.170', 443)",0.3333333333333333,2
52,"('45.40.220.155', 20001)","('150.109.28.183', 3013)",0.3333333333333333,2
53,"('45.40.221.160', 10321)","('172.217.161.170', 443)",0.3333333333333333,2
54,"('45.40.221.160', 10321)","('150.109.28.183', 3013)",0.3333333333333333,2
55,"('45.40.223.35', 20000)","('8.8.8.8', 853)",0.16666666666666666,2
56,"('45.40.220.155', 20001)","('8.8.8.8', 853)",0.16666666666666666,2
57,"('101.32.70.3', 17500)","('8.8.8.8', 853)",0.16666666666666666,2
58,"('45.40.221.160', 10321)","('8.8.8.8', 853)",0.16666666666666666,2
59,"('150.109.28.183', 3013)","('172.217.161.170', 443)",0.16666666666666666,2
60,"('101.32.143.142', 10012)","('8.8.8.8', 853)",0.16666666666666666,2
61,"('101.32.143.142', 10012)","('172.217.161.170', 443)",0.16666666666666666,2
62,"('150.109.28.183', 3013)","('8.8.8.8', 853)",0.08333333333333333,2
63,"('8.8.8.8', 853)","('172.217.161.170', 443)",0.0,2
