,source,target,weight,graph_id
0,"('14.238.25.68', 8443)","('31.13.68.35', 443)",1.0,1
1,"('14.238.25.68', 8443)","('74.125.68.157', 443)",1.0,1
2,"('14.238.25.68', 8443)","('74.125.24.154', 443)",1.0,1
3,"('14.238.25.68', 8443)","('31.13.68.1', 443)",1.0,1
4,"('31.13.68.35', 443)","('74.125.68.157', 443)",0.0,1
5,"('31.13.68.35', 443)","('74.125.24.154', 443)",0.0,1
6,"('31.13.68.35', 443)","('31.13.68.1', 443)",0.0,1
7,"('74.125.68.157', 443)","('74.125.24.154', 443)",0.0,1
8,"('74.125.68.157', 443)","('31.13.68.1', 443)",0.0,1
9,"('74.125.24.154', 443)","('31.13.68.1', 443)",0.0,1
10,"('14.238.25.68', 8443)","('172.217.194.95', 443)",1.0,2
11,"('14.238.25.68', 8443)","('172.217.160.4', 443)",0.0,2
12,"('172.217.194.95', 443)","('172.217.160.4', 443)",0.0,2
13,"('14.225.241.141', 443)","('172.217.194.95', 443)",1.0,3
14,"('14.225.241.141', 443)","('74.125.24.155', 443)",0.5,3
15,"('172.217.194.95', 443)","('74.125.24.155', 443)",0.5,3
16,"('14.225.241.141', 443)","('74.125.24.188', 5228)",0.25,3
17,"('14.225.241.141', 443)","('74.125.68.95', 443)",0.25,3
18,"('172.217.194.95', 443)","('74.125.24.188', 5228)",0.0,3
19,"('172.217.194.95', 443)","('74.125.68.95', 443)",0.0,3
20,"('74.125.24.155', 443)","('74.125.24.188', 5228)",0.0,3
21,"('74.125.24.155', 443)","('74.125.68.95', 443)",0.0,3
22,"('74.125.24.188', 5228)","('74.125.68.95', 443)",0.0,3
23,"('103.84.76.68', 8443)","('142.250.185.3', 443)",1.0,4
24,"('103.84.76.68', 8443)","('172.217.194.157', 443)",0.5,4
25,"('74.125.24.94', 443)","('142.250.185.3', 443)",0.5,4
26,"('103.84.76.68', 8443)","('74.125.24.94', 443)",0.5,4
27,"('172.217.194.157', 443)","('142.250.185.3', 443)",0.5,4
28,"('172.217.194.157', 443)","('74.125.24.94', 443)",0.5,4
29,"('142.250.185.3', 443)","('74.125.24.95', 443)",0.25,4
30,"('142.250.185.3', 443)","('172.217.194.132', 443)",0.25,4
31,"('142.250.185.3', 443)","('74.125.24.154', 443)",0.25,4
32,"('142.250.185.3', 443)","('74.125.200.94', 443)",0.25,4
33,"('172.253.118.132', 443)","('74.125.200.94', 443)",0.25,4
34,"('172.253.118.132', 443)","('74.125.24.95', 443)",0.25,4
35,"('172.217.194.132', 443)","('74.125.24.95', 443)",0.25,4
36,"('172.253.118.132', 443)","('172.217.194.132', 443)",0.25,4
37,"('172.253.118.132', 443)","('142.250.185.3', 443)",0.25,4
38,"('74.125.24.94', 443)","('74.125.200.94', 443)",0.25,4
39,"('172.217.194.132', 443)","('74.125.200.94', 443)",0.25,4
40,"('74.125.24.94', 443)","('172.217.194.132', 443)",0.25,4
41,"('74.125.24.94', 443)","('74.125.24.154', 443)",0.25,4
42,"('74.125.24.94', 443)","('74.125.24.95', 443)",0.25,4
43,"('74.125.24.94', 443)","('172.253.118.132', 443)",0.25,4
44,"('172.217.194.157', 443)","('172.217.194.132', 443)",0.25,4
45,"('103.84.76.68', 8443)","('14.238.25.68', 8443)",0.25,4
46,"('103.84.76.68', 8443)","('172.253.118.132', 443)",0.25,4
47,"('103.84.76.68', 8443)","('74.125.24.154', 443)",0.25,4
48,"('103.84.76.68', 8443)","('172.217.194.132', 443)",0.25,4
49,"('103.84.76.68', 8443)","('74.125.24.95', 443)",0.25,4
50,"('103.84.76.68', 8443)","('74.125.200.94', 443)",0.25,4
51,"('172.217.194.157', 443)","('172.253.118.132', 443)",0.25,4
52,"('172.217.194.157', 443)","('74.125.24.154', 443)",0.25,4
53,"('172.217.194.157', 443)","('74.125.24.95', 443)",0.25,4
54,"('172.217.194.157', 443)","('74.125.200.94', 443)",0.25,4
55,"('74.125.24.95', 443)","('74.125.200.94', 443)",0.25,4
56,"('14.238.25.68', 8443)","('74.125.200.94', 443)",0.0,4
57,"('172.253.118.132', 443)","('74.125.24.154', 443)",0.0,4
58,"('74.125.24.94', 443)","('14.238.25.68', 8443)",0.0,4
59,"('14.238.25.68', 8443)","('74.125.24.95', 443)",0.0,4
60,"('172.217.194.157', 443)","('14.238.25.68', 8443)",0.0,4
61,"('14.238.25.68', 8443)","('172.217.194.132', 443)",0.0,4
62,"('14.238.25.68', 8443)","('74.125.24.154', 443)",0.0,4
63,"('14.238.25.68', 8443)","('142.250.185.3', 443)",0.0,4
64,"('14.238.25.68', 8443)","('172.253.118.132', 443)",0.0,4
65,"('74.125.24.154', 443)","('172.217.194.132', 443)",0.0,4
66,"('74.125.24.154', 443)","('74.125.24.95', 443)",0.0,4
67,"('74.125.24.154', 443)","('74.125.200.94', 443)",0.0,4
68,"('125.212.227.19', 443)","('172.217.194.95', 443)",1.0,5
69,"('125.212.227.19', 443)","('74.125.200.188', 5228)",1.0,5
70,"('172.217.194.95', 443)","('74.125.200.188', 5228)",0.0,5
71,"('14.238.25.68', 8443)","('172.217.194.155', 443)",1.0,6
72,"('14.238.25.68', 8443)","('31.13.68.35', 443)",1.0,6
73,"('14.238.25.68', 8443)","('203.113.183.145', 443)",1.0,6
74,"('14.238.25.68', 8443)","('74.125.200.155', 443)",1.0,6
75,"('172.217.194.155', 443)","('74.125.200.155', 443)",1.0,6
76,"('172.217.194.155', 443)","('31.13.68.35', 443)",0.0,6
77,"('172.217.194.155', 443)","('203.113.183.145', 443)",0.0,6
78,"('31.13.68.35', 443)","('203.113.183.145', 443)",0.0,6
79,"('31.13.68.35', 443)","('74.125.200.155', 443)",0.0,6
80,"('203.113.183.145', 443)","('74.125.200.155', 443)",0.0,6
