,source,target,weight,graph_id
0,"('207.241.227.135', 443)","('207.241.224.2', 443)",1.0,1
1,"('207.241.228.25', 443)","('157.240.7.35', 443)",1.0,1
2,"('207.241.227.135', 443)","('207.241.228.25', 443)",0.0,1
3,"('207.241.227.135', 443)","('157.240.7.35', 443)",0.0,1
4,"('207.241.228.25', 443)","('207.241.224.2', 443)",0.0,1
5,"('207.241.224.2', 443)","('157.240.7.35', 443)",0.0,1
6,"('207.241.228.25', 443)","('207.241.227.135', 443)",,2
7,"('207.241.228.25', 443)","('207.241.224.2', 443)",,2
8,"('207.241.227.135', 443)","('207.241.224.2', 443)",,2
9,"('13.35.18.144', 443)","('31.13.68.1', 443)",1.0,3
10,"('13.35.18.144', 443)","('151.101.2.133', 443)",0.5,3
11,"('31.13.68.1', 443)","('151.101.2.133', 443)",0.0,3
12,"('74.125.24.95', 443)","('172.217.194.95', 443)",1.0,4
13,"('74.125.24.95', 443)","('172.217.194.94', 443)",1.0,4
14,"('172.217.194.95', 443)","('172.217.194.94', 443)",1.0,4
15,"('172.217.194.139', 443)","('74.125.24.95', 443)",0.5,4
16,"('172.217.194.139', 443)","('172.217.194.95', 443)",0.5,4
17,"('172.217.194.139', 443)","('172.217.194.94', 443)",0.5,4
18,"('74.125.24.95', 443)","('74.125.200.188', 5228)",0.5,4
19,"('172.217.194.95', 443)","('74.125.200.188', 5228)",0.5,4
20,"('172.217.194.94', 443)","('74.125.200.188', 5228)",0.5,4
21,"('172.217.194.139', 443)","('74.125.200.188', 5228)",0.0,4
22,"('104.19.159.48', 443)","('157.240.7.35', 443)",1.0,5
23,"('104.19.160.48', 443)","('104.19.159.48', 443)",0.5,5
24,"('104.19.159.48', 443)","('74.125.200.188', 5228)",0.5,5
25,"('157.240.7.35', 443)","('74.125.200.188', 5228)",0.5,5
26,"('104.19.160.48', 443)","('157.240.7.35', 443)",0.0,5
27,"('104.19.160.48', 443)","('74.125.200.188', 5228)",0.0,5
28,"('207.241.227.135', 443)","('157.240.7.35', 443)",1.0,6
