,source,target,weight,graph_id
0,"('23.102.231.223', 3480)","('52.114.32.35', 3478)",1.0,1
1,"('23.102.231.223', 3480)","('52.114.36.140', 443)",0.75,1
2,"('52.114.36.140', 443)","('52.114.32.35', 3478)",0.5,1
3,"('23.102.231.223', 3480)","('13.83.65.43', 443)",0.375,1
4,"('23.102.231.223', 3480)","('192.229.232.200', 443)",0.25,1
5,"('52.114.32.35', 3478)","('13.76.153.29', 443)",0.25,1
6,"('52.114.36.140', 443)","('13.83.65.43', 443)",0.25,1
7,"('192.229.232.200', 443)","('13.76.153.29', 443)",0.25,1
8,"('192.229.232.200', 443)","('52.114.32.35', 3478)",0.25,1
9,"('192.229.232.200', 443)","('52.114.36.140', 443)",0.25,1
10,"('23.102.231.223', 3480)","('13.76.153.29', 443)",0.25,1
11,"('52.114.36.140', 443)","('13.76.153.29', 443)",0.25,1
12,"('52.114.32.35', 3478)","('64.233.189.188', 5228)",0.125,1
13,"('52.114.32.35', 3478)","('13.76.217.211', 443)",0.125,1
14,"('52.114.32.35', 3478)","('13.83.65.43', 443)",0.125,1
15,"('13.76.217.211', 443)","('13.76.153.29', 443)",0.125,1
16,"('13.83.65.43', 443)","('13.76.153.29', 443)",0.125,1
17,"('52.114.36.140', 443)","('13.76.217.211', 443)",0.125,1
18,"('192.229.232.200', 443)","('13.83.65.43', 443)",0.125,1
19,"('192.229.232.200', 443)","('13.76.217.211', 443)",0.125,1
20,"('23.102.231.223', 3480)","('64.233.189.188', 5228)",0.125,1
21,"('23.102.231.223', 3480)","('13.76.217.211', 443)",0.125,1
22,"('52.114.36.140', 443)","('64.233.189.188', 5228)",0.0,1
23,"('192.229.232.200', 443)","('64.233.189.188', 5228)",0.0,1
24,"('13.76.217.211', 443)","('13.83.65.43', 443)",0.0,1
25,"('13.76.217.211', 443)","('64.233.189.188', 5228)",0.0,1
26,"('13.83.65.43', 443)","('64.233.189.188', 5228)",0.0,1
27,"('13.76.153.29', 443)","('64.233.189.188', 5228)",0.0,1
28,"('23.102.231.223', 3480)","('52.114.36.37', 3478)",1.0,2
29,"('23.102.231.223', 3480)","('52.114.36.140', 443)",0.75,2
30,"('23.102.231.223', 3480)","('13.76.240.131', 3478)",0.75,2
31,"('52.114.36.37', 3478)","('52.114.36.140', 443)",0.625,2
32,"('23.102.231.223', 3480)","('52.163.231.110', 443)",0.5,2
33,"('52.114.36.37', 3478)","('13.76.240.131', 3478)",0.5,2
34,"('13.76.240.131', 3478)","('52.163.231.110', 443)",0.25,2
35,"('52.114.36.37', 3478)","('52.163.231.110', 443)",0.25,2
36,"('23.102.231.223', 3480)","('192.229.232.200', 443)",0.25,2
37,"('192.229.232.200', 443)","('52.114.36.37', 3478)",0.25,2
38,"('23.102.231.223', 3480)","('13.83.65.43', 443)",0.25,2
39,"('192.229.232.200', 443)","('52.114.36.140', 443)",0.125,2
40,"('192.229.232.200', 443)","('13.76.240.131', 3478)",0.125,2
41,"('23.102.231.223', 3480)","('52.229.164.28', 443)",0.125,2
42,"('13.76.240.131', 3478)","('13.83.65.43', 443)",0.125,2
43,"('52.114.36.140', 443)","('52.163.231.110', 443)",0.125,2
44,"('52.114.36.140', 443)","('13.83.65.43', 443)",0.125,2
45,"('52.114.36.140', 443)","('13.76.240.131', 3478)",0.125,2
46,"('52.229.164.28', 443)","('52.114.36.140', 443)",0.125,2
47,"('52.114.36.37', 3478)","('13.83.65.43', 443)",0.125,2
48,"('192.229.232.200', 443)","('52.229.164.28', 443)",0.125,2
49,"('52.114.36.37', 3478)","('52.229.164.28', 443)",0.125,2
50,"('192.229.232.200', 443)","('52.163.231.110', 443)",0.125,2
51,"('52.229.164.28', 443)","('13.76.240.131', 3478)",0.0,2
52,"('52.229.164.28', 443)","('13.83.65.43', 443)",0.0,2
53,"('52.229.164.28', 443)","('52.163.231.110', 443)",0.0,2
54,"('192.229.232.200', 443)","('13.83.65.43', 443)",0.0,2
55,"('13.83.65.43', 443)","('52.163.231.110', 443)",0.0,2
56,"('23.102.231.223', 3480)","('52.114.32.35', 3478)",1.0,3
57,"('23.102.231.223', 3480)","('52.148.70.235', 3478)",0.75,3
58,"('23.102.231.223', 3480)","('52.114.36.140', 443)",0.75,3
59,"('52.114.32.35', 3478)","('52.148.70.235', 3478)",0.5,3
60,"('52.114.32.35', 3478)","('52.114.36.140', 443)",0.5,3
61,"('52.114.32.35', 3478)","('20.185.212.106', 443)",0.375,3
62,"('23.102.231.223', 3480)","('20.185.212.106', 443)",0.375,3
63,"('52.114.32.35', 3478)","('192.229.232.200', 443)",0.25,3
64,"('23.102.231.223', 3480)","('172.217.161.138', 443)",0.25,3
65,"('23.102.231.223', 3480)","('13.76.153.29', 443)",0.25,3
66,"('13.76.153.29', 443)","('192.229.232.200', 443)",0.25,3
67,"('23.102.231.223', 3480)","('192.229.232.200', 443)",0.25,3
68,"('52.114.159.34', 443)","('52.114.32.35', 3478)",0.25,3
69,"('52.114.32.35', 3478)","('13.76.153.29', 443)",0.25,3
70,"('52.114.32.35', 3478)","('172.217.161.138', 443)",0.25,3
71,"('52.148.70.235', 3478)","('172.217.161.138', 443)",0.25,3
72,"('20.185.212.106', 443)","('52.114.36.140', 443)",0.25,3
73,"('52.114.36.140', 443)","('192.229.232.200', 443)",0.25,3
74,"('52.114.36.140', 443)","('13.76.153.29', 443)",0.25,3
75,"('23.102.231.223', 3480)","('52.114.159.34', 443)",0.25,3
76,"('20.185.212.106', 443)","('13.76.153.29', 443)",0.125,3
77,"('52.114.36.140', 443)","('216.58.199.106', 443)",0.125,3
78,"('20.185.212.106', 443)","('192.229.232.200', 443)",0.125,3
79,"('52.114.36.140', 443)","('142.250.204.138', 443)",0.125,3
80,"('52.114.36.140', 443)","('108.177.97.188', 5228)",0.125,3
81,"('142.250.204.138', 443)","('13.76.153.29', 443)",0.125,3
82,"('142.250.204.138', 443)","('192.229.232.200', 443)",0.125,3
83,"('142.250.204.138', 443)","('216.58.199.106', 443)",0.125,3
84,"('13.76.153.29', 443)","('216.58.199.106', 443)",0.125,3
85,"('20.185.212.106', 443)","('52.148.70.235', 3478)",0.125,3
86,"('192.229.232.200', 443)","('216.58.199.106', 443)",0.125,3
87,"('52.114.32.35', 3478)","('216.58.199.106', 443)",0.125,3
88,"('52.114.32.35', 3478)","('108.177.97.188', 5228)",0.125,3
89,"('52.114.32.35', 3478)","('142.250.204.138', 443)",0.125,3
90,"('52.114.159.34', 443)","('20.185.212.106', 443)",0.125,3
91,"('23.102.231.223', 3480)","('216.58.199.106', 443)",0.125,3
92,"('23.102.231.223', 3480)","('142.250.204.138', 443)",0.125,3
93,"('23.102.231.223', 3480)","('108.177.97.188', 5228)",0.125,3
94,"('52.114.159.34', 443)","('192.229.232.200', 443)",0.125,3
95,"('52.114.159.34', 443)","('52.114.36.140', 443)",0.125,3
96,"('52.114.159.34', 443)","('13.76.153.29', 443)",0.125,3
97,"('52.114.159.34', 443)","('172.217.161.138', 443)",0.125,3
98,"('52.114.159.34', 443)","('52.148.70.235', 3478)",0.125,3
99,"('172.217.161.138', 443)","('108.177.97.188', 5228)",0.0,3
100,"('172.217.161.138', 443)","('13.76.153.29', 443)",0.0,3
101,"('172.217.161.138', 443)","('216.58.199.106', 443)",0.0,3
102,"('172.217.161.138', 443)","('192.229.232.200', 443)",0.0,3
103,"('13.76.153.29', 443)","('108.177.97.188', 5228)",0.0,3
104,"('108.177.97.188', 5228)","('192.229.232.200', 443)",0.0,3
105,"('108.177.97.188', 5228)","('216.58.199.106', 443)",0.0,3
106,"('142.250.204.138', 443)","('108.177.97.188', 5228)",0.0,3
107,"('52.148.70.235', 3478)","('108.177.97.188', 5228)",0.0,3
108,"('142.250.204.138', 443)","('172.217.161.138', 443)",0.0,3
109,"('52.148.70.235', 3478)","('216.58.199.106', 443)",0.0,3
110,"('52.148.70.235', 3478)","('192.229.232.200', 443)",0.0,3
111,"('20.185.212.106', 443)","('142.250.204.138', 443)",0.0,3
112,"('52.148.70.235', 3478)","('13.76.153.29', 443)",0.0,3
113,"('52.148.70.235', 3478)","('142.250.204.138', 443)",0.0,3
114,"('52.114.159.34', 443)","('142.250.204.138', 443)",0.0,3
115,"('52.114.159.34', 443)","('108.177.97.188', 5228)",0.0,3
116,"('52.114.36.140', 443)","('172.217.161.138', 443)",0.0,3
117,"('52.114.36.140', 443)","('52.148.70.235', 3478)",0.0,3
118,"('20.185.212.106', 443)","('216.58.199.106', 443)",0.0,3
119,"('52.114.159.34', 443)","('216.58.199.106', 443)",0.0,3
120,"('20.185.212.106', 443)","('108.177.97.188', 5228)",0.0,3
121,"('20.185.212.106', 443)","('172.217.161.138', 443)",0.0,3
122,"('13.75.110.212', 3480)","('142.250.66.35', 443)",1.0,4
123,"('13.75.110.212', 3480)","('52.114.32.141', 443)",0.75,4
124,"('13.75.110.212', 3480)","('40.74.219.49', 443)",0.75,4
