,source,target,weight,graph_id
0,"('13.227.53.14', 443)","('54.192.23.107', 443)",,1
1,"('13.224.155.51', 443)","('13.224.155.35', 443)",,1
2,"('13.227.53.17', 443)","('74.125.68.188', 5228)",,1
3,"('13.227.53.17', 443)","('13.224.155.41', 443)",,1
4,"('13.224.155.35', 443)","('74.125.68.188', 5228)",,1
5,"('13.224.155.35', 443)","('13.224.155.41', 443)",,1
6,"('13.224.155.35', 443)","('13.227.53.17', 443)",,1
7,"('13.224.155.51', 443)","('74.125.68.188', 5228)",,1
8,"('13.224.155.51', 443)","('13.224.155.41', 443)",,1
9,"('13.224.155.51', 443)","('13.227.53.17', 443)",,1
10,"('54.192.23.107', 443)","('74.125.68.188', 5228)",,1
11,"('13.227.53.14', 443)","('13.224.155.51', 443)",,1
12,"('54.192.23.107', 443)","('13.224.155.41', 443)",,1
13,"('54.192.23.107', 443)","('13.227.53.17', 443)",,1
14,"('54.192.23.107', 443)","('13.224.155.35', 443)",,1
15,"('54.192.23.107', 443)","('13.224.155.51', 443)",,1
16,"('13.227.53.14', 443)","('74.125.68.188', 5228)",,1
17,"('13.227.53.14', 443)","('13.224.155.41', 443)",,1
18,"('13.227.53.14', 443)","('13.227.53.17', 443)",,1
19,"('13.227.53.14', 443)","('13.224.155.35', 443)",,1
20,"('13.224.155.41', 443)","('74.125.68.188', 5228)",,1
21,"('13.35.15.87', 443)","('13.35.15.8', 443)",1.0,2
22,"('13.35.15.87', 443)","('13.227.231.58', 443)",1.0,2
23,"('13.35.15.8', 443)","('13.227.231.58', 443)",1.0,2
24,"('13.35.15.105', 443)","('172.217.194.188', 5228)",1.0,2
25,"('13.35.15.87', 443)","('13.227.231.63', 443)",0.5,2
26,"('13.35.15.87', 443)","('13.35.15.105', 443)",0.5,2
27,"('13.35.15.87', 443)","('172.217.194.188', 5228)",0.5,2
28,"('13.35.15.8', 443)","('13.35.15.105', 443)",0.5,2
29,"('13.35.15.8', 443)","('172.217.194.188', 5228)",0.5,2
30,"('13.227.231.58', 443)","('13.35.15.105', 443)",0.5,2
31,"('13.227.231.58', 443)","('172.217.194.188', 5228)",0.5,2
32,"('13.35.15.8', 443)","('13.227.231.63', 443)",0.0,2
33,"('13.227.231.58', 443)","('13.227.231.63', 443)",0.0,2
34,"('13.227.231.63', 443)","('13.35.15.105', 443)",0.0,2
35,"('13.227.231.63', 443)","('172.217.194.188', 5228)",0.0,2
36,"('13.35.15.119', 443)","('13.227.231.38', 443)",1.0,3
37,"('13.35.15.58', 443)","('13.35.15.119', 443)",0.5,3
38,"('13.35.15.58', 443)","('13.227.231.58', 443)",0.5,3
39,"('13.227.231.38', 443)","('74.125.68.188', 5228)",0.5,3
40,"('13.227.231.38', 443)","('13.227.231.44', 443)",0.5,3
41,"('172.217.194.138', 443)","('74.125.68.188', 5228)",0.5,3
42,"('172.217.194.138', 443)","('13.227.231.38', 443)",0.5,3
43,"('13.227.231.58', 443)","('74.125.68.188', 5228)",0.5,3
44,"('13.227.231.58', 443)","('13.227.231.38', 443)",0.5,3
45,"('13.227.231.58', 443)","('172.217.194.138', 443)",0.5,3
46,"('13.35.15.119', 443)","('74.125.68.188', 5228)",0.5,3
47,"('13.35.15.119', 443)","('13.227.231.44', 443)",0.5,3
48,"('13.35.15.119', 443)","('172.217.194.138', 443)",0.5,3
49,"('13.35.15.119', 443)","('13.227.231.58', 443)",0.5,3
50,"('13.35.15.58', 443)","('74.125.68.188', 5228)",0.5,3
51,"('13.35.15.58', 443)","('13.227.231.38', 443)",0.5,3
52,"('13.35.15.58', 443)","('172.217.194.138', 443)",0.5,3
53,"('13.227.231.58', 443)","('13.227.231.44', 443)",0.0,3
54,"('172.217.194.138', 443)","('13.227.231.44', 443)",0.0,3
55,"('13.35.15.58', 443)","('13.227.231.44', 443)",0.0,3
