,source,target,weight,graph_id
0,"('91.108.56.164', 5222)","('91.108.56.164', 443)",1.0,1
1,"('91.108.56.164', 443)","('64.233.187.188', 5228)",0.6666666666666666,1
2,"('91.108.56.164', 5222)","('64.233.187.188', 5228)",0.0,1
3,"('91.108.56.101', 443)","('47.246.75.124', 443)",1.0,2
4,"('91.108.56.101', 443)","('47.246.75.12', 80)",1.0,2
5,"('91.108.56.101', 443)","('203.113.180.207', 443)",0.5,2
6,"('91.108.56.101', 443)","('172.217.174.202', 443)",0.5,2
7,"('203.113.180.207', 443)","('47.246.75.12', 80)",0.5,2
8,"('47.246.75.124', 443)","('172.217.174.202', 443)",0.5,2
9,"('203.113.180.207', 443)","('47.246.75.124', 443)",0.0,2
10,"('203.113.180.207', 443)","('172.217.174.202', 443)",0.0,2
11,"('47.246.75.124', 443)","('47.246.75.12', 80)",0.0,2
12,"('47.246.75.12', 80)","('172.217.174.202', 443)",0.0,2
13,"('172.217.174.202', 443)","('91.108.56.156', 443)",1.0,3
14,"('91.108.56.156', 443)","('52.220.40.44', 443)",0.5,3
15,"('91.108.56.156', 443)","('142.250.115.188', 443)",0.5,3
16,"('91.108.56.156', 443)","('52.77.117.182', 443)",0.5,3
17,"('172.217.174.202', 443)","('52.220.40.44', 443)",0.0,3
18,"('172.217.174.202', 443)","('142.250.115.188', 443)",0.0,3
19,"('172.217.174.202', 443)","('52.77.117.182', 443)",0.0,3
20,"('52.220.40.44', 443)","('142.250.115.188', 443)",0.0,3
21,"('52.220.40.44', 443)","('52.77.117.182', 443)",0.0,3
22,"('142.250.115.188', 443)","('52.77.117.182', 443)",0.0,3
23,"('91.108.56.164', 443)","('47.246.75.13', 80)",1.0,4
24,"('91.108.56.164', 443)","('47.89.88.77', 80)",1.0,4
25,"('91.108.56.164', 443)","('91.108.56.164', 5222)",1.0,4
26,"('47.246.75.13', 80)","('47.89.88.77', 80)",0.0,4
27,"('47.246.75.13', 80)","('91.108.56.164', 5222)",0.0,4
28,"('47.89.88.77', 80)","('91.108.56.164', 5222)",0.0,4
29,"('103.73.195.18', 443)","('91.108.56.156', 5222)",1.0,5
30,"('91.108.56.156', 443)","('91.108.56.156', 5222)",1.0,5
31,"('91.108.56.156', 5222)","('52.76.156.186', 443)",0.6666666666666666,5
32,"('103.73.195.18', 443)","('91.108.56.156', 443)",0.3333333333333333,5
33,"('91.108.56.156', 443)","('52.76.156.186', 443)",0.3333333333333333,5
34,"('103.73.195.18', 443)","('52.76.156.186', 443)",0.0,5
35,"('91.108.9.50', 590)","('91.108.16.4', 599)",1.0,6
36,"('91.108.9.50', 590)","('91.108.12.2', 599)",1.0,6
37,"('91.108.16.4', 599)","('91.108.12.2', 599)",1.0,6
38,"('91.108.56.168', 443)","('91.108.9.50', 590)",0.0,6
39,"('91.108.56.168', 443)","('91.108.16.4', 599)",0.0,6
