,source,target,weight,graph_id
0,"('103.90.220.87', 443)","('172.67.174.3', 443)",1.0,1
1,"('103.90.220.87', 443)","('104.21.96.71', 443)",0.8,1
2,"('172.67.174.3', 443)","('104.21.96.71', 443)",0.6,1
3,"('103.90.220.87', 443)","('52.41.140.130', 443)",0.4,1
4,"('172.67.174.3', 443)","('52.41.140.130', 443)",0.4,1
5,"('103.90.220.87', 443)","('52.38.215.191', 443)",0.2,1
6,"('103.90.220.87', 443)","('35.155.235.224', 443)",0.2,1
7,"('172.67.174.3', 443)","('52.38.215.191', 443)",0.2,1
8,"('172.67.174.3', 443)","('35.155.235.224', 443)",0.2,1
9,"('104.21.96.71', 443)","('52.41.140.130', 443)",0.2,1
10,"('104.21.96.71', 443)","('52.38.215.191', 443)",0.2,1
11,"('104.21.96.71', 443)","('35.155.235.224', 443)",0.2,1
12,"('52.41.140.130', 443)","('35.155.235.224', 443)",0.2,1
13,"('52.41.140.130', 443)","('52.38.215.191', 443)",0.0,1
14,"('52.38.215.191', 443)","('35.155.235.224', 443)",0.0,1
15,"('216.58.199.106', 443)","('142.250.199.74', 443)",1.0,2
16,"('104.21.96.71', 443)","('172.67.174.3', 443)",1.0,2
17,"('216.58.199.106', 443)","('52.76.249.85', 443)",1.0,2
18,"('216.58.199.106', 443)","('172.67.174.3', 443)",1.0,2
19,"('216.58.199.106', 443)","('52.165.130.251', 443)",0.5,2
20,"('142.250.199.74', 443)","('52.177.138.113', 443)",0.5,2
21,"('52.165.130.251', 443)","('52.177.138.113', 443)",0.5,2
22,"('216.58.199.106', 443)","('142.250.66.106', 443)",0.5,2
23,"('104.21.96.71', 443)","('216.58.199.106', 443)",0.5,2
24,"('216.58.199.106', 443)","('104.214.150.122', 443)",0.5,2
25,"('142.250.66.106', 443)","('52.165.130.251', 443)",0.5,2
26,"('216.58.199.106', 443)","('52.177.138.113', 443)",0.5,2
27,"('216.58.199.106', 443)","('13.227.53.129', 443)",0.5,2
28,"('52.165.130.251', 443)","('104.214.150.122', 443)",0.5,2
29,"('142.250.66.106', 443)","('52.177.138.113', 443)",0.5,2
30,"('142.250.66.106', 443)","('52.76.249.85', 443)",0.5,2
31,"('142.250.66.106', 443)","('104.214.150.122', 443)",0.5,2
32,"('142.250.66.74', 443)","('52.177.138.113', 443)",0.5,2
33,"('142.250.66.74', 443)","('104.214.150.122', 443)",0.5,2
34,"('142.250.66.74', 443)","('52.165.130.251', 443)",0.5,2
35,"('142.250.66.74', 443)","('142.250.199.74', 443)",0.5,2
36,"('172.67.174.3', 443)","('13.227.53.129', 443)",0.5,2
37,"('142.250.199.74', 443)","('52.165.130.251', 443)",0.5,2
38,"('52.76.249.85', 443)","('52.177.138.113', 443)",0.5,2
39,"('52.76.249.85', 443)","('104.214.150.122', 443)",0.5,2
40,"('52.76.249.85', 443)","('52.165.130.251', 443)",0.5,2
41,"('52.76.249.85', 443)","('142.250.199.74', 443)",0.5,2
42,"('104.214.150.122', 443)","('52.177.138.113', 443)",0.5,2
43,"('142.250.66.74', 443)","('216.58.199.106', 443)",0.5,2
44,"('142.250.66.74', 443)","('142.250.66.106', 443)",0.5,2
45,"('142.250.66.74', 443)","('52.76.249.85', 443)",0.5,2
46,"('142.250.199.74', 443)","('104.214.150.122', 443)",0.5,2
47,"('142.250.66.106', 443)","('142.250.199.74', 443)",0.5,2
48,"('142.250.199.74', 443)","('13.227.53.129', 443)",0.0,2
49,"('104.21.96.71', 443)","('142.250.66.74', 443)",0.0,2
50,"('172.67.174.3', 443)","('104.214.150.122', 443)",0.0,2
51,"('52.165.130.251', 443)","('13.227.53.129', 443)",0.0,2
52,"('104.214.150.122', 443)","('13.227.53.129', 443)",0.0,2
53,"('52.177.138.113', 443)","('13.227.53.129', 443)",0.0,2
54,"('172.67.174.3', 443)","('52.177.138.113', 443)",0.0,2
55,"('142.250.66.106', 443)","('13.227.53.129', 443)",0.0,2
56,"('172.67.174.3', 443)","('52.165.130.251', 443)",0.0,2
57,"('142.250.66.74', 443)","('13.227.53.129', 443)",0.0,2
58,"('104.21.96.71', 443)","('142.250.66.106', 443)",0.0,2
59,"('104.21.96.71', 443)","('52.76.249.85', 443)",0.0,2
60,"('104.21.96.71', 443)","('142.250.199.74', 443)",0.0,2
61,"('104.21.96.71', 443)","('52.165.130.251', 443)",0.0,2
62,"('104.21.96.71', 443)","('104.214.150.122', 443)",0.0,2
63,"('104.21.96.71', 443)","('52.177.138.113', 443)",0.0,2
64,"('104.21.96.71', 443)","('13.227.53.129', 443)",0.0,2
65,"('142.250.66.74', 443)","('172.67.174.3', 443)",0.0,2
66,"('172.67.174.3', 443)","('142.250.199.74', 443)",0.0,2
67,"('142.250.66.106', 443)","('172.67.174.3', 443)",0.0,2
68,"('52.76.249.85', 443)","('172.67.174.3', 443)",0.0,2
69,"('52.76.249.85', 443)","('13.227.53.129', 443)",0.0,2
70,"('172.67.174.3', 443)","('103.39.92.43', 443)",1.0,3
71,"('103.90.220.76', 443)","('103.39.92.43', 443)",0.75,3
72,"('103.90.220.87', 443)","('103.3.252.155', 80)",0.75,3
73,"('103.90.220.87', 443)","('103.39.92.43', 443)",0.75,3
74,"('103.3.252.155', 80)","('103.39.92.43', 443)",0.75,3
75,"('103.3.252.155', 443)","('103.39.92.43', 443)",0.5,3
76,"('103.90.220.87', 443)","('172.67.174.3', 443)",0.5,3
77,"('172.67.174.3', 443)","('14.225.236.11', 443)",0.5,3
78,"('172.67.174.3', 443)","('103.3.252.155', 80)",0.5,3
79,"('103.3.252.155', 443)","('103.3.252.155', 80)",0.5,3
80,"('103.90.220.76', 443)","('103.3.252.155', 443)",0.5,3
81,"('103.90.220.76', 443)","('172.67.174.3', 443)",0.5,3
82,"('14.225.236.11', 443)","('103.3.252.155', 80)",0.5,3
83,"('14.225.236.11', 443)","('103.39.92.43', 443)",0.5,3
84,"('103.90.220.87', 443)","('14.225.236.11', 443)",0.5,3
85,"('172.67.174.3', 443)","('103.21.150.163', 443)",0.25,3
86,"('172.67.174.3', 443)","('103.90.220.91', 443)",0.25,3
87,"('14.225.236.11', 443)","('69.171.250.15', 443)",0.25,3
88,"('14.225.236.11', 443)","('103.3.252.155', 443)",0.25,3
89,"('18.136.147.153', 443)","('103.39.92.43', 443)",0.25,3
90,"('172.67.174.3', 443)","('103.3.252.155', 443)",0.25,3
91,"('103.3.252.155', 80)","('103.90.220.91', 443)",0.25,3
92,"('69.171.250.15', 443)","('103.3.252.155', 80)",0.25,3
93,"('103.90.220.76', 443)","('103.21.150.163', 443)",0.25,3
94,"('103.90.220.76', 443)","('103.3.252.155', 80)",0.25,3
95,"('103.39.92.43', 443)","('103.90.220.91', 443)",0.25,3
96,"('103.90.220.76', 443)","('18.136.147.153', 443)",0.25,3
97,"('103.90.220.76', 443)","('14.225.236.11', 443)",0.25,3
98,"('103.39.92.43', 443)","('103.21.150.163', 443)",0.25,3
99,"('103.90.220.87', 443)","('103.90.220.91', 443)",0.25,3
100,"('103.90.220.87', 443)","('103.3.252.155', 443)",0.25,3
101,"('103.90.220.87', 443)","('69.171.250.15', 443)",0.25,3
102,"('103.90.220.87', 443)","('18.136.147.153', 443)",0.25,3
103,"('69.171.250.15', 443)","('103.21.150.163', 443)",0.0,3
104,"('69.171.250.15', 443)","('103.90.220.91', 443)",0.0,3
105,"('103.90.220.87', 443)","('103.90.220.76', 443)",0.0,3
106,"('103.3.252.155', 443)","('103.90.220.91', 443)",0.0,3
107,"('103.3.252.155', 443)","('103.21.150.163', 443)",0.0,3
108,"('103.3.252.155', 80)","('103.21.150.163', 443)",0.0,3
109,"('69.171.250.15', 443)","('103.39.92.43', 443)",0.0,3
110,"('14.225.236.11', 443)","('18.136.147.153', 443)",0.0,3
111,"('69.171.250.15', 443)","('103.3.252.155', 443)",0.0,3
112,"('18.136.147.153', 443)","('103.21.150.163', 443)",0.0,3
113,"('18.136.147.153', 443)","('103.90.220.91', 443)",0.0,3
114,"('18.136.147.153', 443)","('103.3.252.155', 80)",0.0,3
115,"('18.136.147.153', 443)","('103.3.252.155', 443)",0.0,3
116,"('18.136.147.153', 443)","('69.171.250.15', 443)",0.0,3
117,"('14.225.236.11', 443)","('103.21.150.163', 443)",0.0,3
118,"('14.225.236.11', 443)","('103.90.220.91', 443)",0.0,3
119,"('172.67.174.3', 443)","('69.171.250.15', 443)",0.0,3
120,"('172.67.174.3', 443)","('18.136.147.153', 443)",0.0,3
121,"('103.90.220.76', 443)","('103.90.220.91', 443)",0.0,3
122,"('103.90.220.76', 443)","('69.171.250.15', 443)",0.0,3
123,"('103.90.220.87', 443)","('103.21.150.163', 443)",0.0,3
124,"('103.90.220.91', 443)","('103.21.150.163', 443)",0.0,3
125,"('103.90.220.76', 443)","('172.67.174.3', 443)",1.0,4
126,"('172.67.174.3', 443)","('104.21.96.71', 443)",0.75,4
127,"('103.90.220.76', 443)","('104.21.96.71', 443)",0.75,4
128,"('103.90.220.76', 443)","('69.171.250.15', 443)",0.5,4
129,"('104.197.216.164', 443)","('69.171.250.15', 443)",0.5,4
130,"('103.90.220.76', 443)","('104.197.216.164', 443)",0.5,4
131,"('69.171.250.15', 443)","('104.21.96.71', 443)",0.25,4
132,"('104.197.216.164', 443)","('104.21.96.71', 443)",0.25,4
133,"('142.250.66.138', 443)","('216.58.200.4', 443)",0.25,4
134,"('172.67.174.3', 443)","('69.171.250.15', 443)",0.25,4
135,"('172.67.174.3', 443)","('104.197.216.164', 443)",0.25,4
136,"('103.90.220.76', 443)","('216.58.200.4', 443)",0.25,4
137,"('103.90.220.76', 443)","('142.250.66.138', 443)",0.25,4
138,"('172.67.174.3', 443)","('142.250.66.138', 443)",0.0,4
139,"('104.197.216.164', 443)","('142.250.66.138', 443)",0.0,4
