,source,target,weight,graph_id
0,"('172.67.68.237', 443)","('142.250.204.86', 443)",1.0,1
1,"('172.67.68.237', 443)","('125.212.247.5', 443)",1.0,1
2,"('172.67.68.237', 443)","('142.250.204.129', 443)",0.75,1
3,"('172.67.68.237', 443)","('216.58.220.206', 443)",0.75,1
4,"('172.67.68.237', 443)","('104.26.6.119', 443)",0.5,1
5,"('125.212.247.5', 443)","('142.250.204.86', 443)",0.5,1
6,"('64.233.187.188', 5228)","('216.58.220.206', 443)",0.5,1
7,"('157.245.147.79', 443)","('216.58.220.206', 443)",0.5,1
8,"('157.245.147.79', 443)","('64.233.187.188', 5228)",0.5,1
9,"('142.250.204.86', 443)","('216.58.220.206', 443)",0.5,1
10,"('142.250.204.86', 443)","('64.233.187.188', 5228)",0.5,1
11,"('142.250.204.86', 443)","('157.245.147.79', 443)",0.5,1
12,"('142.250.204.129', 443)","('216.58.220.206', 443)",0.5,1
13,"('142.250.204.129', 443)","('64.233.187.188', 5228)",0.5,1
14,"('142.250.204.129', 443)","('157.245.147.79', 443)",0.5,1
15,"('142.250.204.129', 443)","('142.250.204.86', 443)",0.5,1
16,"('172.67.68.237', 443)","('64.233.187.188', 5228)",0.5,1
17,"('172.67.68.237', 443)","('157.245.147.79', 443)",0.5,1
18,"('172.67.68.237', 443)","('142.250.66.34', 443)",0.5,1
19,"('125.212.247.5', 443)","('104.26.7.119', 443)",0.25,1
20,"('104.26.6.119', 443)","('142.250.204.86', 443)",0.25,1
21,"('104.26.6.119', 443)","('216.58.220.206', 443)",0.25,1
22,"('104.26.6.119', 443)","('157.245.147.79', 443)",0.25,1
23,"('125.212.247.5', 443)","('142.250.66.34', 443)",0.25,1
24,"('104.26.6.119', 443)","('142.250.204.129', 443)",0.25,1
25,"('172.67.68.237', 443)","('183.80.129.17', 443)",0.25,1
26,"('172.67.68.237', 443)","('104.26.7.119', 443)",0.25,1
27,"('104.26.6.119', 443)","('64.233.187.188', 5228)",0.25,1
28,"('125.212.247.5', 443)","('142.250.204.129', 443)",0.25,1
29,"('142.250.204.86', 443)","('142.250.66.34', 443)",0.25,1
30,"('183.80.129.17', 443)","('216.58.220.206', 443)",0.0,1
31,"('183.80.129.17', 443)","('142.250.66.34', 443)",0.0,1
32,"('104.26.6.119', 443)","('104.26.7.119', 443)",0.0,1
33,"('157.245.147.79', 443)","('142.250.66.34', 443)",0.0,1
34,"('157.245.147.79', 443)","('104.26.7.119', 443)",0.0,1
35,"('183.80.129.17', 443)","('64.233.187.188', 5228)",0.0,1
36,"('64.233.187.188', 5228)","('104.26.7.119', 443)",0.0,1
37,"('64.233.187.188', 5228)","('142.250.66.34', 443)",0.0,1
38,"('104.26.7.119', 443)","('216.58.220.206', 443)",0.0,1
39,"('104.26.7.119', 443)","('142.250.66.34', 443)",0.0,1
40,"('183.80.129.17', 443)","('104.26.7.119', 443)",0.0,1
41,"('104.26.6.119', 443)","('125.212.247.5', 443)",0.0,1
42,"('183.80.129.17', 443)","('157.245.147.79', 443)",0.0,1
43,"('142.250.204.86', 443)","('104.26.7.119', 443)",0.0,1
44,"('142.250.204.86', 443)","('183.80.129.17', 443)",0.0,1
45,"('142.250.204.129', 443)","('142.250.66.34', 443)",0.0,1
46,"('142.250.204.129', 443)","('104.26.7.119', 443)",0.0,1
47,"('104.26.6.119', 443)","('183.80.129.17', 443)",0.0,1
48,"('142.250.204.129', 443)","('183.80.129.17', 443)",0.0,1
49,"('125.212.247.5', 443)","('216.58.220.206', 443)",0.0,1
50,"('125.212.247.5', 443)","('64.233.187.188', 5228)",0.0,1
51,"('125.212.247.5', 443)","('157.245.147.79', 443)",0.0,1
52,"('125.212.247.5', 443)","('183.80.129.17', 443)",0.0,1
53,"('104.26.6.119', 443)","('142.250.66.34', 443)",0.0,1
54,"('216.58.220.206', 443)","('142.250.66.34', 443)",0.0,1
55,"('69.171.250.15', 443)","('96.17.72.51', 443)",1.0,2
56,"('69.171.250.15', 443)","('172.217.163.234', 443)",0.5,2
57,"('104.26.6.119', 443)","('172.217.161.130', 443)",0.5,2
58,"('172.217.31.234', 443)","('172.217.161.130', 443)",0.5,2
59,"('96.17.72.51', 443)","('172.217.163.234', 443)",0.5,2
60,"('69.171.250.15', 443)","('96.17.72.49', 443)",0.5,2
61,"('96.17.72.49', 443)","('172.217.163.234', 443)",0.5,2
62,"('96.17.72.49', 443)","('96.17.72.51', 443)",0.5,2
63,"('104.26.6.119', 443)","('96.17.72.58', 443)",0.5,2
64,"('104.26.6.119', 443)","('172.217.31.234', 443)",0.5,2
65,"('96.17.72.49', 443)","('96.17.72.58', 443)",0.0,2
66,"('96.17.72.49', 443)","('172.217.31.234', 443)",0.0,2
67,"('96.17.72.49', 443)","('172.217.161.130', 443)",0.0,2
68,"('96.17.72.51', 443)","('172.217.31.234', 443)",0.0,2
69,"('96.17.72.51', 443)","('172.217.161.130', 443)",0.0,2
70,"('96.17.72.58', 443)","('172.217.31.234', 443)",0.0,2
71,"('96.17.72.58', 443)","('172.217.161.130', 443)",0.0,2
72,"('96.17.72.58', 443)","('172.217.163.234', 443)",0.0,2
73,"('172.217.31.234', 443)","('172.217.163.234', 443)",0.0,2
74,"('96.17.72.51', 443)","('96.17.72.58', 443)",0.0,2
75,"('69.171.250.15', 443)","('172.217.31.234', 443)",0.0,2
76,"('69.171.250.15', 443)","('172.217.161.130', 443)",0.0,2
77,"('69.171.250.15', 443)","('96.17.72.58', 443)",0.0,2
78,"('104.26.6.119', 443)","('172.217.163.234', 443)",0.0,2
79,"('104.26.6.119', 443)","('96.17.72.51', 443)",0.0,2
80,"('104.26.6.119', 443)","('96.17.72.49', 443)",0.0,2
81,"('104.26.6.119', 443)","('69.171.250.15', 443)",0.0,2
82,"('172.217.161.130', 443)","('172.217.163.234', 443)",0.0,2
83,"('52.219.40.58', 443)","('172.67.68.237', 443)",1.0,3
84,"('142.250.66.66', 443)","('142.250.204.34', 443)",0.8,3
85,"('142.250.204.66', 443)","('142.250.204.34', 443)",0.8,3
86,"('142.250.66.66', 443)","('142.250.204.66', 443)",0.8,3
87,"('142.250.204.34', 443)","('142.250.199.66', 443)",0.6,3
88,"('142.250.66.66', 443)","('142.250.199.66', 443)",0.6,3
89,"('142.250.204.34', 443)","('216.58.199.98', 443)",0.4,3
90,"('142.250.204.66', 443)","('216.58.199.98', 443)",0.4,3
91,"('142.250.204.66', 443)","('142.250.199.66', 443)",0.4,3
92,"('142.250.204.66', 443)","('172.67.68.237', 443)",0.4,3
93,"('125.212.247.8', 443)","('172.67.68.237', 443)",0.4,3
94,"('142.250.66.66', 443)","('216.58.199.98', 443)",0.4,3
95,"('52.219.40.58', 443)","('142.250.66.66', 443)",0.4,3
96,"('52.219.40.58', 443)","('142.250.204.66', 443)",0.4,3
97,"('142.250.199.66', 443)","('216.58.199.98', 443)",0.4,3
98,"('52.219.40.58', 443)","('125.212.247.8', 443)",0.4,3
99,"('142.250.204.66', 443)","('74.125.204.188', 5228)",0.4,3
100,"('142.250.204.34', 443)","('74.125.204.188', 5228)",0.2,3
101,"('142.250.204.34', 443)","('210.211.99.211', 443)",0.2,3
102,"('142.250.204.34', 443)","('104.21.30.10', 80)",0.2,3
103,"('142.250.204.34', 443)","('172.67.68.237', 443)",0.2,3
104,"('125.212.247.8', 443)","('74.125.204.188', 5228)",0.2,3
105,"('172.67.68.237', 443)","('74.125.204.188', 5228)",0.2,3
106,"('142.250.199.66', 443)","('210.211.99.211', 443)",0.2,3
107,"('142.250.199.66', 443)","('104.21.30.10', 80)",0.2,3
108,"('210.211.99.211', 443)","('104.21.30.10', 80)",0.2,3
109,"('142.250.66.66', 443)","('74.125.204.188', 5228)",0.2,3
110,"('142.250.66.66', 443)","('125.212.247.8', 443)",0.2,3
111,"('142.250.204.66', 443)","('125.212.247.8', 443)",0.2,3
112,"('52.219.40.58', 443)","('74.125.204.188', 5228)",0.2,3
113,"('142.250.66.66', 443)","('104.21.30.10', 80)",0.2,3
114,"('52.219.40.58', 443)","('142.250.204.34', 443)",0.2,3
115,"('142.250.66.66', 443)","('210.211.99.211', 443)",0.2,3
116,"('142.250.66.66', 443)","('172.67.68.237', 443)",0.2,3
