,source,target,weight,graph_id
0,"('52.219.36.147', 80)","('52.219.36.67', 80)",1.0,1
1,"('52.219.36.147', 80)","('13.251.179.182', 80)",1.0,1
2,"('52.219.36.147', 80)","('108.177.97.188', 5228)",1.0,1
3,"('52.219.36.147', 80)","('216.58.220.202', 443)",1.0,1
4,"('52.219.36.147', 80)","('142.250.66.42', 443)",1.0,1
5,"('52.219.36.67', 80)","('216.58.220.202', 443)",1.0,1
6,"('52.219.36.67', 80)","('142.250.66.42', 443)",1.0,1
7,"('216.58.220.202', 443)","('142.250.66.42', 443)",1.0,1
8,"('52.219.36.67', 80)","('13.251.179.182', 80)",0.0,1
9,"('52.219.36.67', 80)","('108.177.97.188', 5228)",0.0,1
10,"('13.251.179.182', 80)","('108.177.97.188', 5228)",0.0,1
11,"('13.251.179.182', 80)","('216.58.220.202', 443)",0.0,1
12,"('13.251.179.182', 80)","('142.250.66.42', 443)",0.0,1
13,"('108.177.97.188', 5228)","('216.58.220.202', 443)",0.0,1
14,"('108.177.97.188', 5228)","('142.250.66.42', 443)",0.0,1
15,"('13.251.179.182', 80)","('64.233.187.188', 5228)",1.0,2
16,"('216.58.221.229', 443)","('114.119.188.210', 5223)",1.0,2
17,"('13.251.179.182', 80)","('216.58.221.229', 443)",0.0,2
18,"('13.251.179.182', 80)","('114.119.188.210', 5223)",0.0,2
19,"('216.58.221.229', 443)","('64.233.187.188', 5228)",0.0,2
20,"('64.233.187.188', 5228)","('114.119.188.210', 5223)",0.0,2
21,"('52.219.128.131', 80)","('142.250.204.74', 443)",1.0,3
22,"('52.219.128.131', 80)","('172.217.31.234', 443)",0.6666666666666666,3
23,"('52.219.128.131', 80)","('172.217.25.10', 443)",0.6666666666666666,3
24,"('52.219.128.131', 80)","('64.233.187.188', 5228)",0.6666666666666666,3
25,"('172.217.31.234', 443)","('142.250.204.74', 443)",0.6666666666666666,3
26,"('52.219.128.131', 80)","('52.219.132.247', 80)",0.3333333333333333,3
27,"('172.217.25.10', 443)","('64.233.187.188', 5228)",0.3333333333333333,3
28,"('142.250.204.74', 443)","('114.119.188.210', 5223)",0.3333333333333333,3
29,"('142.250.204.74', 443)","('64.233.187.188', 5228)",0.3333333333333333,3
30,"('142.250.204.74', 443)","('172.217.25.10', 443)",0.3333333333333333,3
31,"('172.217.31.234', 443)","('114.119.188.210', 5223)",0.3333333333333333,3
32,"('172.217.31.234', 443)","('64.233.187.188', 5228)",0.3333333333333333,3
33,"('172.217.31.234', 443)","('172.217.25.10', 443)",0.3333333333333333,3
34,"('52.219.128.131', 80)","('114.119.188.210', 5223)",0.3333333333333333,3
35,"('52.219.132.247', 80)","('142.250.204.74', 443)",0.0,3
36,"('52.219.132.247', 80)","('172.217.25.10', 443)",0.0,3
37,"('52.219.132.247', 80)","('64.233.187.188', 5228)",0.0,3
38,"('52.219.132.247', 80)","('114.119.188.210', 5223)",0.0,3
39,"('172.217.31.234', 443)","('52.219.132.247', 80)",0.0,3
40,"('172.217.25.10', 443)","('114.119.188.210', 5223)",0.0,3
41,"('64.233.187.188', 5228)","('114.119.188.210', 5223)",0.0,3
42,"('52.219.129.59', 80)","('52.219.40.151', 80)",1.0,4
43,"('142.250.204.138', 443)","('172.217.174.202', 443)",0.5,4
44,"('142.250.204.138', 443)","('216.58.200.74', 443)",0.5,4
45,"('52.219.40.151', 80)","('142.250.199.74', 443)",0.5,4
46,"('52.219.40.151', 80)","('52.219.133.39', 80)",0.5,4
47,"('52.219.40.151', 80)","('142.250.204.138', 443)",0.5,4
48,"('52.219.129.59', 80)","('142.250.199.74', 443)",0.5,4
49,"('216.58.200.74', 443)","('172.217.174.202', 443)",0.5,4
50,"('52.219.129.59', 80)","('216.58.200.74', 443)",0.3333333333333333,4
51,"('216.58.199.106', 443)","('172.217.174.202', 443)",0.3333333333333333,4
52,"('52.219.40.151', 80)","('172.217.174.202', 443)",0.3333333333333333,4
53,"('52.219.40.151', 80)","('216.58.200.74', 443)",0.3333333333333333,4
54,"('216.58.199.106', 443)","('52.219.40.151', 80)",0.3333333333333333,4
55,"('52.219.129.59', 80)","('172.217.174.202', 443)",0.3333333333333333,4
56,"('52.219.129.59', 80)","('52.219.133.39', 80)",0.3333333333333333,4
57,"('142.250.204.138', 443)","('13.251.179.182', 80)",0.3333333333333333,4
58,"('142.250.204.138', 443)","('142.250.199.74', 443)",0.3333333333333333,4
59,"('216.58.199.106', 443)","('142.250.204.138', 443)",0.3333333333333333,4
60,"('216.58.199.106', 443)","('142.250.199.74', 443)",0.3333333333333333,4
61,"('52.219.40.151', 80)","('13.251.179.182', 80)",0.3333333333333333,4
62,"('52.219.129.59', 80)","('142.250.204.138', 443)",0.3333333333333333,4
63,"('52.219.133.39', 80)","('142.250.199.74', 443)",0.3333333333333333,4
64,"('52.219.129.59', 80)","('216.58.199.106', 443)",0.3333333333333333,4
65,"('52.219.132.15', 80)","('52.219.40.151', 80)",0.3333333333333333,4
66,"('52.219.133.39', 80)","('142.250.204.138', 443)",0.3333333333333333,4
67,"('52.219.132.15', 80)","('52.219.133.39', 80)",0.3333333333333333,4
68,"('52.219.132.15', 80)","('142.250.204.138', 443)",0.3333333333333333,4
69,"('52.219.133.39', 80)","('13.251.179.182', 80)",0.3333333333333333,4
70,"('52.219.132.15', 80)","('13.251.179.182', 80)",0.3333333333333333,4
71,"('216.58.199.106', 443)","('216.58.200.74', 443)",0.3333333333333333,4
72,"('52.219.40.151', 80)","('172.217.24.35', 443)",0.3333333333333333,4
73,"('142.250.199.74', 443)","('172.217.174.202', 443)",0.3333333333333333,4
74,"('142.250.199.74', 443)","('216.58.200.74', 443)",0.3333333333333333,4
75,"('142.250.204.138', 443)","('23.53.213.28', 443)",0.16666666666666666,4
76,"('142.250.204.138', 443)","('172.217.161.170', 443)",0.16666666666666666,4
77,"('52.219.133.39', 80)","('172.217.174.202', 443)",0.16666666666666666,4
78,"('52.219.133.39', 80)","('52.196.2.254', 443)",0.16666666666666666,4
79,"('52.219.133.39', 80)","('23.53.213.28', 443)",0.16666666666666666,4
