,source,target,weight,graph_id
0,"('207.241.228.109', 443)","('207.241.227.125', 443)",1.0,1
1,"('207.241.228.109', 443)","('207.241.224.2', 443)",0.0,1
2,"('207.241.227.125', 443)","('207.241.224.2', 443)",0.0,1
3,"('207.241.228.107', 443)","('207.241.227.116', 443)",1.0,2
4,"('207.241.228.107', 443)","('207.241.224.2', 443)",0.0,2
5,"('207.241.224.2', 443)","('207.241.227.116', 443)",0.0,2
6,"('207.241.228.148', 443)","('207.241.224.2', 443)",1.0,3
7,"('207.241.228.148', 443)","('172.217.194.95', 443)",0.6666666666666666,3
8,"('172.217.194.95', 443)","('207.241.224.2', 443)",0.3333333333333333,3
9,"('207.241.228.148', 443)","('74.125.200.95', 443)",0.0,3
10,"('74.125.200.95', 443)","('172.217.194.95', 443)",0.0,3
11,"('74.125.200.95', 443)","('207.241.224.2', 443)",0.0,3
12,"('207.241.228.109', 443)","('207.241.227.125', 443)",,4
13,"('207.241.228.109', 443)","('207.241.224.2', 443)",,4
14,"('207.241.227.125', 443)","('207.241.224.2', 443)",,4
15,"('207.241.228.109', 443)","('207.241.224.2', 443)",1.0,5
16,"('207.241.227.125', 443)","('207.241.224.2', 443)",1.0,5
17,"('207.241.228.109', 443)","('207.241.227.125', 443)",0.0,5
18,"('207.241.228.109', 443)","('207.241.227.125', 443)",1.0,6
19,"('207.241.228.109', 443)","('207.241.224.2', 443)",0.0,6
20,"('207.241.227.125', 443)","('207.241.224.2', 443)",0.0,6
21,"('207.241.228.101', 443)","('207.241.224.2', 443)",1.0,7
22,"('207.241.228.101', 443)","('207.241.228.148', 443)",0.0,7
23,"('207.241.228.148', 443)","('207.241.224.2', 443)",0.0,7
24,"('207.241.228.107', 443)","('207.241.224.2', 443)",1.0,8
25,"('207.241.228.107', 443)","('207.241.227.116', 443)",0.6666666666666666,8
26,"('207.241.224.2', 443)","('207.241.227.116', 443)",0.6666666666666666,8
27,"('207.241.228.107', 443)","('74.125.24.188', 5228)",0.0,8
28,"('207.241.224.2', 443)","('74.125.24.188', 5228)",0.0,8
29,"('207.241.227.116', 443)","('74.125.24.188', 5228)",0.0,8
30,"('207.241.227.125', 443)","('207.241.224.2', 443)",1.0,9
31,"('207.241.228.109', 443)","('207.241.227.125', 443)",0.6666666666666666,9
32,"('207.241.228.109', 443)","('207.241.224.2', 443)",0.6666666666666666,9
33,"('207.241.228.109', 443)","('74.125.68.188', 5228)",0.0,9
34,"('207.241.227.125', 443)","('74.125.68.188', 5228)",0.0,9
35,"('207.241.224.2', 443)","('74.125.68.188', 5228)",0.0,9
36,"('207.241.228.148', 443)","('207.241.228.101', 443)",1.0,10
37,"('207.241.228.148', 443)","('157.240.13.14', 443)",0.3333333333333333,10
38,"('207.241.228.101', 443)","('157.240.13.14', 443)",0.0,10
39,"('207.241.228.109', 443)","('207.241.227.125', 443)",1.0,11
40,"('207.241.228.109', 443)","('207.241.224.2', 443)",0.6666666666666666,11
41,"('207.241.227.125', 443)","('207.241.224.2', 443)",0.6666666666666666,11
42,"('207.241.228.109', 443)","('74.125.68.188', 5228)",0.0,11
43,"('207.241.227.125', 443)","('74.125.68.188', 5228)",0.0,11
44,"('207.241.224.2', 443)","('74.125.68.188', 5228)",0.0,11
45,"('207.241.228.101', 443)","('74.125.24.154', 443)",1.0,12
46,"('207.241.228.101', 443)","('216.58.211.195', 443)",0.75,12
47,"('207.241.228.101', 443)","('125.234.50.204', 443)",0.5,12
48,"('125.234.50.204', 443)","('171.255.206.172', 443)",0.5,12
49,"('207.241.228.101', 443)","('171.255.206.172', 443)",0.5,12
50,"('171.255.206.172', 443)","('216.58.211.195', 443)",0.5,12
51,"('171.255.206.172', 443)","('74.125.24.154', 443)",0.5,12
52,"('125.234.50.204', 443)","('216.58.211.195', 443)",0.5,12
53,"('125.234.50.204', 443)","('74.125.24.154', 443)",0.5,12
54,"('74.125.24.154', 443)","('216.58.211.195', 443)",0.5,12
55,"('207.241.228.101', 443)","('172.217.194.157', 443)",0.5,12
56,"('74.125.24.154', 443)","('172.217.194.101', 443)",0.25,12
57,"('171.255.206.172', 443)","('108.177.122.94', 443)",0.25,12
58,"('216.58.211.195', 443)","('108.177.122.94', 443)",0.25,12
59,"('216.58.211.195', 443)","('172.217.194.157', 443)",0.25,12
60,"('207.241.228.101', 443)","('172.217.194.101', 443)",0.25,12
61,"('74.125.24.154', 443)","('172.217.194.95', 443)",0.25,12
62,"('74.125.24.154', 443)","('108.177.122.94', 443)",0.25,12
63,"('74.125.24.154', 443)","('172.217.194.132', 443)",0.25,12
64,"('74.125.24.154', 443)","('172.217.194.157', 443)",0.25,12
65,"('172.217.194.132', 443)","('172.217.194.95', 443)",0.25,12
66,"('172.217.194.132', 443)","('172.217.194.101', 443)",0.25,12
67,"('125.234.50.204', 443)","('108.177.122.94', 443)",0.25,12
68,"('172.217.194.95', 443)","('172.217.194.101', 443)",0.25,12
69,"('207.241.228.101', 443)","('172.217.194.95', 443)",0.25,12
70,"('125.234.50.204', 443)","('172.217.194.157', 443)",0.25,12
71,"('171.255.206.172', 443)","('172.217.194.157', 443)",0.25,12
72,"('172.217.194.157', 443)","('108.177.122.94', 443)",0.25,12
73,"('207.241.228.101', 443)","('108.177.122.94', 443)",0.25,12
74,"('207.241.228.101', 443)","('172.217.194.132', 443)",0.25,12
75,"('108.177.122.94', 443)","('172.217.194.101', 443)",0.0,12
76,"('172.217.194.132', 443)","('108.177.122.94', 443)",0.0,12
77,"('172.217.194.157', 443)","('172.217.194.132', 443)",0.0,12
78,"('172.217.194.157', 443)","('172.217.194.101', 443)",0.0,12
79,"('172.217.194.157', 443)","('172.217.194.95', 443)",0.0,12
80,"('108.177.122.94', 443)","('172.217.194.95', 443)",0.0,12
81,"('216.58.211.195', 443)","('172.217.194.101', 443)",0.0,12
82,"('216.58.211.195', 443)","('172.217.194.95', 443)",0.0,12
83,"('216.58.211.195', 443)","('172.217.194.132', 443)",0.0,12
84,"('171.255.206.172', 443)","('172.217.194.101', 443)",0.0,12
85,"('171.255.206.172', 443)","('172.217.194.95', 443)",0.0,12
86,"('171.255.206.172', 443)","('172.217.194.132', 443)",0.0,12
87,"('125.234.50.204', 443)","('172.217.194.101', 443)",0.0,12
88,"('125.234.50.204', 443)","('172.217.194.95', 443)",0.0,12
89,"('125.234.50.204', 443)","('172.217.194.132', 443)",0.0,12
90,"('207.241.228.101', 443)","('207.241.224.2', 443)",1.0,13
91,"('207.241.227.41', 443)","('207.241.224.2', 443)",0.3333333333333333,13
92,"('207.241.228.101', 443)","('207.241.227.41', 443)",0.0,13
93,"('207.241.228.148', 443)","('207.241.224.2', 443)",1.0,14
94,"('172.253.118.95', 443)","('74.125.24.94', 443)",1.0,14
95,"('172.253.118.95', 443)","('172.253.118.113', 443)",1.0,14
96,"('172.253.118.113', 443)","('74.125.24.94', 443)",0.6666666666666666,14
97,"('172.253.118.95', 443)","('74.125.24.95', 443)",0.6666666666666666,14
98,"('74.125.24.94', 443)","('104.18.225.52', 443)",0.6666666666666666,14
99,"('172.253.118.95', 443)","('207.241.227.128', 443)",0.6666666666666666,14
100,"('157.240.13.14', 443)","('74.125.24.94', 443)",0.6666666666666666,14
101,"('172.253.118.113', 443)","('74.125.24.95', 443)",0.6666666666666666,14
102,"('207.241.228.101', 443)","('74.125.200.95', 443)",0.6666666666666666,14
103,"('171.255.206.175', 443)","('74.125.200.95', 443)",0.6666666666666666,14
104,"('207.241.227.128', 443)","('207.241.228.101', 443)",0.6666666666666666,14
105,"('207.241.228.101', 443)","('54.218.178.169', 443)",0.6666666666666666,14
106,"('207.241.228.101', 443)","('171.255.206.175', 443)",0.6666666666666666,14
107,"('207.241.227.128', 443)","('74.125.24.94', 443)",0.6666666666666666,14
108,"('207.241.227.128', 443)","('171.255.206.175', 443)",0.6666666666666666,14
109,"('207.241.227.128', 443)","('172.217.194.95', 443)",0.6666666666666666,14
110,"('207.241.228.101', 443)","('74.125.24.94', 443)",0.6666666666666666,14
111,"('207.241.227.128', 443)","('207.241.224.2', 443)",0.6666666666666666,14
112,"('207.241.227.128', 443)","('74.125.200.95', 443)",0.6666666666666666,14
113,"('172.253.118.113', 443)","('207.241.224.2', 443)",0.3333333333333333,14
114,"('157.240.13.14', 443)","('104.18.225.52', 443)",0.3333333333333333,14
115,"('157.240.13.14', 443)","('171.255.206.175', 443)",0.3333333333333333,14
116,"('172.253.118.113', 443)","('104.18.225.52', 443)",0.3333333333333333,14
117,"('157.240.13.14', 443)","('157.240.7.20', 443)",0.3333333333333333,14
118,"('172.253.118.113', 443)","('74.125.68.95', 443)",0.3333333333333333,14
119,"('172.253.118.113', 443)","('54.218.178.169', 443)",0.3333333333333333,14
120,"('207.241.228.148', 443)","('172.253.118.95', 443)",0.3333333333333333,14
121,"('172.253.118.113', 443)","('172.217.194.94', 443)",0.3333333333333333,14
122,"('172.253.118.113', 443)","('74.125.200.94', 443)",0.3333333333333333,14
123,"('172.253.118.113', 443)","('172.217.194.95', 443)",0.3333333333333333,14
124,"('74.125.24.95', 443)","('74.125.24.94', 443)",0.3333333333333333,14
125,"('207.241.228.101', 443)","('157.240.7.20', 443)",0.3333333333333333,14
126,"('207.241.228.101', 443)","('207.241.224.2', 443)",0.3333333333333333,14
127,"('207.241.228.101', 443)","('157.240.13.14', 443)",0.3333333333333333,14
128,"('157.240.13.14', 443)","('74.125.200.95', 443)",0.3333333333333333,14
129,"('74.125.24.95', 443)","('172.217.194.154', 443)",0.3333333333333333,14
130,"('74.125.24.95', 443)","('172.217.194.95', 443)",0.3333333333333333,14
131,"('171.255.206.175', 443)","('54.218.178.169', 443)",0.3333333333333333,14
132,"('172.217.194.154', 443)","('104.18.225.52', 443)",0.3333333333333333,14
133,"('54.218.178.169', 443)","('74.125.200.95', 443)",0.3333333333333333,14
134,"('207.241.224.2', 443)","('74.125.200.95', 443)",0.3333333333333333,14
135,"('207.241.224.2', 443)","('54.218.178.169', 443)",0.3333333333333333,14
136,"('172.217.194.94', 443)","('207.241.224.2', 443)",0.3333333333333333,14
137,"('74.125.200.94', 443)","('104.18.225.52', 443)",0.3333333333333333,14
138,"('74.125.200.94', 443)","('172.217.194.154', 443)",0.3333333333333333,14
139,"('172.217.194.95', 443)","('104.18.225.52', 443)",0.3333333333333333,14
140,"('172.217.194.95', 443)","('172.217.194.154', 443)",0.3333333333333333,14
141,"('172.217.194.95', 443)","('207.241.224.2', 443)",0.3333333333333333,14
142,"('172.217.194.95', 443)","('74.125.200.94', 443)",0.3333333333333333,14
143,"('171.255.206.175', 443)","('157.240.7.20', 443)",0.3333333333333333,14
144,"('171.255.206.175', 443)","('207.241.224.2', 443)",0.3333333333333333,14
145,"('74.125.24.95', 443)","('74.125.200.94', 443)",0.3333333333333333,14
146,"('74.125.24.94', 443)","('74.125.200.95', 443)",0.3333333333333333,14
147,"('74.125.24.94', 443)","('157.240.7.20', 443)",0.3333333333333333,14
148,"('74.125.24.94', 443)","('172.217.194.154', 443)",0.3333333333333333,14
149,"('74.125.24.94', 443)","('54.218.178.169', 443)",0.3333333333333333,14
150,"('74.125.24.94', 443)","('207.241.224.2', 443)",0.3333333333333333,14
151,"('74.125.24.94', 443)","('172.217.194.94', 443)",0.3333333333333333,14
152,"('74.125.24.94', 443)","('74.125.200.94', 443)",0.3333333333333333,14
153,"('74.125.24.94', 443)","('172.217.194.95', 443)",0.3333333333333333,14
