,source,target,weight,graph_id
0,"('172.217.194.95', 443)","('13.35.15.15', 443)",1.0,1
1,"('172.217.194.95', 443)","('74.125.24.94', 443)",0.5,1
2,"('172.217.194.155', 443)","('13.227.231.44', 443)",0.5,1
3,"('13.35.15.15', 443)","('74.125.24.94', 443)",0.5,1
4,"('157.240.7.20', 443)","('13.35.15.15', 443)",0.5,1
5,"('172.217.194.155', 443)","('74.125.24.94', 443)",0.0,1
6,"('13.35.15.15', 443)","('13.227.231.44', 443)",0.0,1
7,"('157.240.7.20', 443)","('172.217.194.95', 443)",0.0,1
8,"('13.35.15.15', 443)","('172.217.194.155', 443)",0.0,1
9,"('172.217.194.95', 443)","('13.227.231.44', 443)",0.0,1
10,"('172.217.194.95', 443)","('172.217.194.155', 443)",0.0,1
11,"('157.240.7.20', 443)","('74.125.24.94', 443)",0.0,1
12,"('157.240.7.20', 443)","('13.227.231.44', 443)",0.0,1
13,"('157.240.7.20', 443)","('172.217.194.155', 443)",0.0,1
14,"('13.227.231.44', 443)","('74.125.24.94', 443)",0.0,1
15,"('13.35.15.126', 443)","('13.35.15.15', 443)",1.0,2
16,"('13.35.15.126', 443)","('172.217.194.103', 443)",0.5,2
17,"('13.35.15.15', 443)","('172.217.194.103', 443)",0.0,2
18,"('13.35.15.48', 443)","('74.125.200.157', 443)",1.0,3
19,"('13.35.15.48', 443)","('172.217.194.95', 443)",1.0,3
20,"('74.125.200.157', 443)","('172.217.194.95', 443)",0.0,3
21,"('13.225.93.72', 443)","('74.125.24.95', 443)",1.0,4
22,"('13.225.93.72', 443)","('157.240.13.14', 443)",1.0,4
23,"('13.225.93.72', 443)","('172.217.194.95', 443)",1.0,4
24,"('13.225.93.72', 443)","('172.217.194.157', 443)",1.0,4
25,"('74.125.24.95', 443)","('172.217.194.95', 443)",1.0,4
26,"('157.240.13.14', 443)","('172.217.194.157', 443)",1.0,4
27,"('74.125.24.95', 443)","('157.240.13.14', 443)",0.0,4
28,"('74.125.24.95', 443)","('172.217.194.157', 443)",0.0,4
29,"('157.240.13.14', 443)","('172.217.194.95', 443)",0.0,4
30,"('172.217.194.95', 443)","('172.217.194.157', 443)",0.0,4
31,"('13.35.15.9', 443)","('74.125.200.94', 443)",1.0,5
32,"('13.35.15.9', 443)","('74.125.24.95', 443)",1.0,5
33,"('74.125.200.94', 443)","('74.125.24.95', 443)",0.0,5
34,"('13.35.15.126', 443)","('74.125.24.94', 443)",1.0,6
35,"('142.250.4.119', 443)","('74.125.200.139', 443)",1.0,6
36,"('142.250.4.119', 443)","('74.125.24.94', 443)",1.0,6
37,"('74.125.200.139', 443)","('74.125.24.94', 443)",1.0,6
38,"('13.35.15.126', 443)","('142.250.4.119', 443)",0.0,6
39,"('13.35.15.126', 443)","('74.125.200.139', 443)",0.0,6
40,"('13.35.15.48', 443)","('74.125.130.95', 443)",1.0,7
41,"('74.125.130.95', 443)","('74.125.200.138', 443)",1.0,7
42,"('74.125.130.95', 443)","('74.125.24.95', 443)",1.0,7
