,source,target,weight,graph_id
0,"('171.244.31.83', 443)","('171.244.31.82', 443)",1.0,1
1,"('171.244.31.82', 443)","('35.201.97.85', 443)",0.8,1
2,"('171.244.31.83', 443)","('35.201.97.85', 443)",0.6,1
3,"('171.244.31.83', 443)","('64.233.187.109', 993)",0.4,1
4,"('171.244.31.82', 443)","('216.58.220.196', 443)",0.2,1
5,"('35.201.97.85', 443)","('104.18.8.135', 80)",0.2,1
6,"('35.201.97.85', 443)","('142.250.199.72', 443)",0.2,1
7,"('171.244.31.83', 443)","('172.217.174.202', 443)",0.2,1
8,"('216.58.220.196', 443)","('104.18.8.135', 80)",0.2,1
9,"('171.244.31.82', 443)","('69.171.250.15', 80)",0.2,1
10,"('216.58.220.196', 443)","('35.201.97.85', 443)",0.2,1
11,"('171.244.31.82', 443)","('104.18.8.135', 80)",0.2,1
12,"('171.244.31.82', 443)","('172.217.24.202', 443)",0.2,1
13,"('64.233.187.109', 993)","('142.250.66.136', 443)",0.2,1
14,"('171.244.31.82', 443)","('172.217.174.202', 443)",0.2,1
15,"('171.244.31.83', 443)","('69.171.250.15', 80)",0.2,1
16,"('171.244.31.83', 443)","('142.250.66.136', 443)",0.2,1
17,"('171.244.31.83', 443)","('104.18.8.135', 80)",0.2,1
18,"('171.244.31.83', 443)","('216.58.220.196', 443)",0.2,1
19,"('171.244.31.83', 443)","('172.217.24.202', 443)",0.2,1
20,"('172.217.174.202', 443)","('69.171.250.15', 80)",0.2,1
21,"('216.58.220.196', 443)","('142.250.66.136', 443)",0.0,1
22,"('172.217.24.202', 443)","('69.171.250.15', 80)",0.0,1
23,"('172.217.24.202', 443)","('142.250.66.136', 443)",0.0,1
24,"('216.58.220.196', 443)","('142.250.199.72', 443)",0.0,1
25,"('104.18.8.135', 80)","('142.250.66.136', 443)",0.0,1
26,"('216.58.220.196', 443)","('69.171.250.15', 80)",0.0,1
27,"('35.201.97.85', 443)","('142.250.66.136', 443)",0.0,1
28,"('35.201.97.85', 443)","('69.171.250.15', 80)",0.0,1
29,"('104.18.8.135', 80)","('142.250.199.72', 443)",0.0,1
30,"('172.217.24.202', 443)","('104.18.8.135', 80)",0.0,1
31,"('104.18.8.135', 80)","('69.171.250.15', 80)",0.0,1
