,source,target,weight,graph_id
0,"('203.205.239.248', 8081)","('203.205.235.243', 80)",1.0,1
1,"('203.205.239.248', 8081)","('99.84.233.115', 443)",1.0,1
2,"('203.205.235.243', 80)","('99.84.233.115', 443)",1.0,1
3,"('14.225.230.17', 80)","('203.205.235.243', 80)",0.5,1
4,"('14.225.230.17', 80)","('203.205.239.248', 8081)",0.0,1
5,"('14.225.230.17', 80)","('99.84.233.115', 443)",0.0,1
6,"('203.205.235.243', 80)","('99.84.233.115', 443)",1.0,2
7,"('14.225.230.31', 80)","('203.205.235.243', 80)",1.0,2
8,"('203.205.239.248', 8081)","('99.84.233.115', 443)",1.0,2
9,"('203.205.235.243', 80)","('203.205.239.248', 8081)",1.0,2
10,"('14.225.230.31', 80)","('172.217.194.154', 443)",1.0,2
11,"('14.225.230.31', 80)","('172.217.7.195', 443)",0.75,2
12,"('172.217.194.154', 443)","('172.217.7.195', 443)",0.75,2
13,"('14.225.230.31', 80)","('99.84.233.115', 443)",0.75,2
14,"('171.255.206.172', 443)","('172.217.7.195', 443)",0.75,2
15,"('203.205.235.243', 80)","('172.217.7.195', 443)",0.75,2
16,"('14.225.230.31', 80)","('203.205.239.248', 8081)",0.75,2
17,"('172.217.194.154', 443)","('203.205.235.243', 80)",0.75,2
18,"('74.125.200.155', 443)","('172.217.7.195', 443)",0.5,2
19,"('74.125.200.155', 443)","('203.205.239.248', 8081)",0.5,2
20,"('74.125.200.155', 443)","('99.84.233.115', 443)",0.5,2
21,"('172.217.194.154', 443)","('99.84.233.115', 443)",0.5,2
22,"('172.217.194.154', 443)","('203.205.239.248', 8081)",0.5,2
23,"('74.125.200.155', 443)","('172.217.194.154', 443)",0.5,2
24,"('14.225.230.31', 80)","('74.125.200.155', 443)",0.5,2
25,"('172.217.7.195', 443)","('203.205.239.248', 8081)",0.5,2
26,"('172.217.7.195', 443)","('99.84.233.115', 443)",0.5,2
27,"('74.125.200.155', 443)","('203.205.235.243', 80)",0.5,2
28,"('14.225.230.31', 80)","('171.255.206.172', 443)",0.5,2
29,"('171.255.206.172', 443)","('172.217.194.154', 443)",0.5,2
30,"('171.255.206.172', 443)","('203.205.235.243', 80)",0.5,2
31,"('203.205.235.243', 80)","('52.74.86.99', 443)",0.25,2
32,"('172.217.7.195', 443)","('74.125.24.157', 443)",0.25,2
33,"('203.205.235.243', 80)","('74.125.68.157', 443)",0.25,2
34,"('52.74.86.99', 443)","('125.234.51.114', 443)",0.25,2
35,"('203.205.235.243', 80)","('125.234.51.114', 443)",0.25,2
36,"('203.205.235.243', 80)","('74.125.24.157', 443)",0.25,2
37,"('14.225.230.31', 80)","('52.74.86.99', 443)",0.25,2
38,"('172.217.7.195', 443)","('13.225.103.85', 443)",0.25,2
39,"('172.217.7.195', 443)","('52.74.86.99', 443)",0.25,2
40,"('52.74.86.99', 443)","('74.125.68.157', 443)",0.25,2
41,"('172.217.7.195', 443)","('74.125.68.157', 443)",0.25,2
42,"('172.217.7.195', 443)","('125.234.51.114', 443)",0.25,2
43,"('14.225.230.31', 80)","('13.225.103.85', 443)",0.25,2
44,"('14.225.230.31', 80)","('74.125.68.157', 443)",0.25,2
45,"('203.205.239.248', 8081)","('13.225.103.85', 443)",0.25,2
46,"('203.205.239.248', 8081)","('52.74.86.99', 443)",0.25,2
47,"('203.205.239.248', 8081)","('74.125.68.157', 443)",0.25,2
48,"('13.225.103.85', 443)","('125.234.51.114', 443)",0.25,2
49,"('203.205.239.248', 8081)","('125.234.51.114', 443)",0.25,2
50,"('203.205.239.248', 8081)","('74.125.24.157', 443)",0.25,2
51,"('99.84.233.115', 443)","('13.225.103.85', 443)",0.25,2
52,"('99.84.233.115', 443)","('52.74.86.99', 443)",0.25,2
53,"('99.84.233.115', 443)","('74.125.68.157', 443)",0.25,2
54,"('13.225.103.85', 443)","('74.125.68.157', 443)",0.25,2
55,"('99.84.233.115', 443)","('125.234.51.114', 443)",0.25,2
56,"('99.84.233.115', 443)","('74.125.24.157', 443)",0.25,2
57,"('203.205.235.243', 80)","('13.225.103.85', 443)",0.25,2
58,"('13.225.103.85', 443)","('52.74.86.99', 443)",0.25,2
59,"('74.125.200.155', 443)","('125.234.51.114', 443)",0.25,2
60,"('74.125.200.155', 443)","('52.74.86.99', 443)",0.25,2
61,"('171.255.206.172', 443)","('203.205.239.248', 8081)",0.25,2
62,"('74.125.200.155', 443)","('74.125.68.157', 443)",0.25,2
63,"('171.255.206.172', 443)","('99.84.233.115', 443)",0.25,2
64,"('74.125.68.157', 443)","('125.234.51.114', 443)",0.25,2
65,"('74.125.200.155', 443)","('74.125.24.157', 443)",0.25,2
66,"('171.255.206.172', 443)","('74.125.200.155', 443)",0.25,2
67,"('14.225.230.31', 80)","('74.125.24.157', 443)",0.25,2
68,"('172.217.194.154', 443)","('13.225.103.85', 443)",0.25,2
69,"('172.217.194.154', 443)","('52.74.86.99', 443)",0.25,2
70,"('172.217.194.154', 443)","('74.125.68.157', 443)",0.25,2
71,"('171.255.206.172', 443)","('74.125.24.157', 443)",0.25,2
72,"('172.217.194.154', 443)","('125.234.51.114', 443)",0.25,2
73,"('172.217.194.154', 443)","('74.125.24.157', 443)",0.25,2
74,"('14.225.230.31', 80)","('125.234.51.114', 443)",0.25,2
75,"('74.125.200.155', 443)","('13.225.103.85', 443)",0.25,2
76,"('74.125.68.157', 443)","('74.125.24.157', 443)",0.0,2
77,"('13.225.103.85', 443)","('74.125.24.157', 443)",0.0,2
78,"('52.74.86.99', 443)","('74.125.24.157', 443)",0.0,2
79,"('171.255.206.172', 443)","('74.125.68.157', 443)",0.0,2
80,"('171.255.206.172', 443)","('125.234.51.114', 443)",0.0,2
81,"('171.255.206.172', 443)","('52.74.86.99', 443)",0.0,2
82,"('171.255.206.172', 443)","('13.225.103.85', 443)",0.0,2
83,"('125.234.51.114', 443)","('74.125.24.157', 443)",0.0,2
84,"('203.205.239.248', 8081)","('203.205.235.243', 80)",1.0,3
85,"('203.205.239.248', 8081)","('13.227.73.2', 443)",1.0,3
86,"('203.205.235.243', 80)","('13.227.73.2', 443)",1.0,3
87,"('14.225.230.26', 80)","('203.205.235.243', 80)",0.5,3
88,"('14.225.230.26', 80)","('74.125.68.100', 443)",0.5,3
