,source,target,weight,graph_id
0,"('52.220.233.26', 443)","('45.127.254.84', 443)",1.0,1
1,"('52.220.233.26', 443)","('49.213.81.37', 80)",0.4,1
2,"('52.220.233.26', 443)","('69.171.250.15', 443)",0.3,1
3,"('52.220.233.26', 443)","('184.50.20.228', 443)",0.2,1
4,"('161.117.57.135', 443)","('47.74.139.242', 443)",0.2,1
5,"('184.50.20.228', 443)","('47.241.6.185', 443)",0.2,1
6,"('184.50.20.228', 443)","('159.138.235.168', 443)",0.2,1
7,"('52.220.233.26', 443)","('47.74.139.242', 443)",0.2,1
8,"('159.138.235.168', 443)","('47.241.6.185', 443)",0.2,1
9,"('52.220.233.26', 443)","('47.241.6.185', 443)",0.2,1
10,"('52.220.233.26', 443)","('161.117.57.135', 443)",0.2,1
11,"('52.220.233.26', 443)","('159.138.235.168', 443)",0.2,1
12,"('161.117.57.135', 443)","('69.171.250.34', 443)",0.1,1
13,"('159.138.235.168', 443)","('69.171.250.34', 443)",0.1,1
14,"('161.117.57.135', 443)","('47.241.6.185', 443)",0.1,1
15,"('13.224.161.35', 443)","('47.74.139.242', 443)",0.1,1
16,"('161.117.57.135', 443)","('13.224.161.35', 443)",0.1,1
17,"('47.241.6.185', 443)","('47.74.139.242', 443)",0.1,1
18,"('47.241.6.185', 443)","('45.127.254.84', 443)",0.1,1
19,"('47.241.6.185', 443)","('13.224.161.35', 443)",0.1,1
20,"('159.138.235.168', 443)","('13.224.161.35', 443)",0.1,1
21,"('45.127.254.84', 443)","('64.233.188.188', 5228)",0.1,1
22,"('47.241.6.185', 443)","('69.171.250.34', 443)",0.1,1
23,"('45.127.254.84', 443)","('69.171.250.15', 443)",0.1,1
24,"('45.127.254.84', 443)","('49.213.81.37', 80)",0.1,1
25,"('159.138.235.168', 443)","('47.74.139.242', 443)",0.1,1
26,"('13.224.161.35', 443)","('69.171.250.34', 443)",0.1,1
27,"('69.171.250.13', 443)","('69.171.250.15', 443)",0.1,1
28,"('52.220.233.26', 443)","('69.171.250.34', 443)",0.1,1
29,"('184.50.20.228', 443)","('161.117.57.135', 443)",0.1,1
30,"('159.138.235.168', 443)","('45.127.254.84', 443)",0.1,1
31,"('184.50.20.228', 443)","('13.224.161.35', 443)",0.1,1
32,"('184.50.20.228', 443)","('47.74.139.242', 443)",0.1,1
33,"('47.74.139.242', 443)","('69.171.250.34', 443)",0.1,1
34,"('52.220.233.26', 443)","('64.233.188.188', 5228)",0.1,1
35,"('52.220.233.26', 443)","('13.224.161.35', 443)",0.1,1
36,"('184.50.20.228', 443)","('69.171.250.34', 443)",0.1,1
37,"('159.138.235.168', 443)","('161.117.57.135', 443)",0.1,1
38,"('52.220.233.26', 443)","('69.171.250.13', 443)",0.1,1
39,"('184.50.20.228', 443)","('45.127.254.84', 443)",0.1,1
