,source,target,weight,graph_id
0,"('123.30.242.13', 443)","('123.30.242.10', 443)",1.0,1
1,"('123.30.242.13', 443)","('74.125.24.188', 5228)",0.0,1
2,"('123.30.242.10', 443)","('74.125.24.188', 5228)",0.0,1
3,"('123.30.242.13', 443)","('123.30.242.10', 443)",1.0,2
4,"('123.30.242.13', 443)","('172.253.118.95', 443)",0.3333333333333333,2
5,"('123.30.242.10', 443)","('172.253.118.95', 443)",0.0,2
6,"('123.30.242.10', 443)","('123.30.242.13', 443)",1.0,3
7,"('123.30.242.10', 443)","('172.253.118.95', 443)",0.0,3
8,"('123.30.242.13', 443)","('172.253.118.95', 443)",0.0,3
9,"('222.255.27.184', 443)","('123.30.242.13', 443)",1.0,4
10,"('222.255.27.184', 443)","('104.21.234.163', 443)",1.0,4
11,"('222.255.27.184', 443)","('172.217.194.138', 443)",1.0,4
12,"('123.30.242.10', 443)","('222.255.27.187', 443)",1.0,4
13,"('123.30.242.10', 443)","('104.21.234.163', 443)",1.0,4
14,"('222.255.27.187', 443)","('104.21.234.163', 443)",1.0,4
15,"('104.21.234.163', 443)","('172.217.194.138', 443)",1.0,4
16,"('222.255.27.184', 443)","('123.30.242.10', 443)",0.0,4
17,"('222.255.27.184', 443)","('222.255.27.187', 443)",0.0,4
18,"('123.30.242.13', 443)","('123.30.242.10', 443)",0.0,4
19,"('123.30.242.13', 443)","('222.255.27.187', 443)",0.0,4
20,"('123.30.242.13', 443)","('104.21.234.163', 443)",0.0,4
21,"('123.30.242.13', 443)","('172.217.194.138', 443)",0.0,4
22,"('123.30.242.10', 443)","('172.217.194.138', 443)",0.0,4
23,"('222.255.27.187', 443)","('172.217.194.138', 443)",0.0,4
24,"('123.30.242.13', 443)","('74.125.24.94', 443)",1.0,5
25,"('123.30.242.13', 443)","('74.125.24.95', 443)",0.5,5
26,"('123.30.242.13', 443)","('104.21.234.162', 443)",0.5,5
27,"('123.30.242.13', 443)","('172.217.194.138', 443)",0.5,5
28,"('74.125.24.95', 443)","('74.125.24.94', 443)",0.5,5
