,source,target,weight,graph_id
0,"('74.125.24.132', 443)","('104.21.11.26', 443)",1.0,1
1,"('172.217.194.99', 443)","('172.217.194.94', 80)",0.125,1
2,"('104.21.11.26', 443)","('104.18.26.167', 80)",0.125,1
3,"('104.21.11.26', 443)","('172.217.194.94', 80)",0.125,1
4,"('104.21.11.26', 443)","('172.217.194.99', 443)",0.125,1
5,"('74.125.24.132', 443)","('172.217.194.99', 443)",0.125,1
6,"('74.125.24.132', 443)","('172.217.194.94', 80)",0.125,1
7,"('104.21.81.251', 443)","('104.21.35.244', 443)",0.0625,1
8,"('172.67.193.123', 443)","('104.21.35.244', 443)",0.0625,1
9,"('172.67.193.123', 443)","('104.21.78.46', 443)",0.0625,1
10,"('172.67.193.123', 443)","('172.67.147.117', 443)",0.0625,1
11,"('172.67.193.123', 443)","('172.67.72.151', 443)",0.0625,1
12,"('104.21.81.251', 443)","('104.18.26.167', 80)",0.0625,1
13,"('104.21.43.21', 443)","('104.21.35.244', 443)",0.0625,1
14,"('104.21.43.21', 443)","('104.18.26.167', 80)",0.0625,1
15,"('104.21.81.251', 443)","('172.67.147.117', 443)",0.0625,1
16,"('104.21.43.21', 443)","('172.67.147.117', 443)",0.0625,1
17,"('104.21.43.21', 443)","('172.67.72.151', 443)",0.0625,1
18,"('104.21.35.244', 443)","('104.18.26.167', 80)",0.0625,1
19,"('104.21.35.244', 443)","('104.21.78.46', 443)",0.0625,1
20,"('104.21.35.244', 443)","('172.67.147.117', 443)",0.0625,1
21,"('104.21.35.244', 443)","('172.67.72.151', 443)",0.0625,1
22,"('172.67.193.123', 443)","('104.18.26.167', 80)",0.0625,1
23,"('172.67.139.61', 443)","('172.67.72.151', 443)",0.0625,1
24,"('172.67.193.123', 443)","('104.21.43.21', 443)",0.0625,1
25,"('104.21.81.251', 443)","('104.21.43.21', 443)",0.0625,1
26,"('69.171.250.35', 443)","('157.240.7.35', 443)",0.0625,1
27,"('172.67.139.61', 443)","('172.67.147.117', 443)",0.0625,1
28,"('172.67.139.61', 443)","('104.21.78.46', 443)",0.0625,1
29,"('172.67.139.61', 443)","('104.18.26.167', 80)",0.0625,1
30,"('172.67.139.61', 443)","('104.21.35.244', 443)",0.0625,1
31,"('172.67.139.61', 443)","('104.21.43.21', 443)",0.0625,1
32,"('172.67.139.61', 443)","('172.67.193.123', 443)",0.0625,1
33,"('104.21.92.235', 443)","('172.67.70.45', 443)",0.0625,1
34,"('104.21.92.235', 443)","('104.18.26.167', 443)",0.0625,1
35,"('104.21.92.235', 443)","('104.18.26.167', 80)",0.0625,1
36,"('104.21.81.251', 443)","('172.67.72.151', 443)",0.0625,1
37,"('104.21.81.251', 443)","('172.67.139.61', 443)",0.0625,1
38,"('104.21.81.251', 443)","('172.67.193.123', 443)",0.0625,1
39,"('104.18.26.167', 80)","('104.18.26.167', 443)",0.0625,1
40,"('104.21.43.21', 443)","('104.21.78.46', 443)",0.0625,1
41,"('104.18.26.167', 80)","('104.21.78.46', 443)",0.0625,1
42,"('74.125.24.132', 443)","('104.18.26.167', 80)",0.0625,1
43,"('104.21.11.26', 443)","('104.21.81.251', 443)",0.0625,1
44,"('104.18.26.167', 443)","('172.67.70.45', 443)",0.0625,1
45,"('74.125.24.132', 443)","('172.67.72.151', 443)",0.0625,1
46,"('104.21.78.46', 443)","('172.67.147.117', 443)",0.0625,1
47,"('74.125.24.132', 443)","('172.67.147.117', 443)",0.0625,1
48,"('104.18.26.167', 80)","('172.67.147.117', 443)",0.0625,1
49,"('74.125.24.132', 443)","('104.21.35.244', 443)",0.0625,1
50,"('104.21.11.26', 443)","('172.67.139.61', 443)",0.0625,1
51,"('74.125.24.132', 443)","('104.21.43.21', 443)",0.0625,1
52,"('74.125.24.132', 443)","('172.67.193.123', 443)",0.0625,1
53,"('74.125.24.132', 443)","('172.67.139.61', 443)",0.0625,1
54,"('104.21.78.46', 443)","('172.67.72.151', 443)",0.0625,1
55,"('74.125.24.132', 443)","('104.21.81.251', 443)",0.0625,1
56,"('172.67.147.117', 443)","('172.67.72.151', 443)",0.0625,1
57,"('104.21.11.26', 443)","('104.21.92.235', 443)",0.0625,1
58,"('74.125.24.132', 443)","('104.21.78.46', 443)",0.0625,1
59,"('104.21.81.251', 443)","('104.21.78.46', 443)",0.0625,1
60,"('104.21.11.26', 443)","('104.18.26.167', 443)",0.0625,1
61,"('104.21.11.26', 443)","('172.67.193.123', 443)",0.0625,1
62,"('104.21.11.26', 443)","('172.67.72.151', 443)",0.0625,1
63,"('104.21.11.26', 443)","('172.67.70.45', 443)",0.0625,1
64,"('104.21.11.26', 443)","('104.21.78.46', 443)",0.0625,1
65,"('104.18.26.167', 80)","('172.67.72.151', 443)",0.0625,1
66,"('104.21.11.26', 443)","('172.67.147.117', 443)",0.0625,1
67,"('104.21.11.26', 443)","('104.21.35.244', 443)",0.0625,1
68,"('104.18.26.167', 80)","('172.67.70.45', 443)",0.0625,1
69,"('104.21.11.26', 443)","('104.21.43.21', 443)",0.0625,1
70,"('172.67.147.117', 443)","('172.67.70.45', 443)",0.0,1
71,"('104.21.35.244', 443)","('104.18.26.167', 443)",0.0,1
72,"('104.21.35.244', 443)","('172.67.70.45', 443)",0.0,1
73,"('104.18.26.167', 443)","('104.21.78.46', 443)",0.0,1
74,"('104.21.92.235', 443)","('157.240.7.35', 443)",0.0,1
75,"('104.21.92.235', 443)","('172.67.139.61', 443)",0.0,1
76,"('104.21.92.235', 443)","('172.67.193.123', 443)",0.0,1
77,"('104.21.92.235', 443)","('104.21.43.21', 443)",0.0,1
