,source,target,weight,graph_id
0,"('18.138.10.149', 443)","('35.227.237.213', 443)",1.0,1
1,"('35.190.43.134', 443)","('18.138.10.149', 443)",0.36363636363636365,1
2,"('35.227.237.213', 443)","('35.244.195.33', 443)",0.3181818181818182,1
3,"('35.190.43.134', 443)","('35.227.237.213', 443)",0.3181818181818182,1
4,"('18.138.10.149', 443)","('35.244.195.33', 443)",0.3181818181818182,1
5,"('13.224.249.129', 443)","('18.138.10.149', 443)",0.22727272727272727,1
6,"('18.138.10.149', 443)","('54.205.83.108', 443)",0.18181818181818182,1
7,"('18.138.10.149', 443)","('52.220.40.44', 443)",0.13636363636363635,1
8,"('13.224.249.129', 443)","('35.190.43.134', 443)",0.13636363636363635,1
9,"('35.227.237.213', 443)","('54.205.83.108', 443)",0.13636363636363635,1
10,"('35.227.237.213', 443)","('52.220.40.44', 443)",0.13636363636363635,1
11,"('13.224.249.129', 443)","('54.205.83.108', 443)",0.13636363636363635,1
12,"('13.224.249.129', 443)","('35.227.237.213', 443)",0.13636363636363635,1
13,"('35.190.43.134', 443)","('35.244.195.33', 443)",0.13636363636363635,1
14,"('35.190.43.134', 443)","('54.205.83.108', 443)",0.09090909090909091,1
15,"('18.138.10.149', 443)","('142.250.204.34', 443)",0.09090909090909091,1
16,"('13.224.249.129', 443)","('13.224.249.12', 443)",0.09090909090909091,1
17,"('13.224.249.12', 443)","('18.138.10.149', 443)",0.09090909090909091,1
18,"('35.244.195.33', 443)","('54.205.83.108', 443)",0.09090909090909091,1
19,"('35.227.237.213', 443)","('142.250.204.34', 443)",0.09090909090909091,1
20,"('35.190.43.134', 443)","('13.224.249.12', 443)",0.09090909090909091,1
21,"('13.224.249.129', 443)","('35.244.195.33', 443)",0.09090909090909091,1
22,"('18.138.10.149', 443)","('142.250.66.86', 443)",0.045454545454545456,1
23,"('35.227.237.213', 443)","('142.250.66.86', 443)",0.045454545454545456,1
24,"('18.138.10.149', 443)","('142.250.66.138', 443)",0.045454545454545456,1
25,"('18.138.10.149', 443)","('142.250.204.142', 443)",0.045454545454545456,1
26,"('18.138.10.149', 443)","('104.91.77.69', 80)",0.045454545454545456,1
27,"('18.138.10.149', 443)","('142.250.199.74', 443)",0.045454545454545456,1
28,"('35.227.237.213', 443)","('172.217.163.234', 443)",0.045454545454545456,1
29,"('35.227.237.213', 443)","('172.217.26.138', 443)",0.045454545454545456,1
30,"('35.227.237.213', 443)","('142.250.66.138', 443)",0.045454545454545456,1
31,"('35.227.237.213', 443)","('142.250.204.142', 443)",0.045454545454545456,1
32,"('35.227.237.213', 443)","('142.250.199.74', 443)",0.045454545454545456,1
33,"('35.227.237.213', 443)","('104.91.77.69', 80)",0.045454545454545456,1
34,"('18.138.10.149', 443)","('172.217.163.234', 443)",0.045454545454545456,1
35,"('172.217.26.138', 443)","('52.220.40.44', 443)",0.045454545454545456,1
36,"('35.244.195.33', 443)","('142.250.199.74', 443)",0.045454545454545456,1
37,"('54.205.83.108', 443)","('172.217.163.234', 443)",0.045454545454545456,1
38,"('54.205.83.108', 443)","('172.217.26.138', 443)",0.045454545454545456,1
39,"('54.205.83.108', 443)","('52.220.40.44', 443)",0.045454545454545456,1
40,"('172.217.163.234', 443)","('52.220.40.44', 443)",0.045454545454545456,1
41,"('172.217.163.234', 443)","('172.217.26.138', 443)",0.045454545454545456,1
42,"('18.138.10.149', 443)","('172.217.26.138', 443)",0.045454545454545456,1
43,"('54.205.83.108', 443)","('142.250.199.74', 443)",0.045454545454545456,1
44,"('13.224.249.12', 443)","('54.205.83.108', 443)",0.045454545454545456,1
45,"('142.250.66.138', 443)","('142.250.204.34', 443)",0.045454545454545456,1
46,"('142.250.204.34', 443)","('142.250.66.86', 443)",0.045454545454545456,1
47,"('142.250.204.34', 443)","('142.250.204.142', 443)",0.045454545454545456,1
48,"('142.250.66.138', 443)","('142.250.66.86', 443)",0.045454545454545456,1
49,"('142.250.66.138', 443)","('142.250.204.142', 443)",0.045454545454545456,1
50,"('142.250.204.142', 443)","('142.250.66.86', 443)",0.045454545454545456,1
51,"('35.190.43.134', 443)","('52.220.40.44', 443)",0.045454545454545456,1
52,"('13.224.249.129', 443)","('142.250.199.74', 443)",0.045454545454545456,1
53,"('13.224.249.12', 443)","('35.227.237.213', 443)",0.045454545454545456,1
54,"('142.250.204.142', 443)","('142.250.199.74', 443)",0.0,1
55,"('142.250.66.86', 443)","('104.91.77.69', 80)",0.0,1
56,"('172.217.163.234', 443)","('142.250.66.138', 443)",0.0,1
57,"('142.250.204.142', 443)","('104.91.77.69', 80)",0.0,1
58,"('172.217.26.138', 443)","('142.250.66.138', 443)",0.0,1
59,"('142.250.66.86', 443)","('142.250.199.74', 443)",0.0,1
60,"('172.217.163.234', 443)","('142.250.204.34', 443)",0.0,1
61,"('172.217.163.234', 443)","('142.250.204.142', 443)",0.0,1
62,"('172.217.163.234', 443)","('142.250.66.86', 443)",0.0,1
63,"('172.217.163.234', 443)","('104.91.77.69', 80)",0.0,1
64,"('172.217.163.234', 443)","('142.250.199.74', 443)",0.0,1
65,"('142.250.204.34', 443)","('142.250.199.74', 443)",0.0,1
66,"('52.220.40.44', 443)","('142.250.204.142', 443)",0.0,1
67,"('172.217.26.138', 443)","('142.250.204.34', 443)",0.0,1
68,"('142.250.204.34', 443)","('104.91.77.69', 80)",0.0,1
69,"('52.220.40.44', 443)","('142.250.66.86', 443)",0.0,1
70,"('172.217.26.138', 443)","('142.250.204.142', 443)",0.0,1
71,"('142.250.66.138', 443)","('142.250.199.74', 443)",0.0,1
72,"('172.217.26.138', 443)","('142.250.66.86', 443)",0.0,1
73,"('142.250.66.138', 443)","('104.91.77.69', 80)",0.0,1
74,"('172.217.26.138', 443)","('104.91.77.69', 80)",0.0,1
75,"('172.217.26.138', 443)","('142.250.199.74', 443)",0.0,1
76,"('54.205.83.108', 443)","('104.91.77.69', 80)",0.0,1
77,"('52.220.40.44', 443)","('142.250.199.74', 443)",0.0,1
78,"('52.220.40.44', 443)","('142.250.66.138', 443)",0.0,1
79,"('52.220.40.44', 443)","('104.91.77.69', 80)",0.0,1
80,"('52.220.40.44', 443)","('142.250.204.34', 443)",0.0,1
81,"('35.190.43.134', 443)","('172.217.163.234', 443)",0.0,1
82,"('35.244.195.33', 443)","('142.250.204.34', 443)",0.0,1
83,"('54.205.83.108', 443)","('142.250.66.86', 443)",0.0,1
84,"('13.224.249.129', 443)","('104.91.77.69', 80)",0.0,1
85,"('13.224.249.12', 443)","('104.91.77.69', 80)",0.0,1
86,"('13.224.249.12', 443)","('142.250.66.86', 443)",0.0,1
87,"('13.224.249.12', 443)","('142.250.204.142', 443)",0.0,1
88,"('13.224.249.12', 443)","('142.250.204.34', 443)",0.0,1
89,"('13.224.249.12', 443)","('142.250.66.138', 443)",0.0,1
90,"('13.224.249.12', 443)","('52.220.40.44', 443)",0.0,1
91,"('13.224.249.12', 443)","('172.217.26.138', 443)",0.0,1
92,"('13.224.249.12', 443)","('172.217.163.234', 443)",0.0,1
93,"('13.224.249.12', 443)","('35.244.195.33', 443)",0.0,1
94,"('35.190.43.134', 443)","('142.250.199.74', 443)",0.0,1
