,source,target,weight,graph_id
0,"('18.235.204.9', 443)","('18.182.170.114', 443)",1.0,1
1,"('18.235.204.9', 443)","('113.171.233.71', 80)",0.8,1
2,"('113.171.233.71', 80)","('18.182.170.114', 443)",0.8,1
3,"('13.228.32.36', 443)","('18.235.204.9', 443)",0.6,1
4,"('13.228.32.36', 443)","('113.171.233.71', 80)",0.6,1
5,"('151.101.78.133', 443)","('18.235.204.9', 443)",0.6,1
6,"('151.101.78.133', 443)","('18.182.170.114', 443)",0.6,1
7,"('151.101.78.133', 443)","('113.171.233.71', 80)",0.5,1
8,"('13.228.32.36', 443)","('18.182.170.114', 443)",0.5,1
9,"('13.228.32.36', 443)","('142.250.66.34', 443)",0.4,1
10,"('142.250.66.34', 443)","('18.182.170.114', 443)",0.4,1
11,"('18.235.204.9', 443)","('142.250.66.34', 443)",0.4,1
12,"('113.171.233.71', 80)","('142.250.66.34', 443)",0.4,1
13,"('151.101.78.133', 443)","('216.58.200.66', 443)",0.3,1
14,"('113.171.233.71', 80)","('54.151.170.169', 443)",0.2,1
15,"('18.235.204.9', 443)","('172.217.24.78', 443)",0.2,1
16,"('18.235.204.9', 443)","('172.217.24.194', 443)",0.2,1
17,"('13.228.32.36', 443)","('172.217.24.78', 443)",0.2,1
18,"('18.235.204.9', 443)","('54.151.170.169', 443)",0.2,1
19,"('18.182.170.114', 443)","('172.217.24.194', 443)",0.2,1
20,"('18.182.170.114', 443)","('172.217.24.78', 443)",0.2,1
21,"('113.171.233.71', 80)","('172.217.24.194', 443)",0.2,1
22,"('13.228.32.36', 443)","('172.217.24.194', 443)",0.2,1
23,"('172.217.31.238', 443)","('216.58.200.66', 443)",0.2,1
24,"('13.228.32.36', 443)","('54.151.170.169', 443)",0.2,1
25,"('113.171.233.71', 80)","('54.208.210.235', 443)",0.2,1
26,"('216.58.200.66', 443)","('113.171.233.71', 80)",0.2,1
27,"('113.171.233.71', 80)","('172.217.24.78', 443)",0.2,1
28,"('151.101.78.133', 443)","('54.92.205.77', 443)",0.2,1
29,"('113.171.233.71', 80)","('54.92.205.77', 443)",0.2,1
30,"('151.101.78.133', 443)","('54.208.210.235', 443)",0.2,1
31,"('142.250.66.34', 443)","('172.217.24.194', 443)",0.2,1
32,"('151.101.78.133', 443)","('113.171.233.64', 80)",0.2,1
33,"('151.101.78.133', 443)","('54.151.170.169', 443)",0.2,1
34,"('151.101.78.133', 443)","('13.228.32.36', 443)",0.2,1
35,"('151.101.78.133', 443)","('172.217.31.238', 443)",0.2,1
36,"('54.151.170.169', 443)","('18.182.170.114', 443)",0.2,1
37,"('142.250.66.34', 443)","('172.217.24.78', 443)",0.2,1
38,"('216.58.200.66', 443)","('113.171.233.64', 80)",0.1,1
39,"('216.58.200.66', 443)","('216.58.199.99', 80)",0.1,1
40,"('216.58.200.66', 443)","('142.250.204.46', 443)",0.1,1
41,"('216.58.200.66', 443)","('54.92.205.77', 443)",0.1,1
42,"('216.58.200.66', 443)","('172.217.24.78', 443)",0.1,1
43,"('216.58.200.66', 443)","('172.217.24.194', 443)",0.1,1
44,"('216.58.200.66', 443)","('54.208.210.235', 443)",0.1,1
45,"('216.58.200.66', 443)","('18.182.170.114', 443)",0.1,1
46,"('216.58.200.66', 443)","('142.250.66.34', 443)",0.1,1
47,"('54.151.170.169', 443)","('216.58.199.99', 80)",0.1,1
48,"('216.58.200.66', 443)","('54.151.170.169', 443)",0.1,1
49,"('216.58.200.66', 443)","('172.217.24.42', 443)",0.1,1
50,"('13.228.32.36', 443)","('142.250.204.46', 443)",0.1,1
51,"('18.182.170.114', 443)","('142.250.204.46', 443)",0.1,1
52,"('18.235.204.9', 443)","('54.92.205.77', 443)",0.1,1
53,"('113.171.233.71', 80)","('142.250.204.46', 443)",0.1,1
54,"('113.171.233.71', 80)","('172.217.24.42', 443)",0.1,1
55,"('113.171.233.71', 80)","('216.58.199.99', 80)",0.1,1
56,"('18.235.204.9', 443)","('172.217.161.168', 443)",0.1,1
57,"('18.235.204.9', 443)","('216.58.199.99', 80)",0.1,1
58,"('142.250.66.34', 443)","('216.58.199.99', 80)",0.1,1
59,"('216.58.200.66', 443)","('18.235.204.9', 443)",0.1,1
60,"('113.171.233.71', 80)","('172.217.161.168', 443)",0.1,1
61,"('18.182.170.114', 443)","('54.92.205.77', 443)",0.1,1
62,"('54.151.170.169', 443)","('142.250.66.34', 443)",0.1,1
63,"('18.182.170.114', 443)","('54.208.210.235', 443)",0.1,1
64,"('54.151.170.169', 443)","('172.217.24.194', 443)",0.1,1
65,"('54.151.170.169', 443)","('172.217.24.78', 443)",0.1,1
66,"('142.250.66.34', 443)","('142.250.204.46', 443)",0.1,1
67,"('13.228.32.36', 443)","('216.58.199.99', 80)",0.1,1
68,"('54.151.170.169', 443)","('142.250.204.46', 443)",0.1,1
69,"('18.235.204.9', 443)","('142.250.204.46', 443)",0.1,1
70,"('151.101.78.133', 443)","('113.171.216.209', 443)",0.1,1
71,"('216.58.200.66', 443)","('13.228.32.36', 443)",0.1,1
72,"('54.92.205.77', 443)","('172.217.24.42', 443)",0.1,1
73,"('151.101.78.133', 80)","('18.182.170.114', 443)",0.1,1
74,"('151.101.78.133', 80)","('142.250.66.34', 443)",0.1,1
75,"('172.217.24.78', 443)","('142.250.204.46', 443)",0.1,1
76,"('151.101.78.133', 80)","('113.171.233.71', 80)",0.1,1
77,"('151.101.78.133', 80)","('18.235.204.9', 443)",0.1,1
78,"('18.182.170.114', 443)","('216.58.199.99', 80)",0.1,1
79,"('172.217.24.78', 443)","('216.58.199.99', 80)",0.1,1
80,"('113.171.216.209', 443)","('113.171.233.64', 80)",0.1,1
81,"('142.250.204.46', 443)","('216.58.199.99', 80)",0.1,1
82,"('172.217.24.194', 443)","('216.58.199.99', 80)",0.1,1
83,"('113.171.216.209', 443)","('216.58.200.66', 443)",0.1,1
84,"('113.171.216.209', 443)","('172.217.31.238', 443)",0.1,1
85,"('151.101.78.133', 443)","('216.58.199.99', 80)",0.1,1
86,"('151.101.78.133', 443)","('172.217.24.42', 443)",0.1,1
87,"('151.101.78.133', 443)","('142.250.204.46', 443)",0.1,1
88,"('151.101.78.133', 443)","('172.217.24.78', 443)",0.1,1
89,"('151.101.78.133', 443)","('172.217.24.194', 443)",0.1,1
90,"('151.101.78.133', 443)","('142.250.66.34', 443)",0.1,1
91,"('151.101.78.133', 80)","('172.217.24.78', 443)",0.1,1
92,"('151.101.78.133', 80)","('13.228.32.36', 443)",0.1,1
93,"('18.182.170.114', 443)","('172.217.161.168', 443)",0.1,1
94,"('54.208.210.235', 443)","('54.92.205.77', 443)",0.1,1
95,"('172.217.24.194', 443)","('142.250.204.46', 443)",0.1,1
96,"('172.217.31.238', 443)","('172.217.24.42', 443)",0.1,1
97,"('172.217.31.238', 443)","('113.171.233.64', 80)",0.1,1
98,"('172.217.24.194', 443)","('172.217.24.78', 443)",0.1,1
99,"('172.217.31.238', 443)","('54.92.205.77', 443)",0.1,1
100,"('172.217.31.238', 443)","('113.171.233.71', 80)",0.1,1
101,"('54.208.210.235', 443)","('172.217.24.42', 443)",0.1,1
102,"('172.217.31.238', 443)","('54.208.210.235', 443)",0.1,1
103,"('113.171.233.64', 80)","('172.217.24.42', 443)",0.0,1
104,"('142.250.66.34', 443)","('172.217.24.42', 443)",0.0,1
105,"('113.171.233.64', 80)","('216.58.199.99', 80)",0.0,1
106,"('113.171.233.64', 80)","('172.217.161.168', 443)",0.0,1
107,"('54.208.210.235', 443)","('172.217.24.78', 443)",0.0,1
108,"('172.217.24.42', 443)","('216.58.199.99', 80)",0.0,1
109,"('142.250.66.34', 443)","('113.171.233.64', 80)",0.0,1
110,"('172.217.24.42', 443)","('172.217.161.168', 443)",0.0,1
111,"('54.208.210.235', 443)","('142.250.204.46', 443)",0.0,1
112,"('54.208.210.235', 443)","('172.217.24.194', 443)",0.0,1
113,"('142.250.66.34', 443)","('54.92.205.77', 443)",0.0,1
114,"('142.250.66.34', 443)","('54.208.210.235', 443)",0.0,1
115,"('142.250.204.46', 443)","('172.217.161.168', 443)",0.0,1
116,"('172.217.24.194', 443)","('172.217.24.42', 443)",0.0,1
117,"('142.250.204.46', 443)","('172.217.24.42', 443)",0.0,1
118,"('172.217.24.78', 443)","('172.217.24.42', 443)",0.0,1
119,"('172.217.24.194', 443)","('172.217.161.168', 443)",0.0,1
120,"('172.217.24.78', 443)","('54.92.205.77', 443)",0.0,1
121,"('18.182.170.114', 443)","('113.171.233.64', 80)",0.0,1
122,"('172.217.24.194', 443)","('54.92.205.77', 443)",0.0,1
123,"('54.208.210.235', 443)","('172.217.161.168', 443)",0.0,1
124,"('54.208.210.235', 443)","('216.58.199.99', 80)",0.0,1
125,"('172.217.24.78', 443)","('113.171.233.64', 80)",0.0,1
126,"('18.182.170.114', 443)","('172.217.24.42', 443)",0.0,1
127,"('142.250.204.46', 443)","('113.171.233.64', 80)",0.0,1
128,"('172.217.24.78', 443)","('172.217.161.168', 443)",0.0,1
129,"('142.250.66.34', 443)","('172.217.161.168', 443)",0.0,1
130,"('54.92.205.77', 443)","('142.250.204.46', 443)",0.0,1
131,"('54.92.205.77', 443)","('113.171.233.64', 80)",0.0,1
132,"('54.208.210.235', 443)","('113.171.233.64', 80)",0.0,1
133,"('54.92.205.77', 443)","('216.58.199.99', 80)",0.0,1
134,"('172.217.24.194', 443)","('113.171.233.64', 80)",0.0,1
135,"('54.92.205.77', 443)","('172.217.161.168', 443)",0.0,1
136,"('13.228.32.36', 443)","('113.171.233.64', 80)",0.0,1
137,"('54.151.170.169', 443)","('172.217.161.168', 443)",0.0,1
138,"('151.101.78.133', 80)","('172.217.24.42', 443)",0.0,1
139,"('151.101.78.133', 80)","('142.250.204.46', 443)",0.0,1
140,"('151.101.78.133', 80)","('54.92.205.77', 443)",0.0,1
141,"('151.101.78.133', 80)","('172.217.24.194', 443)",0.0,1
142,"('151.101.78.133', 80)","('54.208.210.235', 443)",0.0,1
143,"('151.101.78.133', 80)","('54.151.170.169', 443)",0.0,1
144,"('151.101.78.133', 80)","('216.58.200.66', 443)",0.0,1
145,"('151.101.78.133', 80)","('172.217.31.238', 443)",0.0,1
146,"('113.171.216.209', 443)","('172.217.161.168', 443)",0.0,1
147,"('113.171.216.209', 443)","('216.58.199.99', 80)",0.0,1
148,"('113.171.216.209', 443)","('172.217.24.42', 443)",0.0,1
149,"('113.171.216.209', 443)","('142.250.204.46', 443)",0.0,1
150,"('113.171.216.209', 443)","('54.92.205.77', 443)",0.0,1
151,"('113.171.216.209', 443)","('172.217.24.78', 443)",0.0,1
152,"('113.171.216.209', 443)","('172.217.24.194', 443)",0.0,1
153,"('113.171.216.209', 443)","('54.208.210.235', 443)",0.0,1
154,"('113.171.216.209', 443)","('18.182.170.114', 443)",0.0,1
155,"('113.171.216.209', 443)","('142.250.66.34', 443)",0.0,1
156,"('113.171.216.209', 443)","('54.151.170.169', 443)",0.0,1
157,"('113.171.216.209', 443)","('113.171.233.71', 80)",0.0,1
158,"('113.171.216.209', 443)","('18.235.204.9', 443)",0.0,1
159,"('113.171.216.209', 443)","('13.228.32.36', 443)",0.0,1
160,"('113.171.216.209', 443)","('151.101.78.133', 80)",0.0,1
161,"('151.101.78.133', 443)","('172.217.161.168', 443)",0.0,1
162,"('151.101.78.133', 80)","('113.171.233.64', 80)",0.0,1
163,"('151.101.78.133', 80)","('216.58.199.99', 80)",0.0,1
164,"('54.151.170.169', 443)","('172.217.24.42', 443)",0.0,1
165,"('151.101.78.133', 80)","('172.217.161.168', 443)",0.0,1
166,"('54.151.170.169', 443)","('113.171.233.64', 80)",0.0,1
167,"('54.151.170.169', 443)","('54.92.205.77', 443)",0.0,1
168,"('54.151.170.169', 443)","('54.208.210.235', 443)",0.0,1
169,"('113.171.233.71', 80)","('113.171.233.64', 80)",0.0,1
170,"('18.235.204.9', 443)","('172.217.24.42', 443)",0.0,1
171,"('18.235.204.9', 443)","('113.171.233.64', 80)",0.0,1
172,"('18.235.204.9', 443)","('54.208.210.235', 443)",0.0,1
173,"('13.228.32.36', 443)","('172.217.161.168', 443)",0.0,1
174,"('13.228.32.36', 443)","('172.217.24.42', 443)",0.0,1
175,"('151.101.78.133', 443)","('151.101.78.133', 80)",0.0,1
176,"('13.228.32.36', 443)","('54.92.205.77', 443)",0.0,1
177,"('13.228.32.36', 443)","('54.208.210.235', 443)",0.0,1
178,"('216.58.200.66', 443)","('172.217.161.168', 443)",0.0,1
179,"('172.217.31.238', 443)","('172.217.161.168', 443)",0.0,1
180,"('172.217.31.238', 443)","('216.58.199.99', 80)",0.0,1
181,"('172.217.31.238', 443)","('142.250.204.46', 443)",0.0,1
182,"('172.217.31.238', 443)","('172.217.24.78', 443)",0.0,1
183,"('172.217.31.238', 443)","('172.217.24.194', 443)",0.0,1
184,"('172.217.31.238', 443)","('18.182.170.114', 443)",0.0,1
185,"('172.217.31.238', 443)","('142.250.66.34', 443)",0.0,1
186,"('172.217.31.238', 443)","('54.151.170.169', 443)",0.0,1
187,"('172.217.31.238', 443)","('18.235.204.9', 443)",0.0,1
188,"('172.217.31.238', 443)","('13.228.32.36', 443)",0.0,1
189,"('216.58.199.99', 80)","('172.217.161.168', 443)",0.0,1
190,"('151.101.78.133', 443)","('172.217.25.10', 443)",1.0,2
191,"('172.217.25.10', 443)","('142.250.66.74', 443)",1.0,2
192,"('151.101.78.133', 443)","('142.250.66.74', 443)",0.0,2
193,"('151.101.78.133', 443)","('23.33.32.146', 80)",1.0,3
194,"('23.33.32.146', 80)","('216.58.200.66', 443)",0.4,3
195,"('151.101.78.133', 443)","('216.58.200.8', 443)",0.4,3
196,"('151.101.78.133', 443)","('142.250.66.72', 443)",0.4,3
197,"('151.101.78.133', 443)","('216.58.200.66', 443)",0.4,3
198,"('151.101.78.133', 443)","('69.171.250.15', 443)",0.4,3
199,"('216.58.200.8', 443)","('142.250.66.72', 443)",0.4,3
200,"('151.101.78.133', 443)","('34.107.247.91', 443)",0.2,3
201,"('151.101.78.133', 443)","('108.177.125.188', 5228)",0.2,3
202,"('23.33.32.146', 80)","('108.177.125.188', 5228)",0.2,3
203,"('34.107.247.91', 443)","('108.177.125.188', 5228)",0.0,3
204,"('34.107.247.91', 443)","('216.58.200.66', 443)",0.0,3
205,"('216.58.200.8', 443)","('216.58.200.66', 443)",0.0,3
206,"('216.58.200.8', 443)","('108.177.125.188', 5228)",0.0,3
207,"('34.107.247.91', 443)","('216.58.200.8', 443)",0.0,3
208,"('142.250.66.72', 443)","('108.177.125.188', 5228)",0.0,3
209,"('142.250.66.72', 443)","('216.58.200.66', 443)",0.0,3
210,"('34.107.247.91', 443)","('142.250.66.72', 443)",0.0,3
211,"('69.171.250.15', 443)","('216.58.200.8', 443)",0.0,3
212,"('69.171.250.15', 443)","('216.58.200.66', 443)",0.0,3
213,"('69.171.250.15', 443)","('108.177.125.188', 5228)",0.0,3
214,"('69.171.250.15', 443)","('142.250.66.72', 443)",0.0,3
215,"('69.171.250.15', 443)","('34.107.247.91', 443)",0.0,3
216,"('23.33.32.146', 80)","('142.250.66.72', 443)",0.0,3
217,"('23.33.32.146', 80)","('216.58.200.8', 443)",0.0,3
218,"('23.33.32.146', 80)","('34.107.247.91', 443)",0.0,3
219,"('23.33.32.146', 80)","('69.171.250.15', 443)",0.0,3
220,"('108.177.125.188', 5228)","('216.58.200.66', 443)",0.0,3
221,"('54.192.19.102', 443)","('69.171.250.20', 443)",1.0,4
222,"('142.250.66.74', 443)","('108.177.125.188', 5228)",0.5,4
223,"('69.171.250.20', 443)","('123.30.151.70', 80)",0.5,4
224,"('54.192.19.102', 443)","('42.99.128.161', 80)",0.5,4
225,"('54.192.19.102', 443)","('142.250.204.132', 443)",0.5,4
226,"('54.192.19.102', 443)","('108.177.125.188', 5228)",0.5,4
227,"('42.99.128.161', 80)","('69.171.250.20', 443)",0.5,4
228,"('54.192.19.102', 443)","('142.250.66.42', 443)",0.5,4
229,"('108.177.125.188', 5228)","('123.30.151.70', 80)",0.5,4
230,"('123.30.242.10', 443)","('69.171.250.20', 443)",0.5,4
231,"('69.171.250.20', 443)","('108.177.125.188', 5228)",0.5,4
