,source,target,weight,graph_id
0,"('27.67.64.82', 18080)","('52.221.102.249', 443)",1.0,1
1,"('27.67.64.82', 18080)","('69.171.250.35', 443)",1.0,1
2,"('52.221.102.249', 443)","('69.171.250.35', 443)",0.0,1
3,"('171.244.232.140', 443)","('74.125.24.95', 443)",1.0,2
4,"('171.244.232.140', 443)","('157.240.7.20', 443)",0.75,2
5,"('171.244.232.140', 443)","('74.125.200.94', 443)",0.5,2
6,"('172.217.194.94', 443)","('74.125.200.94', 443)",0.25,2
7,"('69.171.250.15', 443)","('157.240.7.20', 443)",0.25,2
8,"('74.125.200.101', 443)","('74.125.200.94', 443)",0.25,2
9,"('74.125.200.101', 443)","('172.217.194.94', 443)",0.25,2
10,"('171.244.232.140', 443)","('74.125.200.101', 443)",0.25,2
11,"('74.125.24.95', 443)","('74.125.200.94', 443)",0.25,2
12,"('74.125.24.95', 443)","('172.217.194.94', 443)",0.25,2
13,"('74.125.24.95', 443)","('74.125.200.101', 443)",0.25,2
14,"('171.244.232.140', 443)","('74.125.24.103', 443)",0.25,2
15,"('171.244.232.140', 443)","('172.217.194.94', 443)",0.25,2
16,"('171.244.232.140', 443)","('69.171.250.15', 443)",0.25,2
17,"('69.171.250.15', 443)","('74.125.200.94', 443)",0.0,2
18,"('172.217.194.94', 443)","('74.125.24.103', 443)",0.0,2
19,"('157.240.7.20', 443)","('74.125.24.103', 443)",0.0,2
20,"('157.240.7.20', 443)","('74.125.200.94', 443)",0.0,2
21,"('157.240.7.20', 443)","('172.217.194.94', 443)",0.0,2
22,"('69.171.250.15', 443)","('74.125.24.103', 443)",0.0,2
23,"('74.125.200.101', 443)","('157.240.7.20', 443)",0.0,2
24,"('69.171.250.15', 443)","('172.217.194.94', 443)",0.0,2
25,"('74.125.200.101', 443)","('74.125.24.103', 443)",0.0,2
26,"('74.125.200.101', 443)","('69.171.250.15', 443)",0.0,2
27,"('74.125.24.95', 443)","('74.125.24.103', 443)",0.0,2
28,"('74.125.24.95', 443)","('157.240.7.20', 443)",0.0,2
29,"('74.125.24.95', 443)","('69.171.250.15', 443)",0.0,2
30,"('74.125.200.94', 443)","('74.125.24.103', 443)",0.0,2
31,"('171.244.232.138', 443)","('157.240.7.35', 443)",1.0,3
32,"('171.244.232.138', 443)","('74.125.200.17', 443)",0.5,3
33,"('171.244.232.138', 443)","('157.240.7.20', 443)",0.5,3
34,"('171.244.232.138', 443)","('74.125.200.19', 443)",0.5,3
35,"('74.125.200.17', 443)","('157.240.7.35', 443)",0.0,3
36,"('74.125.200.17', 443)","('157.240.7.20', 443)",0.0,3
37,"('74.125.200.17', 443)","('74.125.200.19', 443)",0.0,3
38,"('157.240.7.35', 443)","('157.240.7.20', 443)",0.0,3
39,"('157.240.7.35', 443)","('74.125.200.19', 443)",0.0,3
40,"('157.240.7.20', 443)","('74.125.200.19', 443)",0.0,3
41,"('118.69.184.22', 80)","('69.171.250.15', 443)",1.0,4
42,"('118.69.184.22', 80)","('69.171.250.35', 443)",0.5,4
43,"('69.171.250.15', 443)","('69.171.250.35', 443)",0.0,4
44,"('118.69.184.22', 80)","('69.171.250.35', 443)",1.0,5
45,"('118.69.184.22', 80)","('64.233.188.188', 5228)",0.375,5
46,"('69.171.250.35', 443)","('64.233.188.188', 5228)",0.375,5
47,"('118.69.184.22', 80)","('113.171.69.17', 443)",0.25,5
48,"('118.69.184.22', 80)","('118.69.184.28', 443)",0.125,5
49,"('118.69.184.22', 80)","('172.217.161.170', 443)",0.125,5
50,"('69.171.250.35', 443)","('113.171.69.17', 443)",0.125,5
51,"('69.171.250.35', 443)","('172.217.161.170', 443)",0.125,5
